"Year","FirearmType","NumFirearms"
1986,"Pistols",662973
1987,"Pistols",964561
1988,"Pistols",1101011
1989,"Pistols",1404753
1990,"Pistols",1371427
1991,"Pistols",1378252
1992,"Pistols",1669537
1993,"Pistols",2093362
1994,"Pistols",2004298
1995,"Pistols",1195284
1996,"Pistols",987528
1997,"Pistols",1036077
1998,"Pistols",960365
1999,"Pistols",995446
2000,"Pistols",962901
2001,"Pistols",626836
2002,"Pistols",741514
2003,"Pistols",811660
2004,"Pistols",728511
2005,"Pistols",803425
2006,"Pistols",1021260
2007,"Pistols",1219664
2008,"Pistols",1609381
2009,"Pistols",1868258
2010,"Pistols",2258450
2011,"Pistols",2598133
2012,"Pistols",3487883
2013,"Pistols",4441726
2014,"Pistols",3633454
1986,"Revolvers",761414
1987,"Revolvers",722512
1988,"Revolvers",754744
1989,"Revolvers",628573
1990,"Revolvers",470495
1991,"Revolvers",456966
1992,"Revolvers",469413
1993,"Revolvers",562292
1994,"Revolvers",586450
1995,"Revolvers",527664
1996,"Revolvers",498944
1997,"Revolvers",370428
1998,"Revolvers",324390
1999,"Revolvers",335784
2000,"Revolvers",318960
2001,"Revolvers",320143
2002,"Revolvers",347070
2003,"Revolvers",309364
2004,"Revolvers",294099
2005,"Revolvers",274205
2006,"Revolvers",385069
2007,"Revolvers",391334
2008,"Revolvers",431753
2009,"Revolvers",547195
2010,"Revolvers",558927
2011,"Revolvers",572857
2012,"Revolvers",667357
2013,"Revolvers",725282
2014,"Revolvers",744047
1986,"Rifles",970507
1987,"Rifles",1007661
1988,"Rifles",1144707
1989,"Rifles",1407400
1990,"Rifles",1211664
1991,"Rifles",883482
1992,"Rifles",1001833
1993,"Rifles",1173694
1994,"Rifles",1316607
1995,"Rifles",1411120
1996,"Rifles",1424315
1997,"Rifles",1251341
1998,"Rifles",1535690
1999,"Rifles",1569685
2000,"Rifles",1583042
2001,"Rifles",1284554
2002,"Rifles",1515286
2003,"Rifles",1430324
2004,"Rifles",1325138
2005,"Rifles",1431372
2006,"Rifles",1496505
2007,"Rifles",1610923
2008,"Rifles",1734536
2009,"Rifles",2248851
2010,"Rifles",1830556
2011,"Rifles",2318088
2012,"Rifles",3168206
2013,"Rifles",3979570
2014,"Rifles",3379549
1986,"Shotguns",641482
1987,"Shotguns",857949
1988,"Shotguns",928070
1989,"Shotguns",935541
1990,"Shotguns",848948
1991,"Shotguns",828426
1992,"Shotguns",1018204
1993,"Shotguns",1144940
1994,"Shotguns",1254926
1995,"Shotguns",1173645
1996,"Shotguns",925732
1997,"Shotguns",915978
1998,"Shotguns",868639
1999,"Shotguns",1106995
2000,"Shotguns",898442
2001,"Shotguns",679813
2002,"Shotguns",741325
2003,"Shotguns",726078
2004,"Shotguns",731769
2005,"Shotguns",709313
2006,"Shotguns",714618
2007,"Shotguns",645231
2008,"Shotguns",630710
2009,"Shotguns",752699
2010,"Shotguns",743378
2011,"Shotguns",862401
2012,"Shotguns",949010
2013,"Shotguns",1203072
2014,"Shotguns",935411
1986,"Misc..Firearms1",4558
1987,"Misc..Firearms1",6980
1988,"Misc..Firearms1",35345
1989,"Misc..Firearms1",42126
1990,"Misc..Firearms1",57434
1991,"Misc..Firearms1",15980
1992,"Misc..Firearms1",16849
1993,"Misc..Firearms1",81349
1994,"Misc..Firearms1",10936
1995,"Misc..Firearms1",8629
1996,"Misc..Firearms1",17920
1997,"Misc..Firearms1",19680
1998,"Misc..Firearms1",24506
1999,"Misc..Firearms1",39837
2000,"Misc..Firearms1",30196
2001,"Misc..Firearms1",21309
2002,"Misc..Firearms1",21700
2003,"Misc..Firearms1",30978
2004,"Misc..Firearms1",19508
2005,"Misc..Firearms1",23179
2006,"Misc..Firearms1",35872
2007,"Misc..Firearms1",55461
2008,"Misc..Firearms1",92564
2009,"Misc..Firearms1",138815
2010,"Misc..Firearms1",67929
2011,"Misc..Firearms1",190407
2012,"Misc..Firearms1",306154
2013,"Misc..Firearms1",495142
2014,"Misc..Firearms1",358165
1986,"Firearms",3040934
1987,"Firearms",3559663
1988,"Firearms",3963877
1989,"Firearms",4418393
1990,"Firearms",3959968
1991,"Firearms",3563106
1992,"Firearms",4175836
1993,"Firearms",5055637
1994,"Firearms",5173217
1995,"Firearms",4316342
1996,"Firearms",3854439
1997,"Firearms",3593504
1998,"Firearms",3713590
1999,"Firearms",4047747
2000,"Firearms",3793541
2001,"Firearms",2932655
2002,"Firearms",3366895
2003,"Firearms",3308404
2004,"Firearms",3099025
2005,"Firearms",3241494
2006,"Firearms",3653324
2007,"Firearms",3922613
2008,"Firearms",4498944
2009,"Firearms",5555818
2010,"Firearms",5459240
2011,"Firearms",6541886
2012,"Firearms",8578610
2013,"Firearms",10844792
2014,"Firearms",9050626
