State,Importers,Manufacturers,Dealers,Total
Alabama,21,87,77,185
Alaska,0,19,36,55
Arizona,25,298,166,489
Arkansas,13,79,77,169
California,10,106,85,201
Colorado,3,102,117,222
Connecticut,8,58,35,101
Delaware,0,0,1,1
District of Columbia,0,0,1,1
Florida,51,299,372,722
Georgia,9,131,206,346
Hawaii,0,0,1,1
Idaho,2,30,25,57
Illinois,1,85,59,145
Indiana,8,59,30,97
Iowa,1,89,139,229
Kansas,5,36,81,122
Kentucky,14,73,109,196
Louisiana,1,65,113,179
Maine,3,26,31,60
Maryland,7,55,66,128
Massachusetts,3,66,23,92
Michigan,6,68,120,194
Minnesota,12,80,42,134
Mississippi,6,49,65,120
Missouri,12,110,140,262
Montana,2,34,55,91
Nebraska,0,28,37,65
Nevada,7,111,69,187
New Hampshire,6,62,42,110
New Jersey,1,6,15,22
New Mexico,9,58,49,116
New York,2,41,17,60
North Carolina,2,139,202,343
North Dakota,0,7,25,32
Ohio,2,156,175,333
Oklahoma,0,98,107,205
Oregon,2,90,107,199
Pennsylvania,17,138,211,366
Rhode Island,1,1,1,3
South Carolina,6,63,81,150
South Dakota,1,25,49,75
Tennessee,4,97,132,233
Texas,40,470,693,1203
Utah,1,70,67,138
Vermont,4,14,5,23
Virginia,44,136,195,375
Washington,5,87,80,172
West Virginia,7,37,57,101
Wisconsin,10,92,72,174
Wyoming,2,26,37,65
