GEO.id,GEO.id2,GEO.display-label,HC01_EST_VC01,HC01_MOE_VC01,HC02_EST_VC01,HC02_MOE_VC01,HC03_EST_VC01,HC03_MOE_VC01,HC04_EST_VC01,HC04_MOE_VC01,HC05_EST_VC01,HC05_MOE_VC01,HC06_EST_VC01,HC06_MOE_VC01,HC01_EST_VC02,HC01_MOE_VC02,HC02_EST_VC02,HC02_MOE_VC02,HC03_EST_VC02,HC03_MOE_VC02,HC04_EST_VC02,HC04_MOE_VC02,HC05_EST_VC02,HC05_MOE_VC02,HC06_EST_VC02,HC06_MOE_VC02,HC01_EST_VC03,HC01_MOE_VC03,HC02_EST_VC03,HC02_MOE_VC03,HC03_EST_VC03,HC03_MOE_VC03,HC04_EST_VC03,HC04_MOE_VC03,HC05_EST_VC03,HC05_MOE_VC03,HC06_EST_VC03,HC06_MOE_VC03,HC01_EST_VC04,HC01_MOE_VC04,HC02_EST_VC04,HC02_MOE_VC04,HC03_EST_VC04,HC03_MOE_VC04,HC04_EST_VC04,HC04_MOE_VC04,HC05_EST_VC04,HC05_MOE_VC04,HC06_EST_VC04,HC06_MOE_VC04,HC01_EST_VC05,HC01_MOE_VC05,HC02_EST_VC05,HC02_MOE_VC05,HC03_EST_VC05,HC03_MOE_VC05,HC04_EST_VC05,HC04_MOE_VC05,HC05_EST_VC05,HC05_MOE_VC05,HC06_EST_VC05,HC06_MOE_VC05,HC01_EST_VC06,HC01_MOE_VC06,HC02_EST_VC06,HC02_MOE_VC06,HC03_EST_VC06,HC03_MOE_VC06,HC04_EST_VC06,HC04_MOE_VC06,HC05_EST_VC06,HC05_MOE_VC06,HC06_EST_VC06,HC06_MOE_VC06,HC01_EST_VC07,HC01_MOE_VC07,HC02_EST_VC07,HC02_MOE_VC07,HC03_EST_VC07,HC03_MOE_VC07,HC04_EST_VC07,HC04_MOE_VC07,HC05_EST_VC07,HC05_MOE_VC07,HC06_EST_VC07,HC06_MOE_VC07,HC01_EST_VC08,HC01_MOE_VC08,HC02_EST_VC08,HC02_MOE_VC08,HC03_EST_VC08,HC03_MOE_VC08,HC04_EST_VC08,HC04_MOE_VC08,HC05_EST_VC08,HC05_MOE_VC08,HC06_EST_VC08,HC06_MOE_VC08,HC01_EST_VC09,HC01_MOE_VC09,HC02_EST_VC09,HC02_MOE_VC09,HC03_EST_VC09,HC03_MOE_VC09,HC04_EST_VC09,HC04_MOE_VC09,HC05_EST_VC09,HC05_MOE_VC09,HC06_EST_VC09,HC06_MOE_VC09,HC01_EST_VC10,HC01_MOE_VC10,HC02_EST_VC10,HC02_MOE_VC10,HC03_EST_VC10,HC03_MOE_VC10,HC04_EST_VC10,HC04_MOE_VC10,HC05_EST_VC10,HC05_MOE_VC10,HC06_EST_VC10,HC06_MOE_VC10,HC01_EST_VC11,HC01_MOE_VC11,HC02_EST_VC11,HC02_MOE_VC11,HC03_EST_VC11,HC03_MOE_VC11,HC04_EST_VC11,HC04_MOE_VC11,HC05_EST_VC11,HC05_MOE_VC11,HC06_EST_VC11,HC06_MOE_VC11,HC01_EST_VC12,HC01_MOE_VC12,HC02_EST_VC12,HC02_MOE_VC12,HC03_EST_VC12,HC03_MOE_VC12,HC04_EST_VC12,HC04_MOE_VC12,HC05_EST_VC12,HC05_MOE_VC12,HC06_EST_VC12,HC06_MOE_VC12,HC01_EST_VC13,HC01_MOE_VC13,HC02_EST_VC13,HC02_MOE_VC13,HC03_EST_VC13,HC03_MOE_VC13,HC04_EST_VC13,HC04_MOE_VC13,HC05_EST_VC13,HC05_MOE_VC13,HC06_EST_VC13,HC06_MOE_VC13,HC01_EST_VC14,HC01_MOE_VC14,HC02_EST_VC14,HC02_MOE_VC14,HC03_EST_VC14,HC03_MOE_VC14,HC04_EST_VC14,HC04_MOE_VC14,HC05_EST_VC14,HC05_MOE_VC14,HC06_EST_VC14,HC06_MOE_VC14,HC01_EST_VC17,HC01_MOE_VC17,HC02_EST_VC17,HC02_MOE_VC17,HC03_EST_VC17,HC03_MOE_VC17,HC04_EST_VC17,HC04_MOE_VC17,HC05_EST_VC17,HC05_MOE_VC17,HC06_EST_VC17,HC06_MOE_VC17
Id,Id2,Geography,Total; Estimate; Civilian employed population 16 years and over,Total; Margin of Error; Civilian employed population 16 years and over,Employee of private company workers; Estimate; Civilian employed population 16 years and over,Employee of private company workers; Margin of Error; Civilian employed population 16 years and over,Self-employed in own incorporated business workers; Estimate; Civilian employed population 16 years and over,Self-employed in own incorporated business workers; Margin of Error; Civilian employed population 16 years and over,Private not-for-profit wage and salary workers; Estimate; Civilian employed population 16 years and over,Private not-for-profit wage and salary workers; Margin of Error; Civilian employed population 16 years and over,"Local, state, and federal government workers; Estimate; Civilian employed population 16 years and over","Local, state, and federal government workers; Margin of Error; Civilian employed population 16 years and over",Self-employed in own not incorporated business workers and unpaid family workers; Estimate; Civilian employed population 16 years and over,Self-employed in own not incorporated business workers and unpaid family workers; Margin of Error; Civilian employed population 16 years and over,"Total; Estimate; Agriculture, forestry, fishing and hunting, and mining","Total; Margin of Error; Agriculture, forestry, fishing and hunting, and mining","Employee of private company workers; Estimate; Agriculture, forestry, fishing and hunting, and mining","Employee of private company workers; Margin of Error; Agriculture, forestry, fishing and hunting, and mining","Self-employed in own incorporated business workers; Estimate; Agriculture, forestry, fishing and hunting, and mining","Self-employed in own incorporated business workers; Margin of Error; Agriculture, forestry, fishing and hunting, and mining","Private not-for-profit wage and salary workers; Estimate; Agriculture, forestry, fishing and hunting, and mining","Private not-for-profit wage and salary workers; Margin of Error; Agriculture, forestry, fishing and hunting, and mining","Local, state, and federal government workers; Estimate; Agriculture, forestry, fishing and hunting, and mining","Local, state, and federal government workers; Margin of Error; Agriculture, forestry, fishing and hunting, and mining","Self-employed in own not incorporated business workers and unpaid family workers; Estimate; Agriculture, forestry, fishing and hunting, and mining","Self-employed in own not incorporated business workers and unpaid family workers; Margin of Error; Agriculture, forestry, fishing and hunting, and mining",Total; Estimate; Construction,Total; Margin of Error; Construction,Employee of private company workers; Estimate; Construction,Employee of private company workers; Margin of Error; Construction,Self-employed in own incorporated business workers; Estimate; Construction,Self-employed in own incorporated business workers; Margin of Error; Construction,Private not-for-profit wage and salary workers; Estimate; Construction,Private not-for-profit wage and salary workers; Margin of Error; Construction,"Local, state, and federal government workers; Estimate; Construction","Local, state, and federal government workers; Margin of Error; Construction",Self-employed in own not incorporated business workers and unpaid family workers; Estimate; Construction,Self-employed in own not incorporated business workers and unpaid family workers; Margin of Error; Construction,Total; Estimate; Manufacturing,Total; Margin of Error; Manufacturing,Employee of private company workers; Estimate; Manufacturing,Employee of private company workers; Margin of Error; Manufacturing,Self-employed in own incorporated business workers; Estimate; Manufacturing,Self-employed in own incorporated business workers; Margin of Error; Manufacturing,Private not-for-profit wage and salary workers; Estimate; Manufacturing,Private not-for-profit wage and salary workers; Margin of Error; Manufacturing,"Local, state, and federal government workers; Estimate; Manufacturing","Local, state, and federal government workers; Margin of Error; Manufacturing",Self-employed in own not incorporated business workers and unpaid family workers; Estimate; Manufacturing,Self-employed in own not incorporated business workers and unpaid family workers; Margin of Error; Manufacturing,Total; Estimate; Wholesale trade,Total; Margin of Error; Wholesale trade,Employee of private company workers; Estimate; Wholesale trade,Employee of private company workers; Margin of Error; Wholesale trade,Self-employed in own incorporated business workers; Estimate; Wholesale trade,Self-employed in own incorporated business workers; Margin of Error; Wholesale trade,Private not-for-profit wage and salary workers; Estimate; Wholesale trade,Private not-for-profit wage and salary workers; Margin of Error; Wholesale trade,"Local, state, and federal government workers; Estimate; Wholesale trade","Local, state, and federal government workers; Margin of Error; Wholesale trade",Self-employed in own not incorporated business workers and unpaid family workers; Estimate; Wholesale trade,Self-employed in own not incorporated business workers and unpaid family workers; Margin of Error; Wholesale trade,Total; Estimate; Retail trade,Total; Margin of Error; Retail trade,Employee of private company workers; Estimate; Retail trade,Employee of private company workers; Margin of Error; Retail trade,Self-employed in own incorporated business workers; Estimate; Retail trade,Self-employed in own incorporated business workers; Margin of Error; Retail trade,Private not-for-profit wage and salary workers; Estimate; Retail trade,Private not-for-profit wage and salary workers; Margin of Error; Retail trade,"Local, state, and federal government workers; Estimate; Retail trade","Local, state, and federal government workers; Margin of Error; Retail trade",Self-employed in own not incorporated business workers and unpaid family workers; Estimate; Retail trade,Self-employed in own not incorporated business workers and unpaid family workers; Margin of Error; Retail trade,"Total; Estimate; Transportation and warehousing, and utilities","Total; Margin of Error; Transportation and warehousing, and utilities","Employee of private company workers; Estimate; Transportation and warehousing, and utilities","Employee of private company workers; Margin of Error; Transportation and warehousing, and utilities","Self-employed in own incorporated business workers; Estimate; Transportation and warehousing, and utilities","Self-employed in own incorporated business workers; Margin of Error; Transportation and warehousing, and utilities","Private not-for-profit wage and salary workers; Estimate; Transportation and warehousing, and utilities","Private not-for-profit wage and salary workers; Margin of Error; Transportation and warehousing, and utilities","Local, state, and federal government workers; Estimate; Transportation and warehousing, and utilities","Local, state, and federal government workers; Margin of Error; Transportation and warehousing, and utilities","Self-employed in own not incorporated business workers and unpaid family workers; Estimate; Transportation and warehousing, and utilities","Self-employed in own not incorporated business workers and unpaid family workers; Margin of Error; Transportation and warehousing, and utilities",Total; Estimate; Information,Total; Margin of Error; Information,Employee of private company workers; Estimate; Information,Employee of private company workers; Margin of Error; Information,Self-employed in own incorporated business workers; Estimate; Information,Self-employed in own incorporated business workers; Margin of Error; Information,Private not-for-profit wage and salary workers; Estimate; Information,Private not-for-profit wage and salary workers; Margin of Error; Information,"Local, state, and federal government workers; Estimate; Information","Local, state, and federal government workers; Margin of Error; Information",Self-employed in own not incorporated business workers and unpaid family workers; Estimate; Information,Self-employed in own not incorporated business workers and unpaid family workers; Margin of Error; Information,"Total; Estimate; Finance and insurance, and real estate and rental and leasing","Total; Margin of Error; Finance and insurance, and real estate and rental and leasing","Employee of private company workers; Estimate; Finance and insurance, and real estate and rental and leasing","Employee of private company workers; Margin of Error; Finance and insurance, and real estate and rental and leasing","Self-employed in own incorporated business workers; Estimate; Finance and insurance, and real estate and rental and leasing","Self-employed in own incorporated business workers; Margin of Error; Finance and insurance, and real estate and rental and leasing","Private not-for-profit wage and salary workers; Estimate; Finance and insurance, and real estate and rental and leasing","Private not-for-profit wage and salary workers; Margin of Error; Finance and insurance, and real estate and rental and leasing","Local, state, and federal government workers; Estimate; Finance and insurance, and real estate and rental and leasing","Local, state, and federal government workers; Margin of Error; Finance and insurance, and real estate and rental and leasing","Self-employed in own not incorporated business workers and unpaid family workers; Estimate; Finance and insurance, and real estate and rental and leasing","Self-employed in own not incorporated business workers and unpaid family workers; Margin of Error; Finance and insurance, and real estate and rental and leasing","Total; Estimate; Professional, scientific, and management, and administrative and waste management services","Total; Margin of Error; Professional, scientific, and management, and administrative and waste management services","Employee of private company workers; Estimate; Professional, scientific, and management, and administrative and waste management services","Employee of private company workers; Margin of Error; Professional, scientific, and management, and administrative and waste management services","Self-employed in own incorporated business workers; Estimate; Professional, scientific, and management, and administrative and waste management services","Self-employed in own incorporated business workers; Margin of Error; Professional, scientific, and management, and administrative and waste management services","Private not-for-profit wage and salary workers; Estimate; Professional, scientific, and management, and administrative and waste management services","Private not-for-profit wage and salary workers; Margin of Error; Professional, scientific, and management, and administrative and waste management services","Local, state, and federal government workers; Estimate; Professional, scientific, and management, and administrative and waste management services","Local, state, and federal government workers; Margin of Error; Professional, scientific, and management, and administrative and waste management services","Self-employed in own not incorporated business workers and unpaid family workers; Estimate; Professional, scientific, and management, and administrative and waste management services","Self-employed in own not incorporated business workers and unpaid family workers; Margin of Error; Professional, scientific, and management, and administrative and waste management services","Total; Estimate; Educational services, and health care and social assistance","Total; Margin of Error; Educational services, and health care and social assistance","Employee of private company workers; Estimate; Educational services, and health care and social assistance","Employee of private company workers; Margin of Error; Educational services, and health care and social assistance","Self-employed in own incorporated business workers; Estimate; Educational services, and health care and social assistance","Self-employed in own incorporated business workers; Margin of Error; Educational services, and health care and social assistance","Private not-for-profit wage and salary workers; Estimate; Educational services, and health care and social assistance","Private not-for-profit wage and salary workers; Margin of Error; Educational services, and health care and social assistance","Local, state, and federal government workers; Estimate; Educational services, and health care and social assistance","Local, state, and federal government workers; Margin of Error; Educational services, and health care and social assistance","Self-employed in own not incorporated business workers and unpaid family workers; Estimate; Educational services, and health care and social assistance","Self-employed in own not incorporated business workers and unpaid family workers; Margin of Error; Educational services, and health care and social assistance","Total; Estimate; Arts, entertainment, and recreation, and accommodation and food services","Total; Margin of Error; Arts, entertainment, and recreation, and accommodation and food services","Employee of private company workers; Estimate; Arts, entertainment, and recreation, and accommodation and food services","Employee of private company workers; Margin of Error; Arts, entertainment, and recreation, and accommodation and food services","Self-employed in own incorporated business workers; Estimate; Arts, entertainment, and recreation, and accommodation and food services","Self-employed in own incorporated business workers; Margin of Error; Arts, entertainment, and recreation, and accommodation and food services","Private not-for-profit wage and salary workers; Estimate; Arts, entertainment, and recreation, and accommodation and food services","Private not-for-profit wage and salary workers; Margin of Error; Arts, entertainment, and recreation, and accommodation and food services","Local, state, and federal government workers; Estimate; Arts, entertainment, and recreation, and accommodation and food services","Local, state, and federal government workers; Margin of Error; Arts, entertainment, and recreation, and accommodation and food services","Self-employed in own not incorporated business workers and unpaid family workers; Estimate; Arts, entertainment, and recreation, and accommodation and food services","Self-employed in own not incorporated business workers and unpaid family workers; Margin of Error; Arts, entertainment, and recreation, and accommodation and food services","Total; Estimate; Other services, except public administration","Total; Margin of Error; Other services, except public administration","Employee of private company workers; Estimate; Other services, except public administration","Employee of private company workers; Margin of Error; Other services, except public administration","Self-employed in own incorporated business workers; Estimate; Other services, except public administration","Self-employed in own incorporated business workers; Margin of Error; Other services, except public administration","Private not-for-profit wage and salary workers; Estimate; Other services, except public administration","Private not-for-profit wage and salary workers; Margin of Error; Other services, except public administration","Local, state, and federal government workers; Estimate; Other services, except public administration","Local, state, and federal government workers; Margin of Error; Other services, except public administration","Self-employed in own not incorporated business workers and unpaid family workers; Estimate; Other services, except public administration","Self-employed in own not incorporated business workers and unpaid family workers; Margin of Error; Other services, except public administration",Total; Estimate; Public administration,Total; Margin of Error; Public administration,Employee of private company workers; Estimate; Public administration,Employee of private company workers; Margin of Error; Public administration,Self-employed in own incorporated business workers; Estimate; Public administration,Self-employed in own incorporated business workers; Margin of Error; Public administration,Private not-for-profit wage and salary workers; Estimate; Public administration,Private not-for-profit wage and salary workers; Margin of Error; Public administration,"Local, state, and federal government workers; Estimate; Public administration","Local, state, and federal government workers; Margin of Error; Public administration",Self-employed in own not incorporated business workers and unpaid family workers; Estimate; Public administration,Self-employed in own not incorporated business workers and unpaid family workers; Margin of Error; Public administration,Total; Estimate; PERCENT IMPUTED - Industry,Total; Margin of Error; PERCENT IMPUTED - Industry,Employee of private company workers; Estimate; PERCENT IMPUTED - Industry,Employee of private company workers; Margin of Error; PERCENT IMPUTED - Industry,Self-employed in own incorporated business workers; Estimate; PERCENT IMPUTED - Industry,Self-employed in own incorporated business workers; Margin of Error; PERCENT IMPUTED - Industry,Private not-for-profit wage and salary workers; Estimate; PERCENT IMPUTED - Industry,Private not-for-profit wage and salary workers; Margin of Error; PERCENT IMPUTED - Industry,"Local, state, and federal government workers; Estimate; PERCENT IMPUTED - Industry","Local, state, and federal government workers; Margin of Error; PERCENT IMPUTED - Industry",Self-employed in own not incorporated business workers and unpaid family workers; Estimate; PERCENT IMPUTED - Industry,Self-employed in own not incorporated business workers and unpaid family workers; Margin of Error; PERCENT IMPUTED - Industry
0400000US01,01,Alabama,2040118,14488,70.7,0.5,2.7,0.2,6.6,0.3,14.9,0.4,5.1,0.2,34383,3276,71.7,3.8,6.5,2.3,0.3,0.3,0.9,0.6,20.7,3.2,128389,6501,72.8,2.2,5.5,1.1,0.9,0.5,5.4,1.1,15.4,1.7,291477,9243,96.4,0.6,1.2,0.3,0.6,0.2,0.7,0.2,1.1,0.3,51525,4316,92.2,1.8,3.7,1.2,0.3,0.3,0.3,0.3,3.5,1.5,241235,8401,91.9,1.1,2.1,0.5,2.1,0.7,0.7,0.3,3.2,0.6,108227,6188,71.3,2.3,2.6,1.1,2.5,0.7,19.4,1.7,4.2,0.9,33689,2820,83.7,3.3,2.0,1.1,3.6,1.6,6.4,1.7,4.3,1.8,111441,5364,83.0,1.8,4.6,0.9,4.8,0.9,2.3,0.7,5.3,1.2,196149,8019,77.3,1.5,6.9,1.0,2.1,0.4,3.9,0.6,9.8,1.2,459777,11415,49.6,1.2,1.2,0.3,16.1,1.0,31.3,1.0,1.8,0.3,171239,7465,89.2,1.3,1.8,0.5,2.2,0.5,4.1,1.0,2.7,0.8,106030,5009,41.9,2.6,4.6,1.2,33.0,2.8,0.8,0.5,19.7,2.1,106557,5301,0.0,0.1,0.0,0.1,0.0,0.1,100.0,0.1,0.0,0.1,11.0,,,,,,,,,,,
0400000US02,02,Alaska,354766,5022,55.5,1.3,3.3,0.4,10.1,0.8,24.6,1.1,6.5,0.6,18954,2066,74.6,4.5,4.9,2.7,1.9,1.1,5.7,2.0,13.0,2.8,25415,2405,72.3,4.1,7.5,2.3,0.8,0.4,8.1,2.8,11.3,2.9,11461,1778,89.2,4.0,1.7,1.8,2.0,2.2,1.7,1.8,5.4,2.9,7250,1267,92.7,4.2,3.6,3.5,2.0,2.1,0.5,0.7,1.2,1.7,38999,3252,88.2,2.6,2.9,1.3,1.4,0.8,1.9,1.0,5.5,1.8,27012,2305,74.8,3.6,2.9,1.3,3.2,1.2,16.5,3.5,2.6,1.2,6916,1539,76.6,10.2,0.5,0.7,14.3,8.6,3.6,2.4,5.0,4.3,12651,1780,62.9,6.1,6.5,2.6,12.2,5.2,5.5,2.3,12.9,4.0,30351,2972,72.7,4.0,7.9,2.3,2.6,1.1,5.8,1.9,11.0,2.6,83083,3922,28.6,2.4,2.4,0.7,26.1,2.2,38.4,2.8,4.5,1.3,34319,3119,77.1,4.4,2.9,1.6,6.6,2.8,6.0,2.0,7.4,2.1,16760,1879,43.5,6.0,2.3,1.4,36.8,5.3,1.3,0.8,16.0,4.7,41595,2752,0.0,0.2,0.0,0.2,0.0,0.2,100.0,0.2,0.0,0.2,9.6,,,,,,,,,,,
0400000US04,04,Arizona,2937510,17885,70.6,0.5,3.5,0.2,6.1,0.2,13.8,0.4,6.0,0.2,43075,3734,83.7,3.3,2.9,1.2,0.7,0.6,6.2,1.9,6.5,2.1,193805,8130,75.2,1.6,7.6,1.2,1.1,0.4,3.5,0.6,12.7,1.4,207583,9274,93.6,0.9,2.5,0.5,0.8,0.3,1.2,0.4,1.8,0.5,69018,4734,89.7,1.8,5.1,1.4,0.8,0.6,0.1,0.1,4.4,1.2,368099,9423,92.1,0.8,2.3,0.4,1.7,0.3,0.6,0.2,3.4,0.5,147537,6591,76.0,1.7,2.2,0.7,1.6,0.5,15.6,1.3,4.6,0.8,54920,3952,82.4,2.8,4.0,1.5,1.7,0.9,6.9,1.8,5.0,1.6,242171,8082,86.0,1.0,4.7,0.9,2.3,0.5,1.0,0.3,6.0,0.8,357395,9528,75.9,1.3,7.2,0.6,1.6,0.4,2.3,0.4,13.0,1.0,636623,12505,48.4,1.0,2.2,0.3,17.9,0.8,29.2,1.0,2.3,0.3,329444,10899,87.0,1.0,2.1,0.4,2.0,0.4,5.3,0.7,3.6,0.6,138387,6766,46.8,2.7,5.6,1.1,24.5,2.4,0.7,0.3,22.4,2.1,149453,6157,0.0,0.1,0.0,0.1,0.0,0.1,100.0,0.1,0.0,0.1,14.1,,,,,,,,,,,
0400000US05,05,Arkansas,1271063,11142,67.8,0.7,2.8,0.2,7.2,0.4,15.6,0.6,6.5,0.4,41301,3270,60.4,4.0,6.0,1.4,1.2,0.8,2.2,1.0,30.2,3.9,81587,5522,66.0,3.0,6.6,1.5,0.4,0.3,8.0,1.5,19.0,2.3,177030,6857,96.3,0.8,0.9,0.3,1.2,0.5,0.3,0.2,1.3,0.5,30505,2896,90.0,3.0,3.8,1.8,2.0,1.2,0.5,0.5,3.7,1.8,174804,6639,91.9,1.1,2.4,0.6,1.2,0.4,0.7,0.3,3.9,0.8,70419,4491,76.6,2.6,2.7,1.2,3.0,0.9,14.0,2.3,3.6,1.2,20718,2187,83.1,3.9,1.2,1.0,5.3,2.9,7.8,2.5,2.6,1.6,57546,4302,81.3,2.7,5.3,1.6,2.6,1.1,3.7,1.2,7.1,1.7,91447,5307,71.8,2.7,8.6,1.6,2.2,0.9,4.8,1.0,12.7,1.9,309993,8234,43.7,1.7,1.2,0.3,18.4,1.3,34.9,1.6,1.9,0.4,97668,5429,86.5,1.8,2.1,0.8,3.6,1.1,4.1,1.1,3.7,0.9,59802,4008,34.6,3.3,4.6,1.3,32.0,2.8,1.2,0.7,27.5,2.8,58243,3805,0.0,0.3,0.0,0.3,0.0,0.3,100.0,0.3,0.0,0.3,9.2,,,,,,,,,,,
0400000US06,06,California,18045450,43228,68.5,0.2,3.3,0.1,6.5,0.1,13.3,0.1,8.3,0.1,446614,12694,88.1,0.8,2.3,0.3,2.2,0.5,1.7,0.3,5.7,0.6,1112236,18346,72.0,0.7,5.5,0.3,1.3,0.2,3.4,0.3,18.0,0.6,1715871,21620,93.8,0.4,2.0,0.2,1.2,0.2,0.4,0.1,2.6,0.2,528692,12342,88.5,0.8,5.3,0.6,1.3,0.3,0.2,0.1,4.7,0.5,1946847,22663,90.1,0.4,2.4,0.2,1.7,0.2,0.5,0.1,5.2,0.3,899711,17854,71.8,0.9,2.5,0.3,1.5,0.2,17.1,0.7,7.1,0.5,523512,11512,83.3,0.8,3.4,0.4,2.4,0.3,4.2,0.4,6.7,0.6,1089370,15406,78.4,0.7,5.8,0.3,4.0,0.3,2.0,0.2,9.8,0.4,2390184,24839,73.5,0.5,6.2,0.2,2.7,0.2,2.5,0.2,15.2,0.4,3750815,30155,42.3,0.4,1.9,0.1,18.3,0.4,33.0,0.4,4.4,0.2,1902121,25216,84.5,0.5,2.8,0.2,3.2,0.2,2.8,0.2,6.6,0.4,954804,16606,46.6,0.9,4.5,0.3,22.2,0.6,0.8,0.2,25.9,0.7,784673,14103,0.0,0.1,0.0,0.1,0.0,0.1,100.0,0.1,0.0,0.1,12.2,,,,,,,,,,,
0400000US08,08,Colorado,2765115,18056,67.9,0.5,4.8,0.2,7.8,0.3,13.0,0.3,6.5,0.3,71732,4574,75.7,2.9,6.3,1.4,2.2,1.0,3.5,1.0,12.3,1.9,218980,9787,74.7,1.5,8.3,1.0,1.5,0.5,2.9,0.6,12.5,1.2,190855,7046,93.0,0.8,2.9,0.6,1.0,0.4,0.7,0.2,2.4,0.5,71314,4278,90.2,1.7,3.7,0.8,1.2,0.5,0.2,0.2,4.7,1.4,312246,10247,90.2,0.9,3.4,0.6,1.5,0.4,0.4,0.1,4.6,0.6,126200,6179,68.8,2.0,3.7,1.0,3.9,0.7,18.5,1.5,5.2,1.1,81533,3714,85.0,1.7,3.9,1.1,3.3,1.0,4.6,1.1,3.2,0.9,190157,6787,79.2,1.5,8.5,1.1,3.9,0.7,1.5,0.4,6.9,0.9,380985,9372,75.7,1.3,9.0,0.7,2.5,0.4,2.5,0.4,10.3,0.9,571222,11242,41.3,1.1,2.5,0.2,22.6,0.9,30.1,1.1,3.6,0.3,289390,10477,84.5,1.2,3.0,0.6,3.4,0.7,5.1,0.8,3.9,0.6,138360,7116,43.6,2.4,7.1,0.9,29.2,2.3,0.6,0.3,19.5,1.8,122141,5473,0.0,0.1,0.0,0.1,0.0,0.1,100.0,0.1,0.0,0.1,12.5,,,,,,,,,,,
0400000US09,09,Connecticut,1807098,10291,67.6,0.6,3.4,0.2,9.4,0.3,13.2,0.4,6.4,0.3,7149,1677,69.8,10.3,4.5,3.6,1.7,1.9,0.6,1.0,23.4,9.3,108227,6336,64.5,3.0,9.0,1.4,1.2,0.5,4.6,1.0,20.7,2.4,187997,6257,93.9,0.9,2.1,0.6,1.4,0.4,0.6,0.3,2.0,0.5,46464,3614,92.0,1.9,3.8,1.2,0.5,0.3,0.5,0.6,3.3,1.4,197043,8169,91.3,1.1,2.7,0.5,1.8,0.5,0.2,0.1,4.0,0.8,73296,5140,71.0,3.0,3.6,1.8,2.4,0.9,19.7,2.3,3.3,1.1,42062,3561,78.6,3.4,3.8,1.6,7.8,2.3,4.8,1.5,5.1,1.6,167826,5772,89.1,1.1,2.6,0.5,2.5,0.7,1.6,0.5,4.2,0.7,208216,6380,74.3,1.7,7.9,0.9,2.3,0.5,1.2,0.4,14.3,1.3,475215,10311,42.3,1.2,1.4,0.3,25.9,1.1,27.5,1.1,2.9,0.4,145994,6446,81.0,1.9,2.3,0.7,4.9,0.8,6.7,1.4,5.1,0.9,78505,4791,48.9,3.2,6.7,1.5,23.6,2.2,0.5,0.3,20.3,2.2,69104,3667,0.0,0.2,0.0,0.2,0.0,0.2,100.0,0.2,0.0,0.2,10.3,,,,,,,,,,,
0400000US10,10,Delaware,447516,5855,69.7,1.1,3.7,0.4,8.2,0.7,14.2,0.9,4.2,0.6,5106,1313,70.5,10.6,2.3,2.6,1.1,1.6,0.6,1.0,25.4,10.6,28858,2826,69.6,4.3,13.9,2.7,1.7,1.2,2.1,1.1,12.7,3.6,36264,3153,95.7,1.6,1.1,0.7,1.1,0.8,1.4,1.2,0.8,0.7,7362,1440,89.8,6.1,7.7,5.8,0.0,2.0,1.0,1.8,1.5,1.8,54829,3948,92.5,1.6,2.8,0.9,1.6,0.8,0.4,0.3,2.7,1.2,17915,1917,71.2,5.8,4.8,2.9,3.6,2.5,17.0,3.4,3.3,2.2,6759,1153,83.0,6.8,4.5,4.5,4.4,2.7,5.4,3.9,2.6,3.2,43739,3923,91.6,1.9,1.8,0.8,2.2,1.1,1.1,0.6,3.4,1.1,45324,3832,79.3,3.8,8.3,2.3,1.7,1.1,4.2,2.4,6.5,2.0,111772,4934,47.3,2.1,1.7,0.7,21.0,2.0,27.4,2.2,2.5,0.8,45372,3885,88.2,2.3,2.1,1.2,5.1,1.6,1.8,0.8,2.6,1.1,20336,2403,44.3,6.0,6.5,3.0,32.1,5.8,3.9,4.1,13.2,4.1,23880,2684,0.0,0.6,0.0,0.6,0.0,0.6,100.0,0.6,0.0,0.6,12.3,,,,,,,,,,,
0400000US11,11,District of Columbia,361179,4836,49.4,1.3,2.6,0.4,18.8,1.2,24.4,1.2,4.8,0.6,195,183,49.7,50.3,0.0,47.9,0.0,47.9,50.3,50.3,0.0,47.9,9342,1984,64.2,9.7,8.1,5.5,4.1,3.0,9.0,5.2,14.6,9.1,5025,1308,84.6,8.8,6.4,6.6,4.1,6.4,4.8,3.5,0.0,3.2,1932,593,98.0,3.2,2.0,3.2,0.0,8.2,0.0,8.2,0.0,8.2,18086,2619,94.1,3.2,3.3,2.7,1.3,1.3,0.7,0.8,0.7,0.7,9754,1841,61.8,8.9,1.9,1.7,4.4,3.1,24.8,7.2,7.0,3.3,14995,1965,63.3,5.9,0.5,0.6,20.5,5.3,10.7,3.4,5.0,2.5,22532,2717,65.5,5.1,3.9,2.0,13.5,4.1,9.8,3.4,7.3,2.7,83089,3672,72.4,2.5,4.7,1.0,10.8,2.0,5.4,1.1,6.8,1.4,70276,3790,39.6,3.0,1.0,0.7,35.9,3.2,19.5,2.7,3.9,1.0,35208,2933,73.3,4.8,3.2,1.4,7.8,2.5,9.3,2.7,6.4,2.8,31896,3222,16.2,3.4,2.8,1.5,73.8,4.2,0.3,0.4,6.9,2.5,58849,3947,0.0,0.3,0.0,0.3,0.0,0.3,100.0,0.3,0.0,0.3,14.0,,,,,,,,,,,
