GEO.id,GEO.id2,GEO.display-label,HC01_EST_VC01,HC01_MOE_VC01,HC02_EST_VC01,HC02_MOE_VC01,HC03_EST_VC01,HC03_MOE_VC01,HC04_EST_VC01,HC04_MOE_VC01,HC05_EST_VC01,HC05_MOE_VC01,HC01_EST_VC02,HC01_MOE_VC02,HC02_EST_VC02,HC02_MOE_VC02,HC03_EST_VC02,HC03_MOE_VC02,HC04_EST_VC02,HC04_MOE_VC02,HC05_EST_VC02,HC05_MOE_VC02,HC01_EST_VC03,HC01_MOE_VC03,HC02_EST_VC03,HC02_MOE_VC03,HC03_EST_VC03,HC03_MOE_VC03,HC04_EST_VC03,HC04_MOE_VC03,HC05_EST_VC03,HC05_MOE_VC03,HC01_EST_VC04,HC01_MOE_VC04,HC02_EST_VC04,HC02_MOE_VC04,HC03_EST_VC04,HC03_MOE_VC04,HC04_EST_VC04,HC04_MOE_VC04,HC05_EST_VC04,HC05_MOE_VC04,HC01_EST_VC05,HC01_MOE_VC05,HC02_EST_VC05,HC02_MOE_VC05,HC03_EST_VC05,HC03_MOE_VC05,HC04_EST_VC05,HC04_MOE_VC05,HC05_EST_VC05,HC05_MOE_VC05,HC01_EST_VC06,HC01_MOE_VC06,HC02_EST_VC06,HC02_MOE_VC06,HC03_EST_VC06,HC03_MOE_VC06,HC04_EST_VC06,HC04_MOE_VC06,HC05_EST_VC06,HC05_MOE_VC06,HC01_EST_VC07,HC01_MOE_VC07,HC02_EST_VC07,HC02_MOE_VC07,HC03_EST_VC07,HC03_MOE_VC07,HC04_EST_VC07,HC04_MOE_VC07,HC05_EST_VC07,HC05_MOE_VC07,HC01_EST_VC08,HC01_MOE_VC08,HC02_EST_VC08,HC02_MOE_VC08,HC03_EST_VC08,HC03_MOE_VC08,HC04_EST_VC08,HC04_MOE_VC08,HC05_EST_VC08,HC05_MOE_VC08,HC01_EST_VC09,HC01_MOE_VC09,HC02_EST_VC09,HC02_MOE_VC09,HC03_EST_VC09,HC03_MOE_VC09,HC04_EST_VC09,HC04_MOE_VC09,HC05_EST_VC09,HC05_MOE_VC09
Id,Id2,Geography,Total; Estimate; Civilian employed population 16 years and over,Total; Margin of Error; Civilian employed population 16 years and over,Male; Estimate; Civilian employed population 16 years and over,Male; Margin of Error; Civilian employed population 16 years and over,Percent Male; Estimate; Civilian employed population 16 years and over,Percent Male; Margin of Error; Civilian employed population 16 years and over,Female; Estimate; Civilian employed population 16 years and over,Female; Margin of Error; Civilian employed population 16 years and over,Percent Female; Estimate; Civilian employed population 16 years and over,Percent Female; Margin of Error; Civilian employed population 16 years and over,Total; Estimate; Private for-profit wage and salary workers:,Total; Margin of Error; Private for-profit wage and salary workers:,Male; Estimate; Private for-profit wage and salary workers:,Male; Margin of Error; Private for-profit wage and salary workers:,Percent Male; Estimate; Private for-profit wage and salary workers:,Percent Male; Margin of Error; Private for-profit wage and salary workers:,Female; Estimate; Private for-profit wage and salary workers:,Female; Margin of Error; Private for-profit wage and salary workers:,Percent Female; Estimate; Private for-profit wage and salary workers:,Percent Female; Margin of Error; Private for-profit wage and salary workers:,Total; Estimate; Private for-profit wage and salary workers: - Employee of private company workers,Total; Margin of Error; Private for-profit wage and salary workers: - Employee of private company workers,Male; Estimate; Private for-profit wage and salary workers: - Employee of private company workers,Male; Margin of Error; Private for-profit wage and salary workers: - Employee of private company workers,Percent Male; Estimate; Private for-profit wage and salary workers: - Employee of private company workers,Percent Male; Margin of Error; Private for-profit wage and salary workers: - Employee of private company workers,Female; Estimate; Private for-profit wage and salary workers: - Employee of private company workers,Female; Margin of Error; Private for-profit wage and salary workers: - Employee of private company workers,Percent Female; Estimate; Private for-profit wage and salary workers: - Employee of private company workers,Percent Female; Margin of Error; Private for-profit wage and salary workers: - Employee of private company workers,Total; Estimate; Private for-profit wage and salary workers: - Self-employed in own incorporated business workers,Total; Margin of Error; Private for-profit wage and salary workers: - Self-employed in own incorporated business workers,Male; Estimate; Private for-profit wage and salary workers: - Self-employed in own incorporated business workers,Male; Margin of Error; Private for-profit wage and salary workers: - Self-employed in own incorporated business workers,Percent Male; Estimate; Private for-profit wage and salary workers: - Self-employed in own incorporated business workers,Percent Male; Margin of Error; Private for-profit wage and salary workers: - Self-employed in own incorporated business workers,Female; Estimate; Private for-profit wage and salary workers: - Self-employed in own incorporated business workers,Female; Margin of Error; Private for-profit wage and salary workers: - Self-employed in own incorporated business workers,Percent Female; Estimate; Private for-profit wage and salary workers: - Self-employed in own incorporated business workers,Percent Female; Margin of Error; Private for-profit wage and salary workers: - Self-employed in own incorporated business workers,Total; Estimate; Private not-for-profit wage and salary workers,Total; Margin of Error; Private not-for-profit wage and salary workers,Male; Estimate; Private not-for-profit wage and salary workers,Male; Margin of Error; Private not-for-profit wage and salary workers,Percent Male; Estimate; Private not-for-profit wage and salary workers,Percent Male; Margin of Error; Private not-for-profit wage and salary workers,Female; Estimate; Private not-for-profit wage and salary workers,Female; Margin of Error; Private not-for-profit wage and salary workers,Percent Female; Estimate; Private not-for-profit wage and salary workers,Percent Female; Margin of Error; Private not-for-profit wage and salary workers,Total; Estimate; Local government workers,Total; Margin of Error; Local government workers,Male; Estimate; Local government workers,Male; Margin of Error; Local government workers,Percent Male; Estimate; Local government workers,Percent Male; Margin of Error; Local government workers,Female; Estimate; Local government workers,Female; Margin of Error; Local government workers,Percent Female; Estimate; Local government workers,Percent Female; Margin of Error; Local government workers,Total; Estimate; State government workers,Total; Margin of Error; State government workers,Male; Estimate; State government workers,Male; Margin of Error; State government workers,Percent Male; Estimate; State government workers,Percent Male; Margin of Error; State government workers,Female; Estimate; State government workers,Female; Margin of Error; State government workers,Percent Female; Estimate; State government workers,Percent Female; Margin of Error; State government workers,Total; Estimate; Federal government workers,Total; Margin of Error; Federal government workers,Male; Estimate; Federal government workers,Male; Margin of Error; Federal government workers,Percent Male; Estimate; Federal government workers,Percent Male; Margin of Error; Federal government workers,Female; Estimate; Federal government workers,Female; Margin of Error; Federal government workers,Percent Female; Estimate; Federal government workers,Percent Female; Margin of Error; Federal government workers,Total; Estimate; Self-employed in own not incorporated business workers and unpaid family workers,Total; Margin of Error; Self-employed in own not incorporated business workers and unpaid family workers,Male; Estimate; Self-employed in own not incorporated business workers and unpaid family workers,Male; Margin of Error; Self-employed in own not incorporated business workers and unpaid family workers,Percent Male; Estimate; Self-employed in own not incorporated business workers and unpaid family workers,Percent Male; Margin of Error; Self-employed in own not incorporated business workers and unpaid family workers,Female; Estimate; Self-employed in own not incorporated business workers and unpaid family workers,Female; Margin of Error; Self-employed in own not incorporated business workers and unpaid family workers,Percent Female; Estimate; Self-employed in own not incorporated business workers and unpaid family workers,Percent Female; Margin of Error; Self-employed in own not incorporated business workers and unpaid family workers
0400000US01,01,Alabama,2040118,14488,1067761,8968,52.3,0.4,972357,11476,47.7,0.4,1498462,13410,826841,9420,55.2,0.5,671621,10569,44.8,0.5,1442681,13731,787795,9516,54.6,0.5,654886,10543,45.4,0.5,55781,3574,39046,2831,70.0,2.8,16735,2001,30.0,2.8,134472,6836,43300,3789,32.2,2.1,91172,5105,67.8,2.1,128847,5968,56741,3980,44.0,2.2,72106,4337,56.0,2.2,110210,5996,40706,4096,36.9,2.6,69504,4128,63.1,2.6,63965,3692,37317,2738,58.3,2.9,26648,2495,41.7,2.9,104162,4373,62856,3422,60.3,2.3,41306,3041,39.7,2.3
0400000US02,02,Alaska,354766,5022,193392,3898,54.5,0.7,161374,3081,45.5,0.7,208677,6441,123572,4254,59.2,1.2,85105,3852,40.8,1.2,196887,6149,115766,3977,58.8,1.2,81121,3778,41.2,1.2,11790,1573,7806,1259,66.2,5.8,3984,848,33.8,5.8,35807,2687,11455,1688,32.0,3.7,24352,2083,68.0,3.7,32085,3065,14302,1879,44.6,3.6,17783,1961,55.4,3.6,30579,2460,14013,1654,45.8,3.3,16566,1498,54.2,3.3,24432,2365,16228,1915,66.4,4.6,8204,1395,33.6,4.6,23186,2206,13822,1654,59.6,4.3,9364,1360,40.4,4.3
0400000US04,04,Arizona,2937510,17885,1564955,11197,53.3,0.3,1372555,13369,46.7,0.3,2177404,19464,1207749,12136,55.5,0.4,969655,13149,44.5,0.4,2073252,19448,1136599,11459,54.8,0.4,936653,13287,45.2,0.4,104152,6368,71150,4610,68.3,1.9,33002,2937,31.7,1.9,179523,6677,63745,4034,35.5,1.7,115778,5000,64.5,1.7,187346,7131,83500,4602,44.6,1.6,103846,4808,55.4,1.6,139265,7176,59029,4165,42.4,2.1,80236,5032,57.6,2.1,78702,4647,47529,3717,60.4,2.7,31173,2628,39.6,2.7,175270,7392,103403,5395,59.0,1.9,71867,4532,41.0,1.9
0400000US05,05,Arkansas,1271063,11142,670323,7872,52.7,0.5,600740,8664,47.3,0.5,897620,12433,505702,8036,56.3,0.6,391918,8109,43.7,0.6,861443,12042,479429,7886,55.7,0.6,382014,7985,44.3,0.6,36177,2674,26273,2301,72.6,3.7,9904,1556,27.4,3.7,92128,5478,31731,2524,34.4,2.2,60397,4354,65.6,2.2,69361,4717,30528,2847,44.0,2.9,38833,3372,56.0,2.9,101967,5459,34640,2984,34.0,2.3,67327,4347,66.0,2.3,27214,2599,14116,1970,51.9,4.5,13098,1594,48.1,4.5,82773,5138,53606,4134,64.8,2.8,29167,2893,35.2,2.8
0400000US06,06,California,18045450,43228,9771350,27803,54.1,0.1,8274100,32220,45.9,0.1,12960293,50744,7425444,31375,57.3,0.1,5534849,31621,42.7,0.1,12360327,50058,7016784,31778,56.8,0.2,5343543,31184,43.2,0.2,599966,10807,408660,9034,68.1,0.9,191306,6581,31.9,0.9,1178814,16568,442274,10574,37.5,0.7,736540,12585,62.5,0.7,1350956,19168,529292,11719,39.2,0.6,821664,13746,60.8,0.6,729029,13722,301621,8095,41.4,0.8,427408,9566,58.6,0.8,322124,10158,192071,7376,59.6,1.6,130053,7014,40.4,1.6,1504234,21230,880648,17073,58.5,0.6,623586,10693,41.5,0.6
0400000US08,08,Colorado,2765115,18056,1485661,11511,53.7,0.3,1279454,12105,46.3,0.3,2009628,19486,1155018,11938,57.5,0.4,854610,13513,42.5,0.4,1877058,18730,1069314,10949,57.0,0.4,807744,13469,43.0,0.4,132570,5694,85704,4238,64.6,1.9,46866,3311,35.4,1.9,216255,7618,75085,4562,34.7,1.6,141170,5894,65.3,1.6,175392,6907,74344,4170,42.4,1.5,101048,4503,57.6,1.5,113979,5458,43719,3385,38.4,2.3,70260,4263,61.6,2.3,71204,4047,41328,2972,58.0,3.0,29876,2855,42.0,3.0,178657,8245,96167,5922,53.8,1.8,82490,4612,46.2,1.8
0400000US09,09,Connecticut,1807098,10291,925935,8096,51.2,0.3,881163,8145,48.8,0.3,1282453,11657,697066,8810,54.4,0.5,585387,8576,45.6,0.5,1220926,11385,653511,8561,53.5,0.5,567415,8466,46.5,0.5,61527,4047,43555,3395,70.8,2.6,17972,1907,29.2,2.6,170515,6092,55760,3612,32.7,1.6,114755,4627,67.3,1.6,134114,6498,52982,3341,39.5,1.7,81132,4705,60.5,1.7,79113,4728,34471,2833,43.6,2.5,44642,3406,56.4,2.5,25074,2857,15324,1982,61.1,5.0,9750,1820,38.9,5.0,115829,5433,70332,4315,60.7,2.3,45497,3376,39.3,2.3
0400000US10,10,Delaware,447516,5855,225225,3979,50.3,0.7,222291,4583,49.7,0.7,328645,6975,173525,4321,52.8,1.0,155120,4985,47.2,1.0,312049,6851,161955,4327,51.9,1.0,150094,4756,48.1,1.0,16596,1891,11570,1247,69.7,5.1,5026,1195,30.3,5.1,36823,3182,14051,1738,38.2,3.2,22772,2257,61.8,3.2,14469,2403,7380,1657,51.0,6.5,7089,1388,49.0,6.5,39250,3289,13703,2150,34.9,4.2,25547,2450,65.1,4.2,9605,1464,5390,1016,56.1,7.1,4215,973,43.9,7.1,18724,2526,11176,1995,59.7,5.3,7548,1232,40.3,5.3
0400000US11,11,District of Columbia,361179,4836,175876,3095,48.7,0.7,185303,3916,51.3,0.7,187897,5795,100272,3743,53.4,1.5,87625,4360,46.6,1.5,178451,5437,94584,3903,53.0,1.7,83867,4100,47.0,1.7,9446,1419,5688,1084,60.2,8.0,3758,993,39.8,8.0,67838,4261,26597,2169,39.2,2.5,41241,3321,60.8,2.5,18079,2191,7526,1325,41.6,5.5,10553,1649,58.4,5.5,7493,1610,3384,1128,45.2,10.9,4109,1136,54.8,10.9,62412,3946,30132,2564,48.3,2.9,32280,2766,51.7,2.9,17460,2147,7965,1605,45.6,6.4,9495,1484,54.4,6.4
