GEO.id,GEO.id2,GEO.display-label,HC01_EST_VC01,HC01_MOE_VC01,HC02_EST_VC01,HC02_MOE_VC01,HC01_EST_VC04,HC01_MOE_VC04,HC02_EST_VC04,HC02_MOE_VC04,HC01_EST_VC05,HC01_MOE_VC05,HC02_EST_VC05,HC02_MOE_VC05,HC01_EST_VC06,HC01_MOE_VC06,HC02_EST_VC06,HC02_MOE_VC06,HC01_EST_VC07,HC01_MOE_VC07,HC02_EST_VC07,HC02_MOE_VC07,HC01_EST_VC08,HC01_MOE_VC08,HC02_EST_VC08,HC02_MOE_VC08,HC01_EST_VC09,HC01_MOE_VC09,HC02_EST_VC09,HC02_MOE_VC09,HC01_EST_VC10,HC01_MOE_VC10,HC02_EST_VC10,HC02_MOE_VC10,HC01_EST_VC11,HC01_MOE_VC11,HC02_EST_VC11,HC02_MOE_VC11,HC01_EST_VC14,HC01_MOE_VC14,HC02_EST_VC14,HC02_MOE_VC14,HC01_EST_VC15,HC01_MOE_VC15,HC02_EST_VC15,HC02_MOE_VC15,HC01_EST_VC16,HC01_MOE_VC16,HC02_EST_VC16,HC02_MOE_VC16,HC01_EST_VC17,HC01_MOE_VC17,HC02_EST_VC17,HC02_MOE_VC17,HC01_EST_VC18,HC01_MOE_VC18,HC02_EST_VC18,HC02_MOE_VC18,HC01_EST_VC19,HC01_MOE_VC19,HC02_EST_VC19,HC02_MOE_VC19,HC01_EST_VC20,HC01_MOE_VC20,HC02_EST_VC20,HC02_MOE_VC20,HC01_EST_VC21,HC01_MOE_VC21,HC02_EST_VC21,HC02_MOE_VC21,HC01_EST_VC22,HC01_MOE_VC22,HC02_EST_VC22,HC02_MOE_VC22,HC01_EST_VC23,HC01_MOE_VC23,HC02_EST_VC23,HC02_MOE_VC23,HC01_EST_VC26,HC01_MOE_VC26,HC02_EST_VC26,HC02_MOE_VC26,HC01_EST_VC27,HC01_MOE_VC27,HC02_EST_VC27,HC02_MOE_VC27,HC01_EST_VC28,HC01_MOE_VC28,HC02_EST_VC28,HC02_MOE_VC28,HC01_EST_VC29,HC01_MOE_VC29,HC02_EST_VC29,HC02_MOE_VC29,HC01_EST_VC30,HC01_MOE_VC30,HC02_EST_VC30,HC02_MOE_VC30,HC01_EST_VC31,HC01_MOE_VC31,HC02_EST_VC31,HC02_MOE_VC31,HC01_EST_VC32,HC01_MOE_VC32,HC02_EST_VC32,HC02_MOE_VC32,HC01_EST_VC33,HC01_MOE_VC33,HC02_EST_VC33,HC02_MOE_VC33,HC01_EST_VC34,HC01_MOE_VC34,HC02_EST_VC34,HC02_MOE_VC34,HC01_EST_VC35,HC01_MOE_VC35,HC02_EST_VC35,HC02_MOE_VC35,HC01_EST_VC36,HC01_MOE_VC36,HC02_EST_VC36,HC02_MOE_VC36,HC01_EST_VC37,HC01_MOE_VC37,HC02_EST_VC37,HC02_MOE_VC37
Id,Id2,Geography,Total; Estimate; Total households,Total; Margin of Error; Total households,Percent; Estimate; Total households,Percent; Margin of Error; Total households,Total; Estimate; TYPES OF COMPUTER - Has a computer,Total; Margin of Error; TYPES OF COMPUTER - Has a computer,Percent; Estimate; TYPES OF COMPUTER - Has a computer,Percent; Margin of Error; TYPES OF COMPUTER - Has a computer,Total; Estimate; TYPES OF COMPUTER - Has a computer - Desktop or laptop,Total; Margin of Error; TYPES OF COMPUTER - Has a computer - Desktop or laptop,Percent; Estimate; TYPES OF COMPUTER - Has a computer - Desktop or laptop,Percent; Margin of Error; TYPES OF COMPUTER - Has a computer - Desktop or laptop,Total; Estimate; TYPES OF COMPUTER - Has a computer - Desktop or laptop - Desktop or laptop alone,Total; Margin of Error; TYPES OF COMPUTER - Has a computer - Desktop or laptop - Desktop or laptop alone,Percent; Estimate; TYPES OF COMPUTER - Has a computer - Desktop or laptop - Desktop or laptop alone,Percent; Margin of Error; TYPES OF COMPUTER - Has a computer - Desktop or laptop - Desktop or laptop alone,Total; Estimate; TYPES OF COMPUTER - Has a computer - Handheld computer,Total; Margin of Error; TYPES OF COMPUTER - Has a computer - Handheld computer,Percent; Estimate; TYPES OF COMPUTER - Has a computer - Handheld computer,Percent; Margin of Error; TYPES OF COMPUTER - Has a computer - Handheld computer,Total; Estimate; TYPES OF COMPUTER - Has a computer - Handheld computer - Handheld computer alone,Total; Margin of Error; TYPES OF COMPUTER - Has a computer - Handheld computer - Handheld computer alone,Percent; Estimate; TYPES OF COMPUTER - Has a computer - Handheld computer - Handheld computer alone,Percent; Margin of Error; TYPES OF COMPUTER - Has a computer - Handheld computer - Handheld computer alone,Total; Estimate; TYPES OF COMPUTER - Has a computer - Other computer,Total; Margin of Error; TYPES OF COMPUTER - Has a computer - Other computer,Percent; Estimate; TYPES OF COMPUTER - Has a computer - Other computer,Percent; Margin of Error; TYPES OF COMPUTER - Has a computer - Other computer,Total; Estimate; TYPES OF COMPUTER - Has a computer - Other computer - Other computer alone,Total; Margin of Error; TYPES OF COMPUTER - Has a computer - Other computer - Other computer alone,Percent; Estimate; TYPES OF COMPUTER - Has a computer - Other computer - Other computer alone,Percent; Margin of Error; TYPES OF COMPUTER - Has a computer - Other computer - Other computer alone,Total; Estimate; TYPES OF COMPUTER - No computer,Total; Margin of Error; TYPES OF COMPUTER - No computer,Percent; Estimate; TYPES OF COMPUTER - No computer,Percent; Margin of Error; TYPES OF COMPUTER - No computer,Total; Estimate; TYPE OF INTERNET SUBSCRIPTIONS - With an Internet subscription:,Total; Margin of Error; TYPE OF INTERNET SUBSCRIPTIONS - With an Internet subscription:,Percent; Estimate; TYPE OF INTERNET SUBSCRIPTIONS - With an Internet subscription:,Percent; Margin of Error; TYPE OF INTERNET SUBSCRIPTIONS - With an Internet subscription:,Total; Estimate; TYPE OF INTERNET SUBSCRIPTIONS - With an Internet subscription: - Dial-up alone (no broadband subscription),Total; Margin of Error; TYPE OF INTERNET SUBSCRIPTIONS - With an Internet subscription: - Dial-up alone (no broadband subscription),Percent; Estimate; TYPE OF INTERNET SUBSCRIPTIONS - With an Internet subscription: - Dial-up alone (no broadband subscription),Percent; Margin of Error; TYPE OF INTERNET SUBSCRIPTIONS - With an Internet subscription: - Dial-up alone (no broadband subscription),Total; Estimate; TYPE OF INTERNET SUBSCRIPTIONS - With an Internet subscription: - With broadband subscription:,Total; Margin of Error; TYPE OF INTERNET SUBSCRIPTIONS - With an Internet subscription: - With broadband subscription:,Percent; Estimate; TYPE OF INTERNET SUBSCRIPTIONS - With an Internet subscription: - With broadband subscription:,Percent; Margin of Error; TYPE OF INTERNET SUBSCRIPTIONS - With an Internet subscription: - With broadband subscription:,Total; Estimate; TYPE OF INTERNET SUBSCRIPTIONS - With an Internet subscription: - With broadband subscription: - DSL,Total; Margin of Error; TYPE OF INTERNET SUBSCRIPTIONS - With an Internet subscription: - With broadband subscription: - DSL,Percent; Estimate; TYPE OF INTERNET SUBSCRIPTIONS - With an Internet subscription: - With broadband subscription: - DSL,Percent; Margin of Error; TYPE OF INTERNET SUBSCRIPTIONS - With an Internet subscription: - With broadband subscription: - DSL,Total; Estimate; TYPE OF INTERNET SUBSCRIPTIONS - With an Internet subscription: - With broadband subscription: - DSL - Mobile broadband,Total; Margin of Error; TYPE OF INTERNET SUBSCRIPTIONS - With an Internet subscription: - With broadband subscription: - DSL - Mobile broadband,Percent; Estimate; TYPE OF INTERNET SUBSCRIPTIONS - With an Internet subscription: - With broadband subscription: - DSL - Mobile broadband,Percent; Margin of Error; TYPE OF INTERNET SUBSCRIPTIONS - With an Internet subscription: - With broadband subscription: - DSL - Mobile broadband,Total; Estimate; TYPE OF INTERNET SUBSCRIPTIONS - With an Internet subscription: - With broadband subscription: - DSL - Mobile broadband - Mobile broadband alone or with dialup,Total; Margin of Error; TYPE OF INTERNET SUBSCRIPTIONS - With an Internet subscription: - With broadband subscription: - DSL - Mobile broadband - Mobile broadband alone or with dialup,Percent; Estimate; TYPE OF INTERNET SUBSCRIPTIONS - With an Internet subscription: - With broadband subscription: - DSL - Mobile broadband - Mobile broadband alone or with dialup,Percent; Margin of Error; TYPE OF INTERNET SUBSCRIPTIONS - With an Internet subscription: - With broadband subscription: - DSL - Mobile broadband - Mobile broadband alone or with dialup,Total; Estimate; TYPE OF INTERNET SUBSCRIPTIONS - With an Internet subscription: - With broadband subscription: - DSL - Cable modem,Total; Margin of Error; TYPE OF INTERNET SUBSCRIPTIONS - With an Internet subscription: - With broadband subscription: - DSL - Cable modem,Percent; Estimate; TYPE OF INTERNET SUBSCRIPTIONS - With an Internet subscription: - With broadband subscription: - DSL - Cable modem,Percent; Margin of Error; TYPE OF INTERNET SUBSCRIPTIONS - With an Internet subscription: - With broadband subscription: - DSL - Cable modem,Total; Estimate; TYPE OF INTERNET SUBSCRIPTIONS - With an Internet subscription: - With broadband subscription: - DSL - Fiber-optic,Total; Margin of Error; TYPE OF INTERNET SUBSCRIPTIONS - With an Internet subscription: - With broadband subscription: - DSL - Fiber-optic,Percent; Estimate; TYPE OF INTERNET SUBSCRIPTIONS - With an Internet subscription: - With broadband subscription: - DSL - Fiber-optic,Percent; Margin of Error; TYPE OF INTERNET SUBSCRIPTIONS - With an Internet subscription: - With broadband subscription: - DSL - Fiber-optic,Total; Estimate; TYPE OF INTERNET SUBSCRIPTIONS - With an Internet subscription: - With broadband subscription: - DSL - Satellite Internet service,Total; Margin of Error; TYPE OF INTERNET SUBSCRIPTIONS - With an Internet subscription: - With broadband subscription: - DSL - Satellite Internet service,Percent; Estimate; TYPE OF INTERNET SUBSCRIPTIONS - With an Internet subscription: - With broadband subscription: - DSL - Satellite Internet service,Percent; Margin of Error; TYPE OF INTERNET SUBSCRIPTIONS - With an Internet subscription: - With broadband subscription: - DSL - Satellite Internet service,Total; Estimate; TYPE OF INTERNET SUBSCRIPTIONS - With an Internet subscription: - Without an Internet subscription,Total; Margin of Error; TYPE OF INTERNET SUBSCRIPTIONS - With an Internet subscription: - Without an Internet subscription,Percent; Estimate; TYPE OF INTERNET SUBSCRIPTIONS - With an Internet subscription: - Without an Internet subscription,Percent; Margin of Error; TYPE OF INTERNET SUBSCRIPTIONS - With an Internet subscription: - Without an Internet subscription,"Total; Estimate; HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2015 INFLATION-ADJUSTED DOLLARS) - Less than $20,000:","Total; Margin of Error; HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2015 INFLATION-ADJUSTED DOLLARS) - Less than $20,000:","Percent; Estimate; HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2015 INFLATION-ADJUSTED DOLLARS) - Less than $20,000:","Percent; Margin of Error; HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2015 INFLATION-ADJUSTED DOLLARS) - Less than $20,000:","Total; Estimate; HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2015 INFLATION-ADJUSTED DOLLARS) - Less than $20,000: - With dial-up Internet subscription alone","Total; Margin of Error; HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2015 INFLATION-ADJUSTED DOLLARS) - Less than $20,000: - With dial-up Internet subscription alone","Percent; Estimate; HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2015 INFLATION-ADJUSTED DOLLARS) - Less than $20,000: - With dial-up Internet subscription alone","Percent; Margin of Error; HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2015 INFLATION-ADJUSTED DOLLARS) - Less than $20,000: - With dial-up Internet subscription alone","Total; Estimate; HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2015 INFLATION-ADJUSTED DOLLARS) - Less than $20,000: - With a broadband Internet subscription","Total; Margin of Error; HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2015 INFLATION-ADJUSTED DOLLARS) - Less than $20,000: - With a broadband Internet subscription","Percent; Estimate; HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2015 INFLATION-ADJUSTED DOLLARS) - Less than $20,000: - With a broadband Internet subscription","Percent; Margin of Error; HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2015 INFLATION-ADJUSTED DOLLARS) - Less than $20,000: - With a broadband Internet subscription","Total; Estimate; HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2015 INFLATION-ADJUSTED DOLLARS) - Less than $20,000: - Without an Internet subscription","Total; Margin of Error; HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2015 INFLATION-ADJUSTED DOLLARS) - Less than $20,000: - Without an Internet subscription","Percent; Estimate; HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2015 INFLATION-ADJUSTED DOLLARS) - Less than $20,000: - Without an Internet subscription","Percent; Margin of Error; HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2015 INFLATION-ADJUSTED DOLLARS) - Less than $20,000: - Without an Internet subscription","Total; Estimate; HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2015 INFLATION-ADJUSTED DOLLARS) - $20,000 to $74,999:","Total; Margin of Error; HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2015 INFLATION-ADJUSTED DOLLARS) - $20,000 to $74,999:","Percent; Estimate; HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2015 INFLATION-ADJUSTED DOLLARS) - $20,000 to $74,999:","Percent; Margin of Error; HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2015 INFLATION-ADJUSTED DOLLARS) - $20,000 to $74,999:","Total; Estimate; HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2015 INFLATION-ADJUSTED DOLLARS) - $20,000 to $74,999: - With dial-up Internet subscription alone","Total; Margin of Error; HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2015 INFLATION-ADJUSTED DOLLARS) - $20,000 to $74,999: - With dial-up Internet subscription alone","Percent; Estimate; HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2015 INFLATION-ADJUSTED DOLLARS) - $20,000 to $74,999: - With dial-up Internet subscription alone","Percent; Margin of Error; HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2015 INFLATION-ADJUSTED DOLLARS) - $20,000 to $74,999: - With dial-up Internet subscription alone","Total; Estimate; HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2015 INFLATION-ADJUSTED DOLLARS) - $20,000 to $74,999: - With a broadband Internet subscription","Total; Margin of Error; HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2015 INFLATION-ADJUSTED DOLLARS) - $20,000 to $74,999: - With a broadband Internet subscription","Percent; Estimate; HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2015 INFLATION-ADJUSTED DOLLARS) - $20,000 to $74,999: - With a broadband Internet subscription","Percent; Margin of Error; HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2015 INFLATION-ADJUSTED DOLLARS) - $20,000 to $74,999: - With a broadband Internet subscription","Total; Estimate; HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2015 INFLATION-ADJUSTED DOLLARS) - $20,000 to $74,999: - Without an Internet subscription","Total; Margin of Error; HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2015 INFLATION-ADJUSTED DOLLARS) - $20,000 to $74,999: - Without an Internet subscription","Percent; Estimate; HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2015 INFLATION-ADJUSTED DOLLARS) - $20,000 to $74,999: - Without an Internet subscription","Percent; Margin of Error; HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2015 INFLATION-ADJUSTED DOLLARS) - $20,000 to $74,999: - Without an Internet subscription","Total; Estimate; HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2015 INFLATION-ADJUSTED DOLLARS) - $75,000 or more:","Total; Margin of Error; HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2015 INFLATION-ADJUSTED DOLLARS) - $75,000 or more:","Percent; Estimate; HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2015 INFLATION-ADJUSTED DOLLARS) - $75,000 or more:","Percent; Margin of Error; HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2015 INFLATION-ADJUSTED DOLLARS) - $75,000 or more:","Total; Estimate; HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2015 INFLATION-ADJUSTED DOLLARS) - $75,000 or more: - With dial-up Internet subscription alone","Total; Margin of Error; HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2015 INFLATION-ADJUSTED DOLLARS) - $75,000 or more: - With dial-up Internet subscription alone","Percent; Estimate; HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2015 INFLATION-ADJUSTED DOLLARS) - $75,000 or more: - With dial-up Internet subscription alone","Percent; Margin of Error; HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2015 INFLATION-ADJUSTED DOLLARS) - $75,000 or more: - With dial-up Internet subscription alone","Total; Estimate; HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2015 INFLATION-ADJUSTED DOLLARS) - $75,000 or more: - With a broadband Internet subscription","Total; Margin of Error; HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2015 INFLATION-ADJUSTED DOLLARS) - $75,000 or more: - With a broadband Internet subscription","Percent; Estimate; HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2015 INFLATION-ADJUSTED DOLLARS) - $75,000 or more: - With a broadband Internet subscription","Percent; Margin of Error; HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2015 INFLATION-ADJUSTED DOLLARS) - $75,000 or more: - With a broadband Internet subscription","Total; Estimate; HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2015 INFLATION-ADJUSTED DOLLARS) - $75,000 or more: - Without an Internet subscription","Total; Margin of Error; HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2015 INFLATION-ADJUSTED DOLLARS) - $75,000 or more: - Without an Internet subscription","Percent; Estimate; HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2015 INFLATION-ADJUSTED DOLLARS) - $75,000 or more: - Without an Internet subscription","Percent; Margin of Error; HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2015 INFLATION-ADJUSTED DOLLARS) - $75,000 or more: - Without an Internet subscription"
0400000US01,01,Alabama,1846390,11341,(X),(X),1492641,12725,80.8,0.4,1270469,13435,68.8,0.5,213456,6898,11.6,0.4,1268465,12808,68.7,0.5,209412,7569,11.3,0.4,102632,5439,5.6,0.3,4406,1001,0.2,0.1,353749,7270,19.2,0.4,1271411,13359,68.9,0.5,10978,1452,0.6,0.1,1260433,13422,68.3,0.5,268187,8120,14.5,0.4,631827,9270,34.2,0.5,158733,6500,8.6,0.4,558562,10157,30.3,0.5,61316,3375,3.3,0.2,65333,3522,3.5,0.2,574979,9844,31.1,0.5,421076,10290,(X),(X),2467,711,0.6,0.2,177988,6682,42.3,1.1,240621,7353,57.1,1.1,907973,11010,(X),(X),6234,1030,0.7,0.1,618469,9365,68.1,0.6,283270,6736,31.2,0.6,517341,10884,(X),(X),2277,703,0.4,0.1,463976,11066,89.7,0.7,51088,3807,9.9,0.7
0400000US02,02,Alaska,250185,2685,(X),(X),231202,2914,92.4,0.7,209445,3356,83.7,1.0,24698,2312,9.9,0.9,204587,3287,81.8,1.1,18735,1904,7.5,0.8,33142,2706,13.2,1.1,402,171,0.2,0.1,18983,1845,7.6,0.7,205582,3662,82.2,1.3,1197,461,0.5,0.2,204385,3683,81.7,1.3,49100,2731,19.6,1.1,127380,4073,50.9,1.6,24821,2036,9.9,0.8,96958,3497,38.8,1.3,3374,790,1.3,0.3,6381,951,2.6,0.4,44603,3330,17.8,1.3,26856,2075,(X),(X),76,90,0.3,0.3,14466,1567,53.9,4.4,12314,1572,45.9,4.4,100741,3847,(X),(X),675,357,0.7,0.4,77416,3829,76.8,2.3,22650,2469,22.5,2.3,122588,3576,(X),(X),446,268,0.4,0.2,112503,3288,91.8,1.1,9639,1384,7.9,1.1
0400000US04,04,Arizona,2463008,12455,(X),(X),2158795,13440,87.6,0.3,1948232,13535,79.1,0.4,287226,8154,11.7,0.3,1858643,15522,75.5,0.4,200534,7235,8.1,0.3,125626,5246,5.1,0.2,2840,685,0.1,0.1,304213,7540,12.4,0.3,1934229,12999,78.5,0.4,10945,1278,0.4,0.1,1923284,12936,78.1,0.4,309953,8360,12.6,0.3,973372,11933,39.5,0.4,171219,5446,7.0,0.2,1099473,11794,44.6,0.5,48374,3289,2.0,0.1,96916,5162,3.9,0.2,528779,9744,21.5,0.4,431615,9312,(X),(X),1776,407,0.4,0.1,223967,6903,51.9,1.2,205872,7263,47.7,1.2,1223271,14072,(X),(X),6886,1033,0.6,0.1,948711,13166,77.6,0.6,267674,7426,21.9,0.6,808122,11919,(X),(X),2283,543,0.3,0.1,750606,11867,92.9,0.5,55233,3968,6.8,0.5
0400000US05,05,Arkansas,1144663,8300,(X),(X),931367,8814,81.4,0.4,789136,9836,68.9,0.6,132369,4976,11.6,0.4,791861,8993,69.2,0.5,132895,4895,11.6,0.4,66708,5219,5.8,0.5,2534,682,0.2,0.1,213296,5253,18.6,0.4,744165,8228,65.0,0.5,9490,1356,0.8,0.1,734675,8143,64.2,0.5,175422,6196,15.3,0.5,351301,8261,30.7,0.7,109358,5134,9.6,0.5,292760,7486,25.6,0.6,36494,2884,3.2,0.3,59208,3247,5.2,0.3,400498,6043,35.0,0.5,259127,7588,(X),(X),2424,774,0.9,0.3,104188,5341,40.2,1.7,152515,6262,58.9,1.7,597841,8444,(X),(X),4919,902,0.8,0.2,383951,7316,64.2,0.8,208971,5785,35.0,0.8,287695,6702,(X),(X),2147,621,0.7,0.2,246536,6486,85.7,1.0,39012,2889,13.6,1.0
0400000US06,06,California,12896357,19487,(X),(X),11567258,23784,89.7,0.1,10543576,26053,81.8,0.2,1179849,14625,9.1,0.1,10292437,27223,79.8,0.2,923058,15586,7.2,0.1,1208793,16850,9.4,0.1,27202,2734,0.2,0.1,1329099,16772,10.3,0.1,10552961,29380,81.8,0.2,67903,3244,0.5,0.1,10485058,29211,81.3,0.2,1808042,19341,14.0,0.2,5626768,28613,43.6,0.2,791820,14879,6.1,0.1,5548668,29606,43.0,0.2,830724,13331,6.4,0.1,356293,9509,2.8,0.1,2343396,24489,18.2,0.2,1893023,20309,(X),(X),13762,1523,0.7,0.1,1043511,16305,55.1,0.6,835750,13444,44.1,0.6,5343901,31680,(X),(X),33709,2695,0.6,0.1,4138357,31146,77.4,0.3,1171835,17727,21.9,0.3,5659433,26563,(X),(X),20432,1977,0.4,0.1,5303190,27882,93.7,0.2,335811,9990,5.9,0.2
0400000US08,08,Colorado,2074735,7548,(X),(X),1898146,8877,91.5,0.3,1762319,9294,84.9,0.4,209437,6182,10.1,0.3,1679951,9378,81.0,0.4,126016,6367,6.1,0.3,122448,5829,5.9,0.3,3056,791,0.1,0.1,176589,5742,8.5,0.3,1733731,9048,83.6,0.3,12597,1529,0.6,0.1,1721134,9136,83.0,0.4,392211,8259,18.9,0.4,896472,10379,43.2,0.5,122751,6181,5.9,0.3,894591,11503,43.1,0.5,40991,2993,2.0,0.1,81589,4178,3.9,0.2,341004,7269,16.4,0.3,264060,7957,(X),(X),2303,554,0.9,0.2,151725,6480,57.5,1.5,110032,4870,41.7,1.5,924855,10393,(X),(X),7666,1206,0.8,0.1,731497,10258,79.1,0.6,185692,5944,20.1,0.6,885820,9859,(X),(X),2628,679,0.3,0.1,837912,9187,94.6,0.3,45280,3119,5.1,0.3
0400000US09,09,Connecticut,1343703,6712,(X),(X),1189840,7642,88.5,0.5,1100683,8091,81.9,0.5,164650,5426,12.3,0.4,1015452,8635,75.6,0.6,81307,4428,6.1,0.3,106329,5246,7.9,0.4,2987,731,0.2,0.1,153863,6402,11.5,0.5,1108097,8857,82.5,0.6,6106,918,0.5,0.1,1101991,8819,82.0,0.6,151171,5320,11.3,0.4,521893,9697,38.8,0.7,40277,3158,3.0,0.2,757761,9695,56.4,0.7,31506,2268,2.3,0.2,16262,2051,1.2,0.2,235606,7792,17.5,0.6,181948,6398,(X),(X),713,304,0.4,0.2,94070,4756,51.7,1.8,87165,4419,47.9,1.8,516659,8106,(X),(X),3348,763,0.6,0.1,400158,7415,77.5,0.9,113153,5383,21.9,0.9,645096,8013,(X),(X),2045,528,0.3,0.1,607763,7994,94.2,0.5,35288,3278,5.5,0.5
0400000US10,10,Delaware,352595,3920,(X),(X),307942,4023,87.3,0.8,277528,4240,78.7,1.0,42543,2930,12.1,0.8,263203,4175,74.6,0.9,27805,2833,7.9,0.8,23040,2480,6.5,0.7,1406,718,0.4,0.2,44653,2815,12.7,0.8,275024,4527,78.0,1.1,2096,643,0.6,0.2,272928,4672,77.4,1.1,21521,2081,6.1,0.6,118275,3895,33.5,1.1,15275,2037,4.3,0.6,138539,4700,39.3,1.3,63815,3827,18.1,1.1,5215,1155,1.5,0.3,77571,3944,22.0,1.1,45653,3390,(X),(X),531,297,1.2,0.7,23111,2221,50.6,3.4,22011,2377,48.2,3.4,163325,4531,(X),(X),1082,489,0.7,0.3,118793,4227,72.7,1.5,43450,2804,26.6,1.6,143617,4378,(X),(X),483,312,0.3,0.2,131024,4114,91.2,1.3,12110,1875,8.4,1.2
0400000US12,12,Florida,7463184,23147,(X),(X),6533691,26548,87.5,0.2,5929598,30863,79.5,0.3,943153,15569,12.6,0.2,5537356,27920,74.2,0.3,549931,16819,7.4,0.2,494313,13741,6.6,0.2,17390,2235,0.2,0.1,929493,15276,12.5,0.2,5823194,27083,78.0,0.2,40830,3352,0.5,0.1,5782364,27166,77.5,0.2,797265,13735,10.7,0.2,2628343,22799,35.2,0.3,335239,8816,4.5,0.1,3433013,24482,46.0,0.3,457923,10721,6.1,0.1,119334,4560,1.6,0.1,1639990,18216,22.0,0.2,1360052,15069,(X),(X),9423,1657,0.7,0.1,717053,13203,52.7,0.8,633576,12688,46.6,0.8,3785051,25901,(X),(X),24247,2259,0.6,0.1,2929841,23470,77.4,0.3,830963,14232,22.0,0.3,2318081,19805,(X),(X),7160,1242,0.3,0.1,2135470,17760,92.1,0.3,175451,7394,7.6,0.3
