"NAME","total.workers","total.drove.alone","total.carpool","total.public.transportation","agriculture.total","agriculture.drove.alone","agriculture.carpool","agriculture.public","construction.total","construction.drove.alone","construction.carpool","construction.public","manufacturing.total","manufacturing.drove.alone","manufacturing.carpool","manufacturing.public","wholesale.total","wholesale.drove.alone","wholesale.carpool","wholesale.public","retail.total","retail.drove.alone","retail.carpool","retail.public","transportation.total","transportation.drove.alone","transportation.carpool","transportation.public","info.finance.total","info.finance.drove.alone","info.finance.carpool","info.finance.public","science.total","science.drove.alone","science.carpool","science.public","education.total","education.drove.alone","education.carpool","education.public","arts.total","arts.drove.alone","arts.carpool","arts.public","other.total","other.drove.alone","other.carpool","other.public","public.admin.total","public.admin.drove.alone","public.admin.carpool","public.admin.public","armed.forces.total","armed.forces.drove.alone","armed.forces.carpool","armed.forces.public"
"Alabama",2011723,1719972,180752,6066,1.7,1.5,1.7,2.2,6.2,5.7,11.2,5.3,14.3,14.4,15.5,11.9,2.5,2.5,1.8,2.3,11.7,12.1,9.4,13.4,5.3,5.4,4.3,2.7,7.1,7.4,3.8,1.6,9.6,9.2,8.8,7,22.4,22.8,22.4,17.8,8.3,7.9,12.1,29.4,5.2,5.1,5.3,3.3,5.2,5.6,3.6,3.2,0.5,0.5,0.2,0
"Alaska",363075,246577,45738,5608,5,3.5,3.6,9.4,6.8,7.4,4.9,5.9,3.1,2.4,2,0.7,2,1.8,4.5,0.9,10.5,10.4,12.2,17.6,7.3,7.7,6.2,6.6,5.3,6.2,4.6,4.2,8.2,8.1,5.6,14.8,22.1,22.5,23.8,19.2,9.2,8.5,11,14.2,4.5,4.9,4.6,0.2,11.2,11.5,12.3,5.7,4.9,5.1,4.8,0.5
"Arizona",2899727,2234511,307864,59686,1.4,1.2,2.2,4.2,6.6,6.5,9.5,2.4,7,7.2,7.9,5.3,2.3,2.4,2.4,1.5,12.5,12.9,10.9,15.6,5,5.3,3.4,4.2,10.1,10.1,8.1,6.5,12.1,11,13.9,13.9,21.4,22.2,19.6,16.1,11.1,10.6,12.5,20.9,4.7,4.7,4.6,5,5.1,5.4,4.7,3.9,0.6,0.6,0.5,0.5
"Arkansas",1253288,1035546,134929,5791,3.2,2.5,4.2,1.5,6.4,5.8,11.3,0,13.9,14.1,16,11.1,2.4,2.5,2.1,1.1,13.7,14.4,10.8,11.3,5.6,5.8,4.1,1.4,6.2,6.4,4.3,6.7,7.1,6.7,7.1,0.9,24.2,24.6,22.8,46.2,7.6,7.4,8.7,11.7,4.7,4.4,4.8,6.8,4.6,5,3.4,1.5,0.4,0.4,0.4,0
"California",17633846,13031320,1770281,923600,2.4,2,5.5,0.8,6.1,6.2,9.1,3.2,9.5,10,10.8,7.4,2.9,3.1,2.8,1.6,10.8,11.1,9.6,11.6,4.9,5.4,4.2,3.6,8.9,8.7,6.3,10.6,13.2,12.1,12.7,18.2,20.4,21.2,18.6,16.4,10.5,10.1,10.6,15.1,5.3,5.1,5.6,6.4,4.3,4.5,3.8,4.7,0.7,0.6,0.5,0.4
"Colorado",2740368,2095695,230500,80917,2.6,2.4,3,2,7.8,7.9,13.6,3.2,6.8,7.1,6.3,4.2,2.6,2.7,2,1.4,11.2,11.5,10.3,11.5,4.5,4.8,4.3,4.3,9.8,9.8,6.7,11.9,13.8,12.2,13.1,17.8,20.3,21.1,20.1,14.6,10.3,9.7,11.2,19.2,4.9,5,4.7,3.8,4.4,4.7,3.8,6.1,1.1,1,1,0
"Connecticut",1773121,1391000,138902,87516,0.4,0.3,0.4,0.2,5.9,5.9,10,2.7,10.4,10.9,12.2,5.5,2.6,2.8,1.5,2,10.9,10.7,12.3,14.5,4,4.3,3.6,3.3,11.7,11.2,6.8,23.8,11.6,10.3,12.8,14.5,26,27.3,22,17.2,7.9,7.4,11.1,10.1,4.3,4.3,4.9,3.5,3.8,4.4,2,2.6,0.5,0.3,0.4,0
"Delaware",441183,359029,34752,12104,1.1,1,1.1,0,6.4,6.2,8.1,2.2,8,8.3,7.8,1.7,1.6,1.6,2.5,0.4,12.1,12.2,11.8,22.2,4,4,3.9,3.7,11.2,11.4,7.4,10.6,10,9.2,10.2,8.1,24.8,25.9,22.4,23.7,10.1,9.4,15.5,15.3,4.5,4.3,5.1,5.2,5.4,5.6,3.5,7,0.7,0.7,0.8,0
"Florida",8880102,7075864,794711,195638,1.1,0.8,2.2,4.4,7.1,6.7,11.1,5.7,5.1,5.3,4.6,3,2.8,2.8,2.4,1.5,13,13.3,13,15.8,5.1,5.3,4.1,2.9,9.8,9.8,6.9,5.3,12.9,12,13.8,10,20.6,21.9,19.2,15.8,12.4,11.9,14.1,24.3,5.2,5,5.5,7.8,4.2,4.7,2.7,2.5,0.6,0.6,0.4,0.8
"Georgia",4555243,3626672,453091,104957,1.1,0.9,2.1,1.1,6.4,5.5,14.6,4,10.9,11.4,11.3,4.4,2.9,3,2.3,1.9,11.9,12.4,10.2,12.3,6,6.2,4.8,7.8,8.5,8.6,4.7,6.3,11.7,10.6,11,12.5,20.6,21.9,17.6,16.8,9.1,8.4,11.3,20.8,5,4.9,6.1,4.5,4.9,5.4,3.5,5.6,1,0.9,0.6,2.1
