"NAME","Total.Seats","Total.Senate","Senate.Dem","Senate.Rep","Senate.other","Total.House","House.Dem","House.Rep","House.other","Legis.Control","Gov.Party","State.Control","Year","ATF.Region","Pop2016","LicCount","LicCountMonthly","perCapFFLyear","perCapitaFFL"
"Alabama",140,35,11,23,"1","105",37,66,"1, 1v","Rep","Rep","Rep","2014",1,4863300,14761,1230.08333333333,303.518187239117,25.2931822699265
"Alaska",60,20,7,13,"0","40",14,26,"0","Rep","Rep","Rep","2014",9,741894,7284,607,981.811417803622,81.8176181503018
"Arizona",90,30,12,17,"1v","60",24,36,"0","Rep","Rep","Rep","2014",9,6931071,21759,1813.25,313.934166884166,26.1611805736805
"Arkansas",135,35,13,22,"0","100",48,51,"1","Rep","Dem","Divided","2014",5,2988248,15251,1270.91666666667,510.365940176317,42.5304950146931
"California",120,40,28,11,"1v","80",55,25,"0","Dem","Dem","Dem","2014",9,39250017,30579,2548.25,77.9082465110779,6.49235387592316
"Colorado",100,35,18,17,"0","65",37,28,"0","Dem","Dem","Dem","2014",5,5540545,20702,1725.16666666667,373.645552919433,31.1371294099528
"Connecticut",187,36,21,14,"1v","151",98,53,"0","Dem","Dem","Dem","2014",6,3576452,6473,539.416666666667,180.98942751084,15.08245229257
"Delaware",62,21,13,8,"0","41",27,14,"0","Dem","Dem","Dem","2014",8,952065,1433,119.416666666667,150.514933329132,12.542911110761
"Florida",160,40,14,26,"0","120",45,74,"1v","Rep","Rep","Rep","2014",1,20612439,38357,3196.41666666667,186.086663494796,15.5072219578996
"Georgia",236,56,18,38,"0","180",60,119,"1","Rep","Rep","Rep","2014",1,10310371,23825,1985.41666666667,231.078008735088,19.256500727924
"Hawaii",76,25,24,1,"0","51",44,7,"0","Dem","Dem","Dem","2014",9,1428557,1252,104.333333333333,87.6408851729402,7.30340709774502
"Idaho",105,35,7,28,"0","70",13,57,"0","Rep","Rep","Rep","2014",9,1683140,11462,955.166666666667,680.989103699039,56.7490919749199
"Illinois",177,59,40,19,"0","118",71,47,"0","Dem","Dem","Dem","2014",3,12801539,24367,2030.58333333333,190.344301571866,15.8620251309888
"Indiana",150,50,13,37,"0","100",31,69,"0","Rep","Rep","Rep","2014",4,6633053,17601,1466.75,265.352922703919,22.1127435586599
"Iowa",150,50,26,24,"0","100",47,53,"0","Split","Rep","Divided","2014",5,3134693,15442,1286.83333333333,492.616023323496,41.051335276958
"Kansas",165,40,8,32,"0","125",33,92,"0","Rep","Rep","Rep","2014",5,2907289,13432,1119.33333333333,462.011172607883,38.5009310506569
"Kentucky",138,38,14,23,"1","100",54,46,"0","Split","Dem","Divided","2014",4,4436974,16951,1412.58333333333,382.039651347968,31.8366376123307
"Louisiana",144,39,13,26,"0","105",44,59,"2","Rep","Rep","Rep","2014",5,4681666,14627,1218.91666666667,312.431514764189,26.0359595636824
"Maine",186,35,19,15,"1","151",89,58,"4","Dem","Rep","Divided","2014",6,1331479,6210,517.5,466.398643914023,38.866553659502
"Maryland",188,47,36,11,"0","141",98,43,"0","Dem","Dem","Dem","2014",8,6016447,7083,590.25,117.727289877232,9.81060748976929
"Massachusetts",200,40,36,4,"0","160",131,29,"0","Dem","Dem","Dem","2014",6,6811779,5880,490,86.3210623832629,7.19342186527191
