"NAME","total.BA","Science.and.Engineering","Science.Engineering.related","Business","Education","Arts.Humanities.Others","male.total.BA","male.Science.and.Engineering","male.Science.Engineering.related","male.Business","male.Education","male.Arts.Humanities.Others","female.total.BA","female.Science.and.Engineering","female.Science.Engineering.related","female.Business","female.Education","female.Arts.Humanities.Others","POPESTIMATE2015","POPESTIMATE2016","perCapitaFFL"
"Alabama",16334.9076768561,4799.21712034199,1636.30089361593,3765.03309211712,2798.62996059849,3335.72661018259,7544.50825371482,3018.06288789884,420.69480569648,2084.29347686127,563.467332801113,1457.98975045711,8790.3994231413,1781.15423244315,"59004","81581","108492","91143",4853875,4863300,25.2931822699265
"Alaska",18898.5087615849,6857.31094510166,1742.42146971231,3049.30534939929,2763.28470982461,4486.18628754699,9196.44466856172,4049.69981388325,464.681873204746,1708.5327683409,839.219800761547,2134.31041237127,9702.06409302313,2807.61113121841,"9426","9891","14194","17350",737709,741894,81.8176181503018
"Arizona",18444.2539235049,6110.83282667639,1752.17984720351,3988.11012436258,2688.23252876944,3904.89859649303,9115.82067791066,3853.8539786566,507.263223746308,2314.96142684375,644.291620248579,1795.45042841542,9328.43324559429,2256.97884801978,"84873","114068","139347","143813",6817565,6931071,26.1611805736805
"Arkansas",14553.471914161,4248.36283053596,1425.08713492573,3200.19154740009,2803.36201954898,2876.46838175021,6660.46980828134,2647.78012883779,309.753369289888,1857.17696608933,550.49728781105,1295.26205625328,7893.00210587964,1600.58270169817,"33213","39993","67087","47086",2977853,2988248,42.5304950146931
"California",21582.0458255821,8789.99403497056,1729.18663771858,4069.66056777027,1445.30406519577,5547.90051992694,10573.5327079028,5233.15930629221,536.67313433831,2205.66323895457,337.76530404468,2260.27172427305,11008.5131176793,3556.83472867835,"465008","726846","431873","1281976",38993940,39250017,6.49235387592316
"Colorado",26441.9867864945,10158.0911386486,2223.89475590949,5251.39484354316,2700.36497817233,6108.2410702209,12939.9600170239,6075.05956795408,675.96299308162,2982.7013890533,669.172530781441,2537.06353615343,13502.0267694706,4083.03157069449,"84344","123617","110676","194587",5448819,5540545,31.1371294099528
"Connecticut",26446.7337846923,9559.26945683496,2256.04159866991,5217.18511575488,2810.08611527228,6604.15149816025,12534.6120907293,5599.44542545743,564.979789272832,3038.1088673345,631.679373341925,2700.3986353226,13912.121693963,3959.82403137754,"60620","78114","78090","139939",3584730,3576452,15.08245229257
"Delaware",21389.0618975591,7449.82395485109,2229.26967744122,4742.30888191205,3004.41913574755,3963.24024760718,10000.8897588753,4232.92192577716,515.106834619247,2687.70734559506,728.966735728903,1836.18691715497,11388.1721386837,3216.90202907393,"16183","19397","21482","20081",944076,952065,12.542911110761
"Florida",20214.1535399953,6340.81725415084,2047.9267039613,4919.10709030426,2913.28478846588,3993.01770311299,9819.74534443565,3938.78679850159,554.331818845958,2846.25560770473,672.850474939039,1807.52064444433,10394.4081955596,2402.03045564926,"302377","419647","453574","442452",20244914,20612439,15.5072219578996
"Georgia",19610.1083612974,6291.19483326369,1747.5443158508,4762.72227047126,2676.83445630811,4131.81248540355,9113.11628392185,3735.45575925167,483.567755665579,2634.68490983487,522.90341057384,1736.50444859589,10496.9920773755,2555.73907401202,"128918","217047","219688","244307",10199398,10310371,19.256500727924
"Hawaii",21695.4342574187,7772.68750039469,1937.96192279166,4287.73812288751,2890.9095629464,4806.13714839839,10427.7633972959,4769.7201080302,630.948028883835,2264.31193194855,764.687680024025,1998.09564840926,11267.6708601228,3002.96739236449,"18627","28837","30302","40019",1425157,1428557,7.30340709774502
"Idaho",16753.8304046156,5613.77227394502,1829.6519662058,3046.05197879029,2756.48766840833,3507.86651726616,8601.80248640512,3789.7470275189,498.236961135702,1983.20696406402,706.667602436551,1623.94393124995,8152.02791821049,1824.02524642613,"22006","17567","33880","31138",1652828,1683140,56.7490919749199
"Illinois",22225.4813772393,7262.28356356979,2097.07153498231,4826.29279260369,2998.00288915525,5041.83059692826,10573.1912968307,4376.6955600365,589.919173907534,2683.11970506845,724.485236326341,2198.97162149184,11652.2900804086,2885.58800353328,"193504","275163","291898","364996",12839047,12801539,15.8620251309888
"Indiana",16454.8340422649,4614.60314349452,2027.42633644489,3421.41142710587,2807.68960895044,3583.70352626918,7800.16779660197,2891.81474384101,605.767509158041,1900.68667160257,734.39745655677,1667.50141544358,8654.66624566293,1722.78839965352,"94011","100562","137102","126714",6612768,6633053,22.1127435586599
"Iowa",17828.044037198,5423.19547392262,1759.77106960705,3737.54362992661,3302.05314098636,3605.48072275534,8390.01446830346,3517.04373835081,480.782012282523,2066.81812954977,873.67156342559,1451.69902469477,9438.02956889452,1906.15173557181,"39930","52160","75814","67241",3121997,3134693,41.051335276958
"Kansas",20609.5803484407,6040.79304480891,2227.80239314334,4460.31800093645,3642.28283347456,4238.38407607748,9919.83750762457,3927.27750616588,629.95382081734,2531.82193956696,971.988711678899,1858.79552939549,10689.7428408162,2113.51553864303,"46445","56056","77618","69168",2906721,2907289,38.5009310506569
"Kentucky",15734.1289437648,4603.54593884073,1781.85155711994,3099.84312745233,2691.92026146479,3556.96805888698,7180.31483445663,2736.73776067546,483.138517713761,1760.71975592883,660.080626296865,1539.63817384172,8553.81410930814,1866.80817816527,"57463","59251","89901","89259",4424611,4436974,31.8366376123307
"Louisiana",15379.3992666461,4289.32781604469,1895.21863541345,3090.19567526815,2606.08358178267,3498.57355813714,6845.20749802954,2608.03262396765,521.422329598026,1677.93255885679,515.211096261266,1522.60888934581,8534.19176861657,1681.29519207704,"64142","65938","97622","92257",4668960,4681666,26.0359595636824
"Maine",21779.8598370909,7727.38863276851,2126.96499989093,2999.65474522228,3399.06713513001,5526.78432407915,9944.4658818326,4421.1416274212,519.236106880048,1697.46504765494,968.89472587598,2337.72837400043,11835.3939552583,3306.24700534731,"21374","17312","32308","42397",1329453,1331479,38.866553659502
"Maryland",26549.0994720085,10770.0555614586,2302.65873981628,4930.45601630563,2625.84564459983,5920.08350982813,12427.5081347186,6208.40793043116,603.387866154083,2577.15493104818,565.289342772115,2473.26806431311,14121.5913372899,4561.64763102748,"101871","141080","123530","206636",5994983,6016447,9.81060748976929
