"NAME","edu.02.Total.18to24","edu.02.Total.18.to24.Male","edu.02.Total.18to24.Female","edu.03.Total.18to24.LessHS","edu.03.Total.18to24.LessHS.Male","edu.03.Total.18to24.LessHS.Female","edu.04.Total.18to24.HS","edu.04.Total.1824.HS.Male","edu.04.Total.18to24.HS.Female","edu.05.Total.18to24.AA","edu.05.Total.18to24.AA.Male","edu.05.Total.18to24.AA.Female","edu.06.Total.18to24.BA","edu.06.Total.18to24.BA.Male","edu.06.Total.18to24.BA.Female","edu.20.Total.25to34","edu.20.Total.25to34.Male","edu.20.Total.25to34.Female","edu.21.Total.25to34.HS","edu.21.Total.25to34.HS.Male","edu.21.Total.25to34.HS.Female","edu.22.Total.25to34.BA","edu.22.Total.25to34.BA.Male","edu.22.Total.25to34.BA.Female","edu.24.Total.35to44","edu.24.Total.35to44.Male","edu.24.Total.35to44.Female","edu.25.Total.35to44.HS","edu.25.Total.35to44.HS.Male","edu.25.Total.35to44.HS.Female","edu.26.Total.35to44.BA","edu.26.Total.35to44.BA.Male","edu.26.Total.35to44.BA.Female","edu.28.Total.45to64","edu.28.Total.45to64.Male","edu.28.Total.45to64.Female","edu.29.Total.45to64.HS","edu.29.Total.45to64.HS.Male","edu.29.Total.45to64.HS.Female","edu.30.Total.45to64.BA","edu.30.Total.45to64.BA.Male","edu.30.Total.45to64.BA.Female","edu.32.Total.65plus","edu.32.Total.65plus.Male","edu.32.Total.65plus.Female","edu.33.Total.65plus.HS","edu.33.Total.65plus.HS.Male","edu.33.Total.65plus.HS.Female","edu.34.Total.65plus.BA","edu.34.Total.65plus.BA.Male","edu.34.Total.65plus.BA.Female","POPESTIMATE2015","POPESTIMATE2016","perCapitaFFL"
"Alabama",9648.35311992995,4855.74927248848,4792.60384744148,1462.58401792382,840.689140120007,621.894877803816,3082.32082614406,1727.71239473616,1354.6084314079,4381.73624166259,2017.33666400556,2364.39957765703,721.71203419948,270.011073626742,451.700960572738,12865.4322577322,6279.76616620741,6585.66609152481,11180.5310190312,5316.70057428343,5863.83044474775,3319.61577090469,1399.66521593572,1919.95055496897,12612.4591177152,6121.17122917257,6491.28788854266,10890.2680847776,5104.56078906029,5785.70729571734,3411.58352862404,1422.47173649919,1989.11179212485,26447.7350570421,12778.2235842497,13669.5114727924,22716.3245860266,10780.8091473307,11935.5154386959,6283.68056449744,2932.70840308001,3350.97216141742,15695.6452319023,6784.37330998429,8911.27192191806,12597.337179058,5552.63578069069,7044.70139836728,3320.02781282996,1789.66289819989,1530.36491463006,4853875,4863300,25.2931822699265
"Alaska",11185.7114390634,6542.28157715305,4643.42986191032,1684.53956776995,1059.36080487021,625.178762899734,4258.58976913661,2505.59502459642,1752.99474454019,4592.86791946418,2692.79621097208,1900.0717084921,649.714182692633,284.529536714341,365.184645978292,16100.9286859724,8666.4253791129,7434.50330685948,14955.3550248133,8052.22655545751,6903.1284693558,4563.85919109025,2171.31687426885,2392.5423168214,12424.4112515911,6476.53749649252,5947.87375509856,11681.7064723353,6096.71293152178,5584.99354081352,3635.85099273562,1627.60654946598,2008.24444326964,25495.2833705431,13227.0312548715,12268.2521156716,23862.1190740522,12369.3760005639,11492.7430734883,7799.14573361583,3854.22978437297,3944.91594924286,9625.47562792375,4750.92482266043,4874.55080526332,8454.55321813886,4229.58104076269,4224.97217737617,2899.65284414315,1543.29146045392,1356.36138368923,737709,741894,81.8176181503018
"Arizona",9821.43917953111,5072.66157345034,4748.77760608076,1674.89418876094,983.400965007301,691.493223753642,2982.17912113783,1661.25295468397,1320.92616645386,4441.13110766087,2128.7952516771,2312.33585598377,723.234761971466,299.212402081975,424.022359889491,13417.708522031,6914.93223753642,6502.77628449454,11667.9782297639,5900.90450182727,5767.07372793659,3535.67586080954,1594.92428748387,1940.75157332567,12398.4736485827,6242.77142938865,6155.7022191941,10404.5359303505,5149.28717217951,5255.24875817099,3560.91947784876,1698.15762665996,1862.7618511888,24303.6186673688,11788.0650936221,12515.5535737466,21028.431705455,10107.7877511986,10920.6439542564,6773.65012288112,3292.48052640496,3481.16959647616,16428.2115388705,7555.07281558738,8873.13872328317,14191.9585658516,6649.16286093349,7542.79570491811,4574.00846196553,2530.25823736187,2043.75022460365,6817565,6931071,26.1611805736805
"Arkansas",9551.88184238779,4860.07872114574,4691.80312124205,1219.30128854581,680.691760137253,538.609528408555,3027.44964241015,1731.98609870937,1295.46354370078,4617.58857807958,2170.42278446921,2447.16579361036,687.542333352251,276.9780778299,410.564255522351,12941.9081465741,6393.16312793143,6548.74501864263,11471.8557296146,5577.94491534673,5893.91081426786,3124.16361721012,1325.18294220702,1798.9806750031,12341.0725781293,6125.92361006403,6215.14896806525,10843.5842870686,5316.38062725057,5527.203659818,3095.65314338888,1355.10382816076,1740.54931522812,25414.7870966095,12405.3470738818,13009.4400227278,21854.3024118383,10432.8185440987,11421.4838677396,5339.88749612556,2357.94043560915,2981.94706051642,16055.6615789967,7130.13704840366,8925.52453059301,12842.7427411628,5749.47789565167,7093.26484551118,2993.76765743641,1622.24260230441,1371.525055132,2977853,2988248,42.5304950146931
"California",10112.1789693475,5225.69147924011,4886.48749010744,1258.60325989115,760.536124331114,498.067135560038,2991.4930371232,1688.84447173074,1302.64856539247,4883.70500647024,2362.07728688099,2521.62771958925,978.377665862952,414.233596297271,564.144069565681,14957.996037333,7680.27801242962,7277.71802490336,13023.0210130087,6557.64972711144,6465.37128589724,5090.94490066918,2359.38199627942,2731.56290438976,13310.7093050869,6672.03416736036,6638.67513772653,10824.3998939322,5348.89267409244,5475.5072198398,4619.11004633028,2165.42365300865,2453.68639332163,25318.3520311105,12448.2650381059,12870.0869930046,20567.0752942637,10054.4546152556,10512.6206790081,7863.87833596708,3907.18660386717,3956.69173209991,13308.6269302358,5894.64414214106,7413.98278809477,10572.901840645,4796.26834323487,5776.63349741011,4008.1125426156,2141.54045474758,1866.57208786801,38993940,39250017,6.49235387592316
"Colorado",9689.23724572242,5101.3256267092,4587.91161901322,1296.02396409204,736.361402351592,559.662561740443,2894.75572596557,1681.83233834708,1212.92338761849,4420.16884759798,2264.80270311787,2155.36614448012,1078.28870806683,418.32918289266,659.959525174171,15180.1151772522,7867.1176267738,7312.99755047837,13981.9105754843,7157.56937420751,6824.34120127683,5963.25552381167,2732.79402380589,3230.46150000578,13544.0175201268,6961.58195014369,6582.43556998315,12178.730840573,6173.28268749613,6005.44815307684,5856.00292467047,2751.77061304477,3104.23231162569,25604.7227848824,12675.1136347161,12929.6091501663,23597.0400191308,11631.4562843802,11965.5837347506,9887.24345587548,4854.42808799485,5032.81536788064,13059.1968644949,5939.26867455131,7119.92818994355,11686.8260810278,5393.90278884287,6292.92329218497,4735.48488213685,2600.96729217836,2134.51758995848,5448819,5540545,31.1371294099528
"Connecticut",9842.94493588081,5073.12963598374,4769.81529989706,1059.52191657391,694.975632753373,364.546283820539,2721.68336248476,1557.49526463639,1164.18809784837,4611.0864695528,2191.82476783468,2419.26170171812,1450.65318726933,628.833970759304,821.81921651003,12351.7252345365,6229.06048712176,6122.66474741473,11390.0907460255,5666.31238614903,5723.77835987648,5403.58688102033,2435.05089644129,2968.53598457903,12065.1764568043,5887.80744993347,6177.36900687081,11088.4780722676,5313.67773863025,5774.8003336374,5043.64345431874,2244.74367665068,2798.89977766805,28848.8951748109,13972.6283429993,14876.2668318116,26502.8607454397,12709.436972938,13793.4237725017,11062.3394230528,5244.38381691229,5817.95560614049,15769.1932167834,6800.76323739863,8968.42997938478,13295.2272556092,5773.87976221361,7521.3474933956,4937.16402630045,2610.43370072502,2326.73032557543,3584730,3576452,15.08245229257
"Delaware",9437.58765184159,4766.35355628149,4671.2340955601,1331.88429745063,787.542528355768,544.341769094861,2895.95329189599,1518.09811921922,1377.85517267678,4173.28689639393,1972.51068769887,2200.77620869506,1036.46316610103,488.202221007631,548.260945093404,13171.3972180206,6469.39441316165,6702.00280485893,11589.8508170952,5616.07328223575,5973.77753485948,4329.73616530872,1923.67987323054,2406.05629207818,11728.6108321788,5709.81573517386,6018.7950970049,10436.3419894161,5018.3459806202,5417.9960087959,4140.76832797359,1682.91535850927,2457.85296946432,27194.5267118325,12924.912824815,14269.6138870176,24725.9754511289,11436.155563747,13289.8198873819,8454.0863235587,3924.89587702685,4529.19044653185,17035.0692105297,7622.58546981387,9412.48374071579,14713.328164258,6543.43506243141,8169.89310182655,4464.47108071808,2469.39865010868,1995.0724306094,944076,952065,12.542911110761
"Florida",8762.70454890547,4505.96628861945,4256.73826028602,1437.00783317726,849.981382978461,587.026450198801,2602.66356280891,1474.20236015821,1128.4612026507,3953.68930685505,1877.05415789862,2076.63514895642,769.343846064251,304.728387584161,464.61545848009,12809.404870774,6438.17503991373,6371.22983086023,11489.3548078298,5635.4450307865,5853.90977704326,3724.05138396735,1607.08017826107,2116.97120570628,12168.3500359646,6026.19502359951,6142.15501236508,10786.7635298426,5218.43165152492,5568.33187831769,3734.41942010719,1639.78962815056,2094.62979195664,26635.4453271572,12825.9374181585,13809.5079089988,23596.0794893967,11175.7402377703,12420.3392516264,7536.81146780866,3628.25942357671,3908.55204423195,19487.5265955686,8749.6099020228,10737.9166935458,16430.0129899292,7500.56532717304,8929.44766275619,5218.87126811208,2944.61611444731,2274.25515366477,20244914,20612439,15.5072219578996
"Georgia",10085.6834883784,5127.98892640526,4957.69456197317,1654.66628520624,969.998425397264,684.667859808981,3213.47397169911,1765.52576926599,1447.94820243312,4406.97578425707,2062.54329912412,2344.43248513295,810.567447216002,329.921432617886,480.646014598116,13562.2514191524,6708.70967090411,6853.54174824828,11858.1312348043,5690.85547990185,6167.2757549024,4172.19722183603,1753.4172114864,2418.78001034963,13610.5385827673,6568.9171066763,7041.62147609104,11824.0998145185,5582.16279039214,6241.93702412633,4533.21852917202,1977.87163516906,2555.34689400296,25585.3041522647,12302.9908235761,13282.3133286886,22489.474378782,10620.4503442262,11869.0240345558,7713.85722961296,3669.52049522923,4044.33673438374,12772.9009104263,5526.38498860423,7246.51592182205,10282.9108149324,4520.52170137885,5762.38911355357,3190.83538067639,1712.30694203717,1478.52843863922,10199398,10310371,19.256500727924
