"NAME","OccupiedHousingUnits","a.LessThan5000","b.5000to9999","c.10000to14999","d.15000to19999","e.20000to24999","f.25000to34999","g.35000to49999","h.50000to74999","i.75000to99999","j.100000to149999","k.150000.or.more","MedianHouseholdIncome","POPESTIMATE2015","POPESTIMATE2016","perCapitaFFL"
"Alabama",1846390,1711.76637222837,1901.96492493111,2624.70706394376,2434.50851124102,2396.47704153898,4298.46256856635,5249.43472998378,6771.02315160568,4070.21194406531,3994.12840256496,2586.67559424171,44765,4853875,4863300,25.2931822699265
"Alaska",250185,610.4032891018,746.093649392918,1085.11621791248,1220.8065782036,1085.11621791248,2577.4390715038,4001.71341274134,6002.63789651475,5086.96518545931,6375.68472121121,5154.87814300761,73355,737709,741894,81.8176181503018
"Arizona",2463008,1445.0907325416,1264.4543909739,1734.10887904992,1878.61795230409,2023.12702555825,3865.61770954879,5238.46857345695,6791.94111093917,4335.27219762481,4371.39946593835,3143.07234327799,51492,6817565,6931071,26.1611805736805
"Arkansas",1144663,1576.00123310318,1921.95518046055,2729.18105762776,2498.54509272284,2652.28001516529,4843.32168176199,5765.86554138166,6803.72738345378,3997.64528336355,3574.82387478495,2114.14062413423,41995,2977853,2988248,42.5304950146931
"California",12896357,959.108004987442,859.890023937053,1587.49026130727,1422.12610472294,1554.41589128977,2844.25220944588,3869.50638996726,5423.92484575808,4034.87054655159,5060.12472707298,5423.92484575808,64500,38993940,39250017,6.49235387592316
"Colorado",2074735,1028.05763964632,989.99434556369,1408.83740127907,1446.90069536169,1751.51716362757,3274.59950495695,5026.13502118533,6968.04206562927,5102.27996195139,6130.35595419852,4988.05337450189,63909,5448819,5540545,31.1371294099528
"Connecticut",1343703,1087.02747487258,1012.04274798939,1461.86742097731,1499.35978441891,1499.35978441891,2698.83645351254,4235.68860137305,5959.94677423404,4685.48537825722,6372.27908378037,6972.01741832718,71346,3584730,3576452,15.08245229257
"Delaware",352595,1232.42196602816,784.258894411043,1232.42196602816,1568.51778882209,1904.71953529165,3435.95219028976,4929.89971146391,7021.36268690233,5564.80622322779,5378.06278308102,4294.99319970002,61255,944076,952065,12.542911110761
"Florida",7463184,1400.8456642493,1327.11850492425,1916.95059806132,2101.27343588617,2285.59627371102,4165.68329210981,5455.94315688375,6819.93018098274,4202.54687177234,4091.95613278476,3170.34194366052,49426,20244914,20612439,15.5072219578996
"Georgia",3656407,1469.81223793796,1398.1119277824,1971.70460452666,1792.45873138787,2079.25016750989,3692.46302575897,5018.88444788604,6524.56154765213,4122.65508219211,4445.30157564201,3333.9712794814,51244,10199398,10310371,19.256500727924
"Hawaii",445936,907.408797767544,750.934809287678,1001.22302314763,1063.81261853957,1063.81261853957,2127.69540478698,3410.6417749062,5569.63197738916,4537.04398883772,5882.50978664105,4975.10098887351,73486,1425157,1428557,7.30340709774502
"Idaho",597421,1301.22432582217,1301.22432582217,1987.98665075858,2096.40688565295,2168.70720970361,4373.53433025094,5385.6178622337,6831.44283615718,4337.41441940722,4228.99418451285,2096.40688565295,48275,1652828,1683140,56.7490919749199
"Illinois",4794523,1307.01289589484,1232.32666723628,1605.75781052908,1792.47727654553,1867.16350520409,3398.23508707461,4705.24798296945,6535.0722682143,4742.59499166877,5489.45727825437,4667.90876301021,59588,12839047,12801539,15.8620251309888
"Indiana",2515143,1255.13249519717,1293.16498023218,1901.73010757371,2129.94014004423,2129.94014004423,4297.91276512347,5819.28777782617,7340.67791278932,4754.31770780405,4526.12279759399,2624.37756775982,50532,6612768,6633053,22.1127435586599
"Iowa",1247249,1078.63652655656,1278.38047249885,2037.44590401592,1957.56113795113,2077.38828704832,4074.92383881215,5632.99708487869,8149.84767762429,5553.08028803359,5233.4771622138,2916.37051541049,54736,3121997,3134693,41.051335276958
"Kansas",1111582,1223.71565760869,1261.97182323312,1797.35172381525,1835.57348641304,2026.78550848189,3824.17163532379,5583.26719351462,7418.8750829543,4818.45350826584,5315.57724322355,3174.05764089502,53906,2906721,2907289,38.5009310506569
"Kentucky",1716168,1435.10921073062,2133.27228088526,2559.93125723369,2443.5594451128,2327.21023384881,4421.69944431273,5662.8707020798,7020.41377196775,4305.32763219185,3995.0404679643,2404.77637469147,45215,4424611,4436974,31.8366376123307
"Louisiana",1737908,1749.44741441349,2084.44707172475,2419.46814708201,2456.6712929646,2345.01901922484,3945.58959596998,4801.71173023543,6067.28264966931,4057.24186970974,4317.81381720983,2940.5692059902,45727,4668960,4681666,26.0359595636824
