"NAME","desktop-laptop","desktop-laptop.only","handheld","handheld-alone.only","other computer","other.computer.only","no.computer","total.internet","dial-up","broadband","DSL","DSL-mobile.broadband","mobile.broadband","mobile.broadband.dial-up","DSL-cable.modem","DSL-fiber","DSL-satellite","no.internet"
"Alabama",80841.0465827913,68808.2691089098,11560.721191081,68699.732992488,11341.699207643,5558.5223056884,238.62780885945,19158.9534172087,68859.2875827967,594.565611815489,68264.7219709812,14524.9378516998,34219.5852447208,8596.93780837201,30251.5719864167,3320.8585401784,3538.41821067055,31140.7124172033
"Alaska",92412.4148130384,83716.050122909,9871.89479784959,81774.2870275996,7488.4585406799,13246.9972220557,160.681095988968,7587.58518696165,82171.9927253832,478.445949997002,81693.5467753862,19625.4771469113,50914.3234006835,9921.05841677159,38754.5216539761,1348.60203449447,2550.51262066071,17828.0072746168
"Arizona",87648.7205888085,79099.7024776209,11661.5942782159,75462.3208694409,8141.83307565383,5100.51124478686,115.306162221154,12351.2794111915,78531.1700165002,444.375332926243,78086.7946835739,12584.3277813146,39519.6442723694,6951.62175681118,44639.4408787954,1964.02122932609,3934.86338655822,21468.8299834999
"Arkansas",81366.0439797565,68940.4654470355,11564.0149109389,69178.5267803712,11609.9673004194,5827.74144005703,221.37519951287,18633.9560202435,65011.710870361,829.064973708419,64182.6458966526,15325.209253728,30690.3429218905,9553.72891409961,25576.086586183,3188.18726559695,5172.52676115154,34988.289129639
"California",89693.9965294075,81756.235501235,9148.69990028967,79808.8716061443,7157.50967501908,9373.13537458679,210.927783714424,10306.0034705925,81829.0079903961,526.52853825309,81302.479452143,14019.7886891624,43630.6780279113,6139.87345418555,43025.0806487444,6441.54004111394,2762.74144706137,18170.992009604
"Colorado",91488.5997488836,84941.8841442401,10094.6385923985,80971.8349572355,6073.83593567371,5901.86216552957,147.295919719868,8511.40025111641,83563.9732303162,607.161878504966,82956.8113518112,18904.1492045972,43208.9881358342,5916.46644029237,43118.325954881,1975.72220066659,3932.50222317549,16436.0267696838
"Connecticut",88549.3297253932,81914.1581138094,12253.4518416644,75571.1641635094,6050.96513143157,7913.13258956778,222.2961472885,11450.6702746068,82465.9169474207,454.415893988478,82011.5010534322,11250.3283835788,38839.9073307122,2997.46298103078,56393.4887396992,2344.71456862119,1210.23767901091,17534.0830525793
"Delaware",87335.8952906309,78710.1348572725,12065.684425474,74647.3999914917,7885.8180064947,6534.40916632397,398.757781590777,12664.1047093691,77999.9716388491,594.44972276975,77405.5219160793,6103.60328422127,33544.1512216566,4332.16579928814,39291.2548391214,18098.6684439655,1479.0340192005,22000.0283611509
"Florida",87545.6239588894,79451.3172929945,12637.407840943,74195.6248164322,7368.58423964892,6623.35271380151,233.010468454215,12454.3760411106,78025.5987256913,547.085533466681,77478.5131922247,10682.6389380189,35217.4487457364,4491.90318770112,45999.3080701213,6135.75921483378,1598.96901912106,21974.4012743087
"Georgia",86738.2651876555,77150.9298609263,9694.24355658437,76464.4089129027,8876.58294057527,7146.25040374335,160.977702974532,13261.7348123445,75204.8390674233,417.623092834031,74787.2159745893,17756.1742989771,36890.1766132709,6027.5839095593,36630.8236473675,3327.47421170564,2453.00919728028,24795.1609325767
