"NAME","Hispanic","Black.combination","Male","White.NonHispanic","Asian","Asian.combination","Black","Female","Total","White","White.combination"
"Alabama",23611.1111111111,168402.777777778,38541.6666666667,69791.6666666667,131597.222222222,131597.222222222,167361.111111111,44097.2222222222,1e+05,73958.3333333333,77083.3333333333
"Alaska",61139.896373057,38860.103626943,57253.8860103627,67616.5803108808,61139.896373057,68134.7150259067,29533.6787564767,54404.1450777202,1e+05,70725.3886010363,73575.1295336787
"Arizona",26344.0860215054,54301.0752688172,53225.8064516129,61559.1397849462,32258.064516129,38978.4946236559,42473.1182795699,56720.4301075269,1e+05,89247.311827957,90053.7634408602
"Arkansas",41463.4146341463,157317.073170732,10975.6097560976,63414.6341463415,241463.414634146,247560.975609756,154878.048780488,19512.1951219512,1e+05,68292.6829268293,68902.4390243902
"California",1229.50819672131,56147.5409836066,32377.0491803279,18852.4590163934,140163.93442623,145081.967213115,48360.6557377049,34836.0655737705,1e+05,64344.262295082,68442.6229508197
"Colorado",138095.238095238,30158.7301587302,42857.1428571429,80000,9206.34920634921,22857.1428571429,26666.6666666667,45396.8253968254,1e+05,90793.6507936508,92698.4126984127
"Connecticut",111489.361702128,107659.574468085,26382.9787234043,62127.6595744681,2553.1914893617,2553.1914893617,104255.319148936,34893.6170212766,1e+05,78723.4042553192,80425.5319148936
"Delaware",91780.8219178082,21689.497716895,61872.1461187215,81735.1598173516,60045.6621004566,61187.2146118721,19178.0821917808,67808.2191780822,1e+05,86757.9908675799,88356.1643835616
"Florida",308791.208791209,213186.813186813,489010.989010989,528571.428571429,325274.725274725,351648.351648352,2e+05,513186.813186813,1e+05,56043.956043956,58241.7582417582
"Georgia",85135.1351351351,39414.4144144144,62387.3873873874,73873.8738738739,68468.4684684685,73423.4234234234,37387.3873873874,67792.7927927928,1e+05,79279.2792792793,80180.1801801802
"Hawaii",3525000,1791666.66666667,3133333.33333333,1258333.33333333,3033333.33333333,3450000,1025000,3266666.66666667,1e+05,1466666.66666667,2333333.33333333
"Idaho",228205.128205128,220512.820512821,1046153.84615385,1256410.25641026,353846.153846154,430769.230769231,2564.10256410256,1048717.94871795,1e+05,69230.7692307692,76923.0769230769
"Illinois",12145.7489878543,14777.3279352227,72672.0647773279,85425.1012145749,84008.0971659919,86437.2469635627,12753.036437247,76315.7894736842,1e+05,92307.6923076923,92712.5506072874
"Indiana",70189.701897019,89701.8970189702,50406.5040650406,86449.864498645,132249.322493225,134688.346883469,84010.8401084011,56639.566395664,1e+05,91598.9159891599,92140.9214092141
"Iowa",254347.826086957,255978.260869565,19021.7391304348,80978.2608695652,215217.391304348,223369.565217391,235326.086956522,21195.652173913,1e+05,87500,89673.9130434783
"Kansas",104605.263157895,48684.2105263158,9210.52631578947,69736.8421052631,299342.105263158,309868.421052632,36184.2105263158,15789.4736842105,1e+05,78289.4736842105,79605.2631578947
"Kentucky",11481.4814814815,91481.4814814815,37037.037037037,88518.5185185185,144814.814814815,144814.814814815,83703.7037037037,40370.3703703704,1e+05,91111.1111111111,92592.5925925926
"Louisiana",38043.4782608696,7608.69565217391,37681.1594202899,53260.8695652174,170289.855072464,171376.811594203,5434.78260869565,41666.6666666667,1e+05,62681.1594202899,64130.4347826087
"Maine",5000,615000,1905000,2505000,130000,285000,2395000,1990000,1e+05,25000,65000
"Maryland",76638.1766381766,19088.3190883191,44159.5441595442,58689.4586894587,78062.6780626781,81766.3817663818,17378.9173789174,56125.3561253561,1e+05,65527.0655270655,67521.3675213675
