"NAME","CivilianPop.16","Hunting.Fishing.Agriculture","Mining.Oil.Gas","Construction","Manufacturing","Wholesale.Trade","Retail.Trade","Transportation.Warehousing","Utilities","Information","Finance.Insurance","Real.Estate","Sciences.Technical","Management","Waste.Management","Educational.Services","Health.Care","Arts.Entertainment","Foodservice.Accommodation","OtherServices","PublicAdministration","POPESTIMATE2015","POPESTIMATE2016","perCapitaFFL"
"Alabama",30123.9731142644,363.173752929361,180.02111714867,1975.80283793876,5169.8282300224,873.673096237542,2949.64332620844,1256.93389302362,583.410161983982,502.773557209446,1439.34485333883,451.371327032526,1870.23769668564,14.7923051170457,971.739074450825,2403.66717313487,4201.75632870645,254.291674177848,1339.30107388427,1328.34075867219,1993.87087636167,4853875,4863300,25.2931822699265
"Alaska",30578.8596858653,343.360322295106,1283.29734353248,2116.68828765814,1123.74933747589,797.875585088429,3226.88214458547,2040.77759658619,340.920335796364,721.287119989047,721.82933921099,504.128321601065,1584.22901171058,28.0598447355258,935.32815785086,2107.19945127415,4574.83913033459,387.957853299878,1684.13290335349,1440.81202750678,4615.50557198028,737709,741894,81.8176181503018
"Arizona",29972.3875019893,242.579278672077,198.63396975313,2121.98930263224,2542.91671586556,800.681768343976,3325.29282815785,1345.28970387521,374.165849537188,597.955428367753,2177.43431855802,755.592355921799,1952.76466010958,27.2384641730589,1715.90589895366,2170.73104546858,4081.97061560836,580.485847953045,1783.99472538949,1209.36140689528,1967.40331775348,6817565,6931071,26.1611805736805
"Arkansas",30497.0057286239,824.117241515951,183.655808396183,1987.60650710428,5044.47331684942,870.795166853434,3793.10194290988,1508.26786950195,433.063687159843,569.470689117294,1173.19424430957,382.053781701112,1207.64859783206,30.1895358837391,873.851059807183,2772.40011511649,4445.35039170839,243.531161544912,1205.70088583956,1200.05923730956,1748.47448816312,2977853,2988248,42.5304950146931
"California",31167.2403455511,615.277655963978,79.868820642387,2020.68064935218,3680.77962883463,1091.98249779325,2921.31546594163,1433.14063672458,318.552062192228,1015.04490184885,1458.86771123923,739.596973273283,2915.78383718085,30.222644851995,1479.24780106858,2072.77848814457,3763.51812614986,657.968904911891,1757.09097362308,1433.5150538776,1682.00751193647,38993940,39250017,6.49235387592316
"Colorado",35050.5678386454,456.282361370418,601.010971368291,2953.83274797713,2936.08578299261,1092.49362109477,3450.41742072915,1399.27569625638,398.141322000235,1212.99679802174,1916.37857671543,864.370793010375,3639.19227267413,56.4526000955436,1387.56673693878,2593.8831882652,4062.27477917692,655.55490097946,1900.30169840474,1464.55589734216,2009.49967323194,5448819,5540545,31.1371294099528
"Connecticut",33914.1302134331,104.694077378213,20.7268050871335,2012.06227526201,4529.88091153309,1094.75469561166,3007.5905298307,1082.08986450862,376.54160843355,896.385501836958,3365.13489160969,627.997087646768,2800.21089454436,71.0513762542786,1219.28290275697,3156.89047710706,4898.27685767129,495.769555866132,1228.62809751362,1247.90430520569,1678.25749777529,3584730,3576452,15.08245229257
"Delaware",33220.9483134832,406.217296065147,15.1470856159885,2328.62608518806,3123.47734716273,657.680102025684,3430.33823548104,1178.08312042675,304.95426215686,575.801100758837,3192.32773632631,618.700189391532,2262.42378791538,19.7018036683487,1281.67647519903,3111.50797181583,5036.67077650528,513.30613213343,1709.18443006707,1240.04847067397,2215.07590490596,944076,952065,12.542911110761
"Florida",31165.5213748994,308.018102719527,34.2752752617275,2390.39790438231,1912.29263804233,1021.78255733761,3421.14567639062,1517.49718472501,291.905413873331,674.678094458687,1894.68821650712,907.403212480922,2260.05405604588,31.0151971996522,1841.96386312137,2182.35552889975,4355.68162947,786.157945645015,2259.71322970303,1397.87207789571,1676.62357073979,20244914,20612439,15.5072219578996
"Georgia",32382.371979209,343.235943925318,43.5319810051534,2175.55977323368,4246.2408075457,1095.78035880157,3240.69126432756,1796.40014047888,385.826692908738,932.319731027262,1576.916598411,655.391622132993,2461.62567633894,38.7473848946771,1426.35869293462,2918.2114473815,3759.12382279817,288.899403670687,1609.48714816306,1386.11121950531,2001.91226972415,10199398,10310371,19.256500727924
"Hawaii",33563.6705289312,388.658933717478,13.6125353206699,2838.4241174832,1049.56857384836,946.07120478656,3383.97804592757,1760.85862820728,278.004458456156,615.511133159364,1462.43536677012,1196.07874781515,1771.94512604576,12.0688457482228,1555.40757965614,2575.50571621232,3637.84481288728,606.599834263874,4062.56994843375,1468.75046047558,3939.77645971637,1425157,1428557,7.30340709774502
"Idaho",29498.2902032153,1438.20167615747,212.665806726411,2073.90000653426,3570.00244429547,1014.74563596454,3211.22343038719,1288.0348106397,338.813234044922,625.231421539325,1268.00852841312,442.272275155068,1867.82895739908,27.2260634500384,1179.55407338211,2214.93101520545,3866.22201463189,437.674095550172,1377.03378693972,1223.41828671828,1821.30264008112,1652828,1683140,56.7490919749199
"Illinois",33674.3762991132,334.378400515241,86.7042546070592,1765.78526428013,5213.03489269881,1290.68769668029,3010.08322502441,1955.90840971296,301.221733980723,684.412168597872,2349.94077052604,620.357570152987,2775.50973993631,67.3959679406112,1300.35352312364,2675.11288026284,4287.98959922804,418.847286718399,1660.14658253062,1369.54090128341,1506.96543131278,12839047,12801539,15.8620251309888
"Indiana",32737.9699393658,431.090278685113,92.7599456082536,1988.75871647092,7803.22249321313,1092.58331760618,3111.0572758639,1500.77849396803,343.69873553707,541.195457031004,1481.08931086044,549.482455758315,1599.19416498507,24.4526951497467,1126.89572657017,2388.15273725012,4303.81044669948,375.410115703439,1332.24090123833,1283.33551093884,1368.76116022821,6612768,6633053,22.1127435586599
"Iowa",35811.0850202611,1437.31720434068,67.2966694074338,2492.53923049894,7011.56983815167,1194.23561265434,3292.79624548006,1595.10082809176,365.246987745344,632.159479973876,2850.61132345739,339.590332726137,1556.43967627131,19.4747144215706,911.980376662758,2929.72735079502,4976.49421187785,440.807598469826,1116.97737057403,1225.7218696879,1354.99809897319,3121997,3134693,41.051335276958
"Kansas",34451.3628931019,1031.12751447421,296.726104775794,2451.76609657411,5154.02063011895,1185.73471619739,3129.19609415558,1339.72266344104,420.129761335883,824.193309230573,2003.25383825967,497.81179549052,2237.05680730968,33.1301146549669,1081.45914244952,2972.14627754091,4815.83887824115,381.770386631534,1367.14187567365,1372.16471756319,1856.97216898354,2906721,2907289,38.5009310506569
"Kentucky",30654.9660523829,526.328755228426,331.50936884621,1804.52021657949,5358.50496235714,892.846851395524,3094.35111922833,1596.32112291905,339.44226961421,500.360370663093,1563.43687614572,422.364813539541,1368.61748976351,16.1822135324439,957.033284959966,2599.95737478391,4514.3177558434,319.304906126211,1440.78202580973,1281.92060273773,1726.86367230927,4424611,4436974,31.8366376123307
"Louisiana",31212.3684931976,310.882937527843,1166.81230937939,2661.83475549159,2943.11795346287,921.018813611597,3125.5782872417,1402.06812652068,370.72495802063,522.300469483568,1278.764435763,583.941605839416,1800.97923306261,14.2644186285597,981.674719851958,2801.69459579864,4544.45957986361,595.507350673383,1658.89191597272,1451.97217367465,2075.87985332922,4668960,4681666,26.0359595636824
"Maine",31655.8012957209,715.2565754487,42.0473683537515,2424.75664803494,3700.69494747088,848.394038751276,3505.65232467789,1091.50154236366,291.849354584179,706.756839090964,1923.87395417514,609.197918241563,1897.02080479716,8.34929854609377,839.969521299361,2926.9180632937,5497.67460752655,325.246548768554,1381.54564320815,1312.34424985314,1606.75104723522,1329453,1331479,38.866553659502
"Maryland",37031.1642251529,149.508347229675,23.2527765299751,2726.79672319338,2034.35105654178,840.235910593908,2914.15338458841,1563.00693429823,282.35276063335,879.652202516671,1683.29084502825,813.930581621332,4372.58954695952,35.0292903249267,1663.82456797626,3141.827091086,4972.3910810089,522.887220864513,1686.32671685641,1723.70797381744,5002.04921348401,5994983,6016447,9.81060748976929
"Massachusetts",34384.0430173461,91.7272973833473,7.23736188578234,2031.62034361992,3958.63059089891,967.536525830454,2921.12307347617,1076.42123509782,296.879237762815,975.422449677488,2461.6611440633,658.983172765114,3824.56988549933,45.6941381790739,1212.32444606912,3499.69930309069,5335.95509592821,422.449677487825,1659.78797919885,1300.55835288846,1635.7617065434,6784240,6811779,7.19342186527191
"Michigan",30025.4645349256,294.886473345927,66.1845999809432,1557.5160205753,7058.57145521927,913.416043917374,2748.49599933049,1172.35673741381,329.420637717458,455.215742739129,1413.91439459593,467.617793009781,1817.24318555232,26.840860016647,1055.2329846139,2090.26978492526,4375.27192503515,364.872352149663,1367.93606188522,1161.70912352291,1288.49235937915,9917715,9928300,21.949880644219
"Minnesota",35656.4555712927,781.02157161918,94.8483657352983,2229.08251534218,6182.38063925975,1286.01615887831,3258.2602438515,1508.92805842659,333.008964082566,670.085463849549,2629.34261874514,575.893740646264,2577.66849948973,75.8422124475712,1127.25458669369,2526.45038199267,5160.59013923558,481.720257513313,1356.25866973343,1366.43662897964,1435.36585477074,5482435,5519952,26.2547572877445
"Mississippi",29386.2962008972,526.762985090604,352.045066050264,2128.79550677563,4662.92454313422,901.923134820147,2927.21926546888,1500.30608251182,396.401941533222,330.468757840228,1208.3401630433,343.715607531971,949.156851397777,24.5869558672505,873.087820592161,2789.66611917481,4499.94814995701,626.281615981856,1324.45080768986,1124.10893192257,1896.1058945136,2989390,2988726,31.4069160795157
"Missouri",33522.7224102417,577.646833450622,62.4896728286279,2229.94488005998,4755.38675133356,1062.96628618789,3314.52005232214,1645.73144680462,387.873744857809,720.581468298299,2052.87709234252,594.367799369475,2126.57442047699,53.9975287202339,1231.04820048833,2742.89671643678,4963.04929854231,463.068718561786,1465.73419852263,1327.81914497933,1744.14815565771,6076204,6093000,36.5050057442967
"Montana",32283.6659809917,1912.55851088053,686.676233173429,3133.88684715132,1576.14819881927,897.901601921569,3294.4375058741,1256.88783642242,442.02299643533,668.072897944235,1507.83907727457,533.489394645534,1845.50899015864,5.71664988813776,613.716277821433,2603.30422363534,4657.81005800946,482.911576991162,1830.97513451083,1648.42990757437,2685.37206185997,1032073,1042520,103.810958063155
"Nebraska",36990.3868748234,1818.96909067387,83.2732678024993,2812.91501321442,4671.17092141844,1381.11117271678,3678.59792529696,2035.83866002382,522.081673280476,640.945418254113,2671.45078718848,507.929970191655,1969.09331411236,53.3329108944352,1209.75939464506,3112.68821633096,4929.12267361579,365.092817746658,1463.16992868703,1357.66581386814,1706.17790486148,1893765,1907116,35.9530656062173
"Nevada",31553.1677762142,156.462504828769,492.482378895871,2034.98351803445,1689.28876833632,815.082264184443,3258.35246924326,1511.25718593585,342.712529969574,465.12224673499,1181.79125987687,979.763211753552,1724.06977284502,101.984979322121,1785.10124635978,1834.23851793389,2781.23198964684,2517.13215880112,5017.37663146491,1195.90478812716,1668.82935391943,2883758,2940058,21.1220322864379
"New Hampshire",36433.6510261174,259.527212390545,25.0355045556348,2549.56165312519,5950.40564283733,1332.7459136869,3679.16662594325,1294.02734057534,452.668987776208,834.81754530261,2085.01395748174,679.717707770254,2955.24208129998,34.8843066480918,1193.8853223528,2927.27449062522,5372.78467736903,319.221478508185,1529.27086536387,1329.88900926314,1628.51070324206,1330111,1334795,37.215452560131
"New Jersey",34380.372228684,89.9006325499381,14.1011822498347,2150.50863300118,3359.89764779969,1416.64281962764,3231.58808074068,1845.15088880535,350.011487986968,1086.67515498151,2756.10964497364,757.524463592706,3471.06196786923,53.2935157727879,1396.43112506954,2707.23673792203,4570.11482727003,508.750511027964,1590.78122899861,1361.56986895189,1663.0218094928,8935421,8944469,3.68663584165812
"New Mexico",29035.8539614907,507.852607857992,930.430201391319,2310.74138308959,1258.31118938937,870.824216181294,3097.82880391938,981.575982248953,445.891224845313,472.425502132356,988.642175656916,522.273410731385,2414.09047034891,2.8360912317673,1187.8896020243,2925.83669498271,3885.82954226449,653.743063593818,1808.36868032349,1231.34428801612,2539.11883126122,2080328,2081015,33.200946012723
"New York",33469.3561101854,160.762170482747,24.4693129141508,1970.40762725499,2468.40270837618,970.244717942807,2912.49643050353,1770.41960871077,271.967905498217,1076.93335297495,2304.36918521492,827.140762305185,2970.70220091645,27.1279199671163,1107.1148730429,3198.0713400995,5581.29734251209,592.438931669393,1894.72594648057,1475.81556316159,1864.44821015737,19747183,19745289,8.41339926703529
"North Carolina",31780.3476686929,324.418501062163,41.4641044022502,2404.45966821143,4875.32567906564,972.97648494009,3103.39041050161,1207.27209241563,338.55874719213,655.633089411596,1827.38018009831,585.390245880844,2158.31575020134,21.125667227294,1253.11080432391,2491.58311564928,4572.77025059625,388.692347107468,1526.87752872742,1308.57564573292,1723.02735594537,10035186,10146788,23.6273455862749
"North Dakota",36773.8014230314,2428.79887954442,1631.53131131621,3164.49424247029,3016.90593061896,1771.72038819558,3909.96716589481,1574.84788626319,724.33225207608,446.59668223589,1753.48655915754,514.775347334624,1577.22621178989,21.2728005443723,873.638243474469,2589.4679817926,5456.80366262131,406.693665065701,1307.02200611758,1572.20530234463,2032.0149041733,756835,757952,54.4449604548397
"Ohio",32619.5488358987,261.626579371638,117.319210794574,1701.9170036596,6326.09484286636,1071.1334423085,3148.15309489198,1532.48272956091,346.684084311281,574.377277556658,2033.58181625476,521.745199735633,1975.49523528038,54.3554595440449,1111.79663406316,2453.81983250453,4923.08978215593,347.976620603546,1363.08292309668,1204.85924710623,1549.95782023233,11605090,11614373,21.2610128272386
"Oklahoma",32786.5949192996,538.309992235274,1371.72564770459,2422.36937268485,3692.82599693813,990.706385348468,3329.03040220463,1415.00235193916,517.784908381861,626.347758389564,1344.67450851126,606.257744892146,1627.3678704125,35.4454378266547,1099.11568111288,2725.30630232681,4413.68639207414,647.89653719826,1520.62207895043,1508.74721746915,2353.37233269881,3907414,3923561,39.0036839833339
"Oregon",30220.7107528287,1082.284749371,32.7234724946417,1813.35743821674,4388.27480958517,1054.55551983112,3266.30943335469,1122.26353998898,321.246602796677,626.14389283597,1363.00592799246,617.323214980542,2321.90057530697,36.2765906166871,1164.03131315792,1948.30138591484,4252.0388189336,466.949292780412,1510.37336562778,1126.53722052738,1706.81358851513,4024634,4093465,35.3205251134023
"Pennsylvania",33247.0991026824,310.719967879684,232.780045879018,1956.58910510898,5005.77552802147,1129.99597245258,3068.49551091065,1566.09993320775,403.341050714577,601.270928862505,2049.21018794387,460.220777141542,2396.07801934724,31.2697781346702,1192.84040905873,2714.0838455323,5430.98197109672,407.288860204079,1360.18844419095,1308.70275449222,1621.16601250291,12791904,12784227,19.9679652121321
"Rhode Island",32756.0351532341,101.837142042446,3.8840212313863,1724.03176560974,4780.6617424856,1264.58047360429,3345.37379915063,1104.19881641558,211.442326547664,602.781148666123,2009.83888890468,567.73022535849,2133.5591749581,69.6281854894861,937.375367916279,3056.44051242555,5403.99978401053,648.252616740889,1634.03615171176,1254.065196612,1902.31781335289,1055607,1056426,8.57450813718456
