"NAME","CivilianPop.16","Private.ForProfit","Private.ForProfit.Employee","Private.ForProfit.Self.Inc","Private.NonProfit","LocalGov","StateGov","FederalGov","Self.Employed"
"Alabama",42030.7074244804,30871.4583708892,29722.2528392264,1149.20553166285,2770.40508871778,2654.51829723674,2270.55702917772,1317.81308748165,2145.95555097731
"Alaska",48090.2361229157,28287.1701443252,26688.9789876496,1598.1911566756,4853.81092002402,4349.2759340065,4145.13039694514,3311.87500762496,3142.97371998986
"Arizona",43087.3779714605,31938.1480044561,30410.4471317839,1527.70087267228,2633.24222064623,2747.98993482277,2042.7381330431,1154.40043475933,2570.85924373292
"Arkansas",42683.8732469333,30143.1937708141,28928.3252061133,1214.86856470081,3093.77259387888,2329.22847434041,3424.17842653751,913.879899377169,2779.62008198524
"California",46277.5754386451,33236.6849823332,31698.0715465018,1538.61343583131,3023.0697385286,3464.52807795263,1869.59563460374,826.087335621894,3857.60966960507
"Colorado",50747.0517923242,36881.9004632013,34448.8961736479,2433.00428955339,3968.84168844662,3218.89936149467,2091.8110878706,1306.77858816745,3278.82060314354
"Connecticut",50410.9932965663,35775.4419440237,34059.0783685243,1716.36357549941,4756.704131134,3741.25805848697,2206.94445606782,699.466905457315,3231.17780139648
"Delaware",47402.5396260471,34811.2863794864,33053.3770586266,1757.90932085976,3900.42750795487,1532.60966278139,4157.50426872413,1017.3969044865,1983.31490261377
"Florida",44407.3064474366,33876.2170093684,31281.8172504956,2594.39975887277,2711.43656130127,3013.18642301963,1241.25002457407,835.839559506156,2729.37686966712
"Georgia",45155.9297911504,33227.588530225,31483.6228569568,1743.96567326817,2755.35869862123,3134.61637637829,2178.67760430567,1342.34393049472,2517.34465112549
"Hawaii",47378.2186804682,30843.1281606167,29198.46725659,1644.66090402671,3640.72168890866,1705.56647443054,4374.8162483151,3351.49039719834,3462.49571099886
"Idaho",45027.5527762114,31451.4879951211,29673.74705656,1777.74093856106,3370.34464566186,3052.82824347119,2400.06824666571,1184.33376007667,3568.48988521492
"Illinois",48263.1148557989,36156.7723834954,34452.3623910715,1704.40999242389,4215.46864031263,3116.02566763717,1744.76345479536,767.720532528621,2262.36417702965
"Indiana",47180.9384511902,36045.5258675338,34629.4169098326,1416.10895770122,4078.24680980794,2587.87243103039,1669.36145347909,648.850829183785,2151.08106015514
"Iowa",51245.8211843253,36798.3377306256,35169.252244637,1629.08548598862,4476.26951595405,3115.92227667099,2838.08728836062,716.944955424365,3300.25941728964
"Kansas",48751.4625586701,34559.2851876737,32813.6412128993,1745.64397477432,3941.69237432832,3517.09021952915,2722.44911018292,1023.11160926694,2987.83405768906
"Kentucky",43596.3071103878,31611.8411313447,30339.9553090656,1271.88582227907,3408.8646436941,2294.32598707547,2885.60960500256,1064.52296032352,2331.14278294747
"Louisiana",43645.9511325863,31905.606387718,30268.47520647,1637.13118124807,2684.92340906754,3127.27031287482,2465.34560159008,1000.9509612419,2461.8544600939
"Maine",48772.9915988004,31932.5316502351,29984.5876461973,1947.94400403775,6143.42891399696,3192.06470631154,2048.2108054967,1078.86476618579,4377.89075657432
"Maryland",50566.7155353068,32390.8341358099,30628.5272201773,1762.30691563262,4925.16826152801,3777.34182065237,2059.33861697356,4980.11420549483,2433.91849484811
"Massachusetts",51917.429218306,36080.7253281134,34631.3514852069,1449.3738429065,6624.33817199863,3498.59379974765,1801.05656639506,798.232373854698,3114.48297819653
"Michigan",45500.8134434192,34281.1625460098,32757.5051309702,1523.65741503965,4302.2409899861,2260.93409621067,1815.72065742966,620.062181661804,2220.6929721211
"Minnesota",53136.5351344795,38102.9962051534,36044.166506306,2058.82969884732,6128.7365924083,3302.98489630976,1987.32862313917,670.942747155233,2943.54607031365
"Mississippi",40365.3922706639,28628.3154757325,27318.7506481255,1309.56482760697,2379.34829513714,2242.26347181198,3726.98108978755,1274.942379549,2113.54155864574
"Missouri",47403.0990401244,33961.3021550955,32528.3680403094,1432.93411478614,5023.46530827471,2641.15556357226,2021.42653538295,1056.86050040453,2698.88897739444
