"NAME","POPESTIMATE2015","POPESTIMATE2016","perCapitaFFL","Senate.Dem","Senate.Rep","House.Dem","House.Rep","Legis.Control","Gov.Party","State.Control","per.capita.18to24","per.capita.18.to24.Male","per.capita.18to24.Female","per.capita.18to24.LessHS","per.capita.18to24.LessHS.Male","per.capita.18to24.LessHS.Female","per.capita.18to24.HS","per.capita.1824.HS.Male","per.capita.18to24.HS.Female","per.capita.18to24.AA","per.capita.18to24.AA.Male","per.capita.18to24.AA.Female","per.capita.18to24.BA","per.capita.18to24.BA.Male","per.capita.18to24.BA.Female","per.capita.25to34","per.capita.25to34.Male","per.capita.25to34.Female","per.capita.25to34.HS","per.capita.25to34.HS.Male","per.capita.25to34.HS.Female","per.capita.25to34.BA","per.capita.25to34.BA.Male","per.capita.25to34.BA.Female","per.capita.35to44","per.capita.35to44.Male","per.capita.35to44.Female","per.capita.35to44.HS","per.capita.35to44.HS.Male","per.capita.35to44.HS.Female","per.capita.35to44.BA","per.capita.35to44.BA.Male","per.capita.35to44.BA.Female","per.capita.45to64","per.capita.45to64.Male","per.capita.45to64.Female","per.capita.45to64.HS","per.capita.45to64.HS.Male","per.capita.45to64.HS.Female","per.capita.45to64.BA","per.capita.45to64.BA.Male","per.capita.45to64.BA.Female","per.capita.65plus","per.capita.65plus.Male","per.capita.65plus.Female","per.capita.65plus.HS","per.capita.65plus.HS.Male","per.capita.65plus.HS.Female","per.capita.65plus.BA","per.capita.65plus.BA.Male","per.capita.65plus.BA.Female","OccupiedHousingUnits","a.LessThan5000","b.5000to9999","c.10000to14999","d.15000to19999","e.20000to24999","f.25000to34999","g.35000to49999","h.50000to74999","i.75000to99999","j.100000to149999","k.150000.or.more","MedianHouseholdIncome","Hispanic","Black.combination","Male","White.NonHispanic","Asian","Asian.combination","Black","Female","Total","White","White.combination","POP_ST","AREA_ST","POP_URBAN","POPPCT_URBAN","AREA_URBAN","AREAPCT_URBAN","POPDEN_URBAN","POP_UA","POPPCT_UA","AREA_UA","AREAPCT_UA","POPDEN_UA","POP_UC","POPPCT_UC","AREA_UC","AREAPCT_UC","POPDEN_UC","POP_RURAL","POPPCT_RURAL","AREA_RURAL","AREAPCT_RURAL","POPDEN_RURAL","CivilianPop.16","Hunting.Fishing.Agriculture","Mining.Oil.Gas","Construction","Manufacturing","Wholesale.Trade","Retail.Trade","Transportation.Warehousing","Utilities","Information","Finance.Insurance","Real.Estate","Sciences.Technical","Management","Waste.Management","Educational.Services","Health.Care","Arts.Entertainment","Foodservice.Accommodation","OtherServices","PublicAdministration"
"Alabama",4853875,4863300,25.2931822699265,11,23,37,66,"Rep","Rep","Rep",9648.35311992995,4855.74927248848,4792.60384744148,1462.58401792382,840.689140120007,621.894877803816,3082.32082614406,1727.71239473616,1354.6084314079,4381.73624166259,2017.33666400556,2364.39957765703,721.71203419948,270.011073626742,451.700960572738,12865.4322577322,6279.76616620741,6585.66609152481,11180.5310190312,5316.70057428343,5863.83044474775,3319.61577090469,1399.66521593572,1919.95055496897,12612.4591177152,6121.17122917257,6491.28788854266,10890.2680847776,5104.56078906029,5785.70729571734,3411.58352862404,1422.47173649919,1989.11179212485,26447.7350570421,12778.2235842497,13669.5114727924,22716.3245860266,10780.8091473307,11935.5154386959,6283.68056449744,2932.70840308001,3350.97216141742,15695.6452319023,6784.37330998429,8911.27192191806,12597.337179058,5552.63578069069,7044.70139836728,3320.02781282996,1789.66289819989,1530.36491463006,1846390,1711.76637222837,1901.96492493111,2624.70706394376,2434.50851124102,2396.47704153898,4298.46256856635,5249.43472998378,6771.02315160568,4070.21194406531,3994.12840256496,2586.67559424171,44765,23611.1111111111,168402.777777778,38541.6666666667,69791.6666666667,131597.222222222,131597.222222222,167361.111111111,44097.2222222222,100000,73958.3333333333,77083.3333333333,4779736,131170787086,2821804,59.04,5716365701,4.36,1278.5,2325304,48.65,4415733067,3.37,1363.9,496500,10.39,1300632634,0.99,988.7,1957932,40.96,125454421385,95.64,40.4,30123.9731142644,363.173752929361,180.02111714867,1975.80283793876,5169.8282300224,873.673096237542,2949.64332620844,1256.93389302362,583.410161983982,502.773557209446,1439.34485333883,451.371327032526,1870.23769668564,14.7923051170457,971.739074450825,2403.66717313487,4201.75632870645,254.291674177848,1339.30107388427,1328.34075867219,1993.87087636167
"Alaska",737709,741894,81.8176181503018,7,13,14,26,"Rep","Rep","Rep",11185.7114390634,6542.28157715305,4643.42986191032,1684.53956776995,1059.36080487021,625.178762899734,4258.58976913661,2505.59502459642,1752.99474454019,4592.86791946418,2692.79621097208,1900.0717084921,649.714182692633,284.529536714341,365.184645978292,16100.9286859724,8666.4253791129,7434.50330685948,14955.3550248133,8052.22655545751,6903.1284693558,4563.85919109025,2171.31687426885,2392.5423168214,12424.4112515911,6476.53749649252,5947.87375509856,11681.7064723353,6096.71293152178,5584.99354081352,3635.85099273562,1627.60654946598,2008.24444326964,25495.2833705431,13227.0312548715,12268.2521156716,23862.1190740522,12369.3760005639,11492.7430734883,7799.14573361583,3854.22978437297,3944.91594924286,9625.47562792375,4750.92482266043,4874.55080526332,8454.55321813886,4229.58104076269,4224.97217737617,2899.65284414315,1543.29146045392,1356.36138368923,250185,610.4032891018,746.093649392918,1085.11621791248,1220.8065782036,1085.11621791248,2577.4390715038,4001.71341274134,6002.63789651475,5086.96518545931,6375.68472121121,5154.87814300761,73355,61139.896373057,38860.103626943,57253.8860103627,67616.5803108808,61139.896373057,68134.7150259067,29533.6787564767,54404.1450777202,100000,70725.3886010363,73575.1295336787,710231,1477953211577,468893,66.02,673703920,0.05,1802.6,315756,44.46,362866427,0.02,2253.7,153137,21.56,310837493,0.02,1276,241338,33.98,1477279507657,99.95,0.4,30578.8596858653,343.360322295106,1283.29734353248,2116.68828765814,1123.74933747589,797.875585088429,3226.88214458547,2040.77759658619,340.920335796364,721.287119989047,721.82933921099,504.128321601065,1584.22901171058,28.0598447355258,935.32815785086,2107.19945127415,4574.83913033459,387.957853299878,1684.13290335349,1440.81202750678,4615.50557198028
"Arizona",6817565,6931071,26.1611805736805,12,17,24,36,"Rep","Rep","Rep",9821.43917953111,5072.66157345034,4748.77760608076,1674.89418876094,983.400965007301,691.493223753642,2982.17912113783,1661.25295468397,1320.92616645386,4441.13110766087,2128.7952516771,2312.33585598377,723.234761971466,299.212402081975,424.022359889491,13417.708522031,6914.93223753642,6502.77628449454,11667.9782297639,5900.90450182727,5767.07372793659,3535.67586080954,1594.92428748387,1940.75157332567,12398.4736485827,6242.77142938865,6155.7022191941,10404.5359303505,5149.28717217951,5255.24875817099,3560.91947784876,1698.15762665996,1862.7618511888,24303.6186673688,11788.0650936221,12515.5535737466,21028.431705455,10107.7877511986,10920.6439542564,6773.65012288112,3292.48052640496,3481.16959647616,16428.2115388705,7555.07281558738,8873.13872328317,14191.9585658516,6649.16286093349,7542.79570491811,4574.00846196553,2530.25823736187,2043.75022460365,2463008,1445.0907325416,1264.4543909739,1734.10887904992,1878.61795230409,2023.12702555825,3865.61770954879,5238.46857345695,6791.94111093917,4335.27219762481,4371.39946593835,3143.07234327799,51492,26344.0860215054,54301.0752688172,53225.8064516129,61559.1397849462,32258.064516129,38978.4946236559,42473.1182795699,56720.4301075269,100000,89247.311827957,90053.7634408602,6392017,294207314414,5740659,89.81,5663221936,1.92,2625.4,5117783,80.07,4696616836,1.6,2822.2,622876,9.74,966605100,0.33,1669,651358,10.19,288544092478,98.08,5.8,29972.3875019893,242.579278672077,198.63396975313,2121.98930263224,2542.91671586556,800.681768343976,3325.29282815785,1345.28970387521,374.165849537188,597.955428367753,2177.43431855802,755.592355921799,1952.76466010958,27.2384641730589,1715.90589895366,2170.73104546858,4081.97061560836,580.485847953045,1783.99472538949,1209.36140689528,1967.40331775348
"Arkansas",2977853,2988248,42.5304950146931,13,22,48,51,"Rep","Dem","Divided",9551.88184238779,4860.07872114574,4691.80312124205,1219.30128854581,680.691760137253,538.609528408555,3027.44964241015,1731.98609870937,1295.46354370078,4617.58857807958,2170.42278446921,2447.16579361036,687.542333352251,276.9780778299,410.564255522351,12941.9081465741,6393.16312793143,6548.74501864263,11471.8557296146,5577.94491534673,5893.91081426786,3124.16361721012,1325.18294220702,1798.9806750031,12341.0725781293,6125.92361006403,6215.14896806525,10843.5842870686,5316.38062725057,5527.203659818,3095.65314338888,1355.10382816076,1740.54931522812,25414.7870966095,12405.3470738818,13009.4400227278,21854.3024118383,10432.8185440987,11421.4838677396,5339.88749612556,2357.94043560915,2981.94706051642,16055.6615789967,7130.13704840366,8925.52453059301,12842.7427411628,5749.47789565167,7093.26484551118,2993.76765743641,1622.24260230441,1371.525055132,1144663,1576.00123310318,1921.95518046055,2729.18105762776,2498.54509272284,2652.28001516529,4843.32168176199,5765.86554138166,6803.72738345378,3997.64528336355,3574.82387478495,2114.14062413423,41995,41463.4146341463,157317.073170732,10975.6097560976,63414.6341463415,241463.414634146,247560.975609756,154878.048780488,19512.1951219512,100000,68292.6829268293,68902.4390243902,2915918,134771261408,1637589,56.16,2841198188,2.11,1492.8,1152837,39.54,1881196989,1.4,1587.2,484752,16.62,960001199,0.71,1307.8,1278329,43.84,131930063220,97.89,25.1,30497.0057286239,824.117241515951,183.655808396183,1987.60650710428,5044.47331684942,870.795166853434,3793.10194290988,1508.26786950195,433.063687159843,569.470689117294,1173.19424430957,382.053781701112,1207.64859783206,30.1895358837391,873.851059807183,2772.40011511649,4445.35039170839,243.531161544912,1205.70088583956,1200.05923730956,1748.47448816312
"California",38993940,39250017,6.49235387592316,28,11,55,25,"Dem","Dem","Dem",10112.1789693475,5225.69147924011,4886.48749010744,1258.60325989115,760.536124331114,498.067135560038,2991.4930371232,1688.84447173074,1302.64856539247,4883.70500647024,2362.07728688099,2521.62771958925,978.377665862952,414.233596297271,564.144069565681,14957.996037333,7680.27801242962,7277.71802490336,13023.0210130087,6557.64972711144,6465.37128589724,5090.94490066918,2359.38199627942,2731.56290438976,13310.7093050869,6672.03416736036,6638.67513772653,10824.3998939322,5348.89267409244,5475.5072198398,4619.11004633028,2165.42365300865,2453.68639332163,25318.3520311105,12448.2650381059,12870.0869930046,20567.0752942637,10054.4546152556,10512.6206790081,7863.87833596708,3907.18660386717,3956.69173209991,13308.6269302358,5894.64414214106,7413.98278809477,10572.901840645,4796.26834323487,5776.63349741011,4008.1125426156,2141.54045474758,1866.57208786801,12896357,959.108004987442,859.890023937053,1587.49026130727,1422.12610472294,1554.41589128977,2844.25220944588,3869.50638996726,5423.92484575808,4034.87054655159,5060.12472707298,5423.92484575808,64500,1229.50819672131,56147.5409836066,32377.0491803279,18852.4590163934,140163.93442623,145081.967213115,48360.6557377049,34836.0655737705,100000,64344.262295082,68442.6229508197,37253956,403466310059,35373606,94.95,21287926350,5.28,4303.7,33427689,89.73,18915178185,4.69,4577.1,1945917,5.22,2372748165,0.59,2124.1,1880350,5.05,382178383709,94.72,12.7,31167.2403455511,615.277655963978,79.868820642387,2020.68064935218,3680.77962883463,1091.98249779325,2921.31546594163,1433.14063672458,318.552062192228,1015.04490184885,1458.86771123923,739.596973273283,2915.78383718085,30.222644851995,1479.24780106858,2072.77848814457,3763.51812614986,657.968904911891,1757.09097362308,1433.5150538776,1682.00751193647
"Colorado",5448819,5540545,31.1371294099528,18,17,37,28,"Dem","Dem","Dem",9689.23724572242,5101.3256267092,4587.91161901322,1296.02396409204,736.361402351592,559.662561740443,2894.75572596557,1681.83233834708,1212.92338761849,4420.16884759798,2264.80270311787,2155.36614448012,1078.28870806683,418.32918289266,659.959525174171,15180.1151772522,7867.1176267738,7312.99755047837,13981.9105754843,7157.56937420751,6824.34120127683,5963.25552381167,2732.79402380589,3230.46150000578,13544.0175201268,6961.58195014369,6582.43556998315,12178.730840573,6173.28268749613,6005.44815307684,5856.00292467047,2751.77061304477,3104.23231162569,25604.7227848824,12675.1136347161,12929.6091501663,23597.0400191308,11631.4562843802,11965.5837347506,9887.24345587548,4854.42808799485,5032.81536788064,13059.1968644949,5939.26867455131,7119.92818994355,11686.8260810278,5393.90278884287,6292.92329218497,4735.48488213685,2600.96729217836,2134.51758995848,2074735,1028.05763964632,989.99434556369,1408.83740127907,1446.90069536169,1751.51716362757,3274.59950495695,5026.13502118533,6968.04206562927,5102.27996195139,6130.35595419852,4988.05337450189,63909,138095.238095238,30158.7301587302,42857.1428571429,80000,9206.34920634921,22857.1428571429,26666.6666666667,45396.8253968254,100000,90793.6507936508,92698.4126984127,5029196,268431246426,4332761,86.15,3956737225,1.47,2836.1,3865471,76.86,3258048896,1.21,3072.9,467290,9.29,698688329,0.26,1732.2,696435,13.85,264474509201,98.53,6.8,35050.5678386454,456.282361370418,601.010971368291,2953.83274797713,2936.08578299261,1092.49362109477,3450.41742072915,1399.27569625638,398.141322000235,1212.99679802174,1916.37857671543,864.370793010375,3639.19227267413,56.4526000955436,1387.56673693878,2593.8831882652,4062.27477917692,655.55490097946,1900.30169840474,1464.55589734216,2009.49967323194
"Connecticut",3584730,3576452,15.08245229257,21,14,98,53,"Dem","Dem","Dem",9842.94493588081,5073.12963598374,4769.81529989706,1059.52191657391,694.975632753373,364.546283820539,2721.68336248476,1557.49526463639,1164.18809784837,4611.0864695528,2191.82476783468,2419.26170171812,1450.65318726933,628.833970759304,821.81921651003,12351.7252345365,6229.06048712176,6122.66474741473,11390.0907460255,5666.31238614903,5723.77835987648,5403.58688102033,2435.05089644129,2968.53598457903,12065.1764568043,5887.80744993347,6177.36900687081,11088.4780722676,5313.67773863025,5774.8003336374,5043.64345431874,2244.74367665068,2798.89977766805,28848.8951748109,13972.6283429993,14876.2668318116,26502.8607454397,12709.436972938,13793.4237725017,11062.3394230528,5244.38381691229,5817.95560614049,15769.1932167834,6800.76323739863,8968.42997938478,13295.2272556092,5773.87976221361,7521.3474933956,4937.16402630045,2610.43370072502,2326.73032557543,1343703,1087.02747487258,1012.04274798939,1461.86742097731,1499.35978441891,1499.35978441891,2698.83645351254,4235.68860137305,5959.94677423404,4685.48537825722,6372.27908378037,6972.01741832718,71346,111489.361702128,107659.574468085,26382.9787234043,62127.6595744681,2553.1914893617,2553.1914893617,104255.319148936,34893.6170212766,100000,78723.4042553192,80425.5319148936,3574097,12541641427,3144942,87.99,4730500209,37.72,1721.9,3031980,84.83,4500564038,35.88,1744.8,112962,3.16,229936171,1.83,1272.4,429155,12.01,7811141218,62.28,142.3,33914.1302134331,104.694077378213,20.7268050871335,2012.06227526201,4529.88091153309,1094.75469561166,3007.5905298307,1082.08986450862,376.54160843355,896.385501836958,3365.13489160969,627.997087646768,2800.21089454436,71.0513762542786,1219.28290275697,3156.89047710706,4898.27685767129,495.769555866132,1228.62809751362,1247.90430520569,1678.25749777529
"Delaware",944076,952065,12.542911110761,13,8,27,14,"Dem","Dem","Dem",9437.58765184159,4766.35355628149,4671.2340955601,1331.88429745063,787.542528355768,544.341769094861,2895.95329189599,1518.09811921922,1377.85517267678,4173.28689639393,1972.51068769887,2200.77620869506,1036.46316610103,488.202221007631,548.260945093404,13171.3972180206,6469.39441316165,6702.00280485893,11589.8508170952,5616.07328223575,5973.77753485948,4329.73616530872,1923.67987323054,2406.05629207818,11728.6108321788,5709.81573517386,6018.7950970049,10436.3419894161,5018.3459806202,5417.9960087959,4140.76832797359,1682.91535850927,2457.85296946432,27194.5267118325,12924.912824815,14269.6138870176,24725.9754511289,11436.155563747,13289.8198873819,8454.0863235587,3924.89587702685,4529.19044653185,17035.0692105297,7622.58546981387,9412.48374071579,14713.328164258,6543.43506243141,8169.89310182655,4464.47108071808,2469.39865010868,1995.0724306094,352595,1232.42196602816,784.258894411043,1232.42196602816,1568.51778882209,1904.71953529165,3435.95219028976,4929.89971146391,7021.36268690233,5564.80622322779,5378.06278308102,4294.99319970002,61255,91780.8219178082,21689.497716895,61872.1461187215,81735.1598173516,60045.6621004566,61187.2146118721,19178.0821917808,67808.2191780822,100000,86757.9908675799,88356.1643835616,897934,5046703785,747949,83.3,1053792304,20.88,1838.3,616982,68.71,740579379,14.67,2157.7,130967,14.59,313212925,6.21,1083,149985,16.7,3992911481,79.12,97.3,33220.9483134832,406.217296065147,15.1470856159885,2328.62608518806,3123.47734716273,657.680102025684,3430.33823548104,1178.08312042675,304.95426215686,575.801100758837,3192.32773632631,618.700189391532,2262.42378791538,19.7018036683487,1281.67647519903,3111.50797181583,5036.67077650528,513.30613213343,1709.18443006707,1240.04847067397,2215.07590490596
"Florida",20244914,20612439,15.5072219578996,14,26,45,74,"Rep","Rep","Rep",8762.70454890547,4505.96628861945,4256.73826028602,1437.00783317726,849.981382978461,587.026450198801,2602.66356280891,1474.20236015821,1128.4612026507,3953.68930685505,1877.05415789862,2076.63514895642,769.343846064251,304.728387584161,464.61545848009,12809.404870774,6438.17503991373,6371.22983086023,11489.3548078298,5635.4450307865,5853.90977704326,3724.05138396735,1607.08017826107,2116.97120570628,12168.3500359646,6026.19502359951,6142.15501236508,10786.7635298426,5218.43165152492,5568.33187831769,3734.41942010719,1639.78962815056,2094.62979195664,26635.4453271572,12825.9374181585,13809.5079089988,23596.0794893967,11175.7402377703,12420.3392516264,7536.81146780866,3628.25942357671,3908.55204423195,19487.5265955686,8749.6099020228,10737.9166935458,16430.0129899292,7500.56532717304,8929.44766275619,5218.87126811208,2944.61611444731,2274.25515366477,7463184,1400.8456642493,1327.11850492425,1916.95059806132,2101.27343588617,2285.59627371102,4165.68329210981,5455.94315688375,6819.93018098274,4202.54687177234,4091.95613278476,3170.34194366052,49426,308791.208791209,213186.813186813,489010.989010989,528571.428571429,325274.725274725,351648.351648352,200000,513186.813186813,100000,56043.956043956,58241.7582417582,18801310,138887481596,17139844,91.16,19173902265,13.81,2315.2,16439936,87.44,17700464722,12.74,2405.5,699908,3.72,1473437543,1.06,1230.3,1661466,8.84,119713579331,86.19,35.9,31165.5213748994,308.018102719527,34.2752752617275,2390.39790438231,1912.29263804233,1021.78255733761,3421.14567639062,1517.49718472501,291.905413873331,674.678094458687,1894.68821650712,907.403212480922,2260.05405604588,31.0151971996522,1841.96386312137,2182.35552889975,4355.68162947,786.157945645015,2259.71322970303,1397.87207789571,1676.62357073979
"Georgia",10199398,10310371,19.256500727924,18,38,60,119,"Rep","Rep","Rep",10085.6834883784,5127.98892640526,4957.69456197317,1654.66628520624,969.998425397264,684.667859808981,3213.47397169911,1765.52576926599,1447.94820243312,4406.97578425707,2062.54329912412,2344.43248513295,810.567447216002,329.921432617886,480.646014598116,13562.2514191524,6708.70967090411,6853.54174824828,11858.1312348043,5690.85547990185,6167.2757549024,4172.19722183603,1753.4172114864,2418.78001034963,13610.5385827673,6568.9171066763,7041.62147609104,11824.0998145185,5582.16279039214,6241.93702412633,4533.21852917202,1977.87163516906,2555.34689400296,25585.3041522647,12302.9908235761,13282.3133286886,22489.474378782,10620.4503442262,11869.0240345558,7713.85722961296,3669.52049522923,4044.33673438374,12772.9009104263,5526.38498860423,7246.51592182205,10282.9108149324,4520.52170137885,5762.38911355357,3190.83538067639,1712.30694203717,1478.52843863922,3656407,1469.81223793796,1398.1119277824,1971.70460452666,1792.45873138787,2079.25016750989,3692.46302575897,5018.88444788604,6524.56154765213,4122.65508219211,4445.30157564201,3333.9712794814,51244,85135.1351351351,39414.4144144144,62387.3873873874,73873.8738738739,68468.4684684685,73423.4234234234,37387.3873873874,67792.7927927928,100000,79279.2792792793,80180.1801801802,9687653,148959236603,7272151,75.07,12423724190,8.34,1516,6334271,65.38,10239668028,6.87,1602.2,937880,9.68,2184056162,1.47,1112.2,2415502,24.93,136535512413,91.66,45.8,32382.371979209,343.235943925318,43.5319810051534,2175.55977323368,4246.2408075457,1095.78035880157,3240.69126432756,1796.40014047888,385.826692908738,932.319731027262,1576.916598411,655.391622132993,2461.62567633894,38.7473848946771,1426.35869293462,2918.2114473815,3759.12382279817,288.899403670687,1609.48714816306,1386.11121950531,2001.91226972415
