"NAME","LicCount","POPESTIMATE2016","LicCountMonthly","perCapitaFFL.2016","perCapitaFFL","REGION","DIVISION","STATE","NPOPCHG_2016","BIRTHS2016","DEATHS2016","NATURALINC2016","INTERNATIONALMIG2016","DOMESTICMIG2016","NETMIG2016","RESIDUAL2016","RBIRTH2016","RDEATH2016","RNATURALINC2016","RINTERNATIONALMIG2016","RDOMESTICMIG2016","RNETMIG2016"
"California",30579,39250017,2548.25,77.9082465110779,6.49235387592316,"4","9",6,256077,502848,273850,228998,142553,-109023,33530,-6451,12.853337671,6.9999016026,5.8534360679,3.6438085564,-2.786745563,0.8570629934
"Texas",75956,27862596,6329.66666666667,272.609199803206,22.7174333169338,"3","7",48,432957,404533,192814,211719,91839,125703,217542,3696,14.632542888,6.9743608664,7.6581820214,3.3219492755,4.5468590662,7.8688083417
"Florida",38357,20612439,3196.41666666667,186.086663494796,15.5072219578996,"3","5",12,367525,222793,201485,21308,118831,207155,325986,20231,10.905894956,9.8628513697,1.0430435863,5.8168721797,10.14040239,15.957274569
"New York",19935,19745289,1661.25,100.960791204423,8.41339926703529,"1","2",36,-1894,236507,160713,75794,118478,-191367,-72889,-4799,11.97732064,8.1389182222,3.8384024176,6.0000295753,-9.691315347,-3.691285772
"Illinois",24367,12801539,2030.58333333333,190.344301571866,15.8620251309888,"2","3",17,-37508,155238,108040,47198,30934,-114144,-83210,-1496,12.108771617,8.4272644939,3.6815071231,2.4128933715,-8.903384657,-6.490491286
"Pennsylvania",30633,12784227,2552.75,239.615582545585,19.9679652121321,"1","2",42,-7677,140897,133053,7844,34678,-45565,-10887,-4634,11.01785098,10.404466571,0.6133844091,2.7117471364,-3.563087787,-0.85134065
"Ohio",29632,11614373,2469.33333333333,255.132153926863,21.2610128272386,"2","3",39,9283,138012,115938,22074,19591,-27558,-7967,-4824,11.887613422,9.9862774604,1.9013359611,1.6874636593,-2.373698306,-0.686234647
"Georgia",23825,10310371,1985.41666666667,231.078008735088,19.256500727924,"3","5",13,110973,130862,81525,49337,23831,36781,60612,1024,12.760943334,7.9498701326,4.8110732013,2.3238682015,3.5866810592,5.9105492607
"North Carolina",28769,10146788,2397.41666666667,283.528147035298,23.6273455862749,"3","5",37,111602,120778,89721,31057,20494,59584,80078,467,11.968898582,8.8912016238,3.0776969587,2.0309212568,5.9046751324,7.9355963891
"Michigan",26151,9928300,2179.25,263.398567730629,21.949880644219,"2","3",26,10585,113437,94353,19084,22511,-27839,-5328,-3171,11.431715637,9.5085083832,1.9232072534,2.2685662588,-2.805500248,-0.536933989
