"NAME","POPESTIMATE2015","POPESTIMATE2016","perCapitaFFL"
"Alabama",4853875,4863300,25.2931822699265
"Alaska",737709,741894,81.8176181503018
"Arizona",6817565,6931071,26.1611805736805
"Arkansas",2977853,2988248,42.5304950146931
"California",38993940,39250017,6.49235387592316
"Colorado",5448819,5540545,31.1371294099528
"Connecticut",3584730,3576452,15.08245229257
"Delaware",944076,952065,12.542911110761
"Florida",20244914,20612439,15.5072219578996
"Georgia",10199398,10310371,19.256500727924
"Hawaii",1425157,1428557,7.30340709774502
"Idaho",1652828,1683140,56.7490919749199
"Illinois",12839047,12801539,15.8620251309888
"Indiana",6612768,6633053,22.1127435586599
"Iowa",3121997,3134693,41.051335276958
"Kansas",2906721,2907289,38.5009310506569
"Kentucky",4424611,4436974,31.8366376123307
"Louisiana",4668960,4681666,26.0359595636824
"Maine",1329453,1331479,38.866553659502
"Maryland",5994983,6016447,9.81060748976929
"Massachusetts",6784240,6811779,7.19342186527191
"Michigan",9917715,9928300,21.949880644219
"Minnesota",5482435,5519952,26.2547572877445
"Mississippi",2989390,2988726,31.4069160795157
"Missouri",6076204,6093000,36.5050057442967
"Montana",1032073,1042520,103.810958063155
"Nebraska",1893765,1907116,35.9530656062173
"Nevada",2883758,2940058,21.1220322864379
"New Hampshire",1330111,1334795,37.215452560131
"New Jersey",8935421,8944469,3.68663584165812
"New Mexico",2080328,2081015,33.200946012723
"New York",19747183,19745289,8.41339926703529
"North Carolina",10035186,10146788,23.6273455862749
"North Dakota",756835,757952,54.4449604548397
"Ohio",11605090,11614373,21.2610128272386
"Oklahoma",3907414,3923561,39.0036839833339
"Oregon",4024634,4093465,35.3205251134023
"Pennsylvania",12791904,12784227,19.9679652121321
"Rhode Island",1055607,1056426,8.57450813718456
"South Carolina",4894834,4961119,22.4310953503299
"South Dakota",857919,865454,59.6411440315334
"Tennessee",6595056,6651194,23.0873333920697
"Texas",27429639,27862596,22.7174333169338
"Utah",2990632,3051217,30.3294281156229
"Vermont",626088,624594,49.6856091050079
"Virginia",8367587,8411808,20.3880069540341
"Washington",7160290,7288000,16.4962952799122
"West Virginia",1841053,1831102,48.8594664123936
"Wisconsin",5767891,5778708,27.2191754050675
"Wyoming",586555,585501,104.725127141827
