"STATE","Total.Seats","Total.Senate","Senate.Dem","Senate.Rep","Senate.other","Total.House","House.Dem","House.Rep","House.other","Legis.Control","Gov.Party","State.Control","Year"
"Alabama",140,35,11,23,"1","105","37","66","1, 1v","Rep","Rep","Rep","2014"
"Alaska",60,20,7,13,"0","40","14","26","0","Rep","Rep","Rep","2014"
"Arizona",90,30,12,17,"1v","60","24","36","0","Rep","Rep","Rep","2014"
"Arkansas",135,35,13,22,"0","100","48","51","1","Rep","Dem","Divided","2014"
"California",120,40,28,11,"1v","80","55","25","0","Dem","Dem","Dem","2014"
"Colorado",100,35,18,17,"0","65","37","28","0","Dem","Dem","Dem","2014"
"Connecticut",187,36,21,14,"1v","151","98","53","0","Dem","Dem","Dem","2014"
"Delaware",62,21,13,8,"0","41","27","14","0","Dem","Dem","Dem","2014"
"Florida",160,40,14,26,"0","120","45","74","1v","Rep","Rep","Rep","2014"
"Georgia",236,56,18,38,"0","180","60","119","1","Rep","Rep","Rep","2014"
"Hawaii",76,25,24,1,"0","51","44","7","0","Dem","Dem","Dem","2014"
"Idaho",105,35,7,28,"0","70","13","57","0","Rep","Rep","Rep","2014"
"Illinois",177,59,40,19,"0","118","71","47","0","Dem","Dem","Dem","2014"
"Indiana",150,50,13,37,"0","100","31","69","0","Rep","Rep","Rep","2014"
"Iowa",150,50,26,24,"0","100","47","53","0","Split","Rep","Divided","2014"
"Kansas",165,40,8,32,"0","125","33","92","0","Rep","Rep","Rep","2014"
"Kentucky",138,38,14,23,"1","100","54","46","0","Split","Dem","Divided","2014"
"Louisiana",144,39,13,26,"0","105","44","59","2","Rep","Rep","Rep","2014"
"Maine",186,35,19,15,"1","151","89","58","4","Dem","Rep","Divided","2014"
"Maryland",188,47,36,11,"0","141","98","43","0","Dem","Dem","Dem","2014"
"Massachusetts",200,40,36,4,"0","160","131","29","0","Dem","Dem","Dem","2014"
"Michigan",148,38,12,26,"0","110","51","59","0","Rep","Rep","Rep","2014"
"Minnesota",201,67,39,28,"0","134","73","61","0","Dem","Dem","Dem","2014"
"Mississippi",174,52,20,32,"0","122","57","65","0","Rep","Rep","Rep","2014"
"Missouri",197,34,9,24,"1v","163","52","108","3v","Rep","Dem","Divided","2014"
"Montana",150,50,21,29,"0","100","38","61","1v","Rep","Dem","Divided","2014"
"Nebraska",49,49,NA,NA,"49","Unicameral",NA,NA,"","N/A","Rep","N/A","2014"
"Nevada",63,21,11,10,"0","42","27","15","0","Dem","Rep","Divided","2014"
