"","Total.Seats","Total.Senate","Senate.Dem","Senate.Rep","Senate.other","Total.House","House.Dem","House.Rep","Legislative.Control","Governing.Party","State.Control","perCapitaFFL","pc.18to24","pc.18to24.HS","pc.18to24.BA","pc.25to34","pc.25to34.HS","pc.25to34.BA","pc.35to44","pc.35to44.HS","pc.35to44.BA","pc.45to64","pc.45to64.HS","pc.45to64.BA","pc.65plus","pc.65plus.HS","pc.65plus.BA","perCapita.LessThan5000","perCapita.5000to9999","perCapita.10000to14999","perCapita.15000to19999","perCapita.20000to24999","perCapita.25000to34999","perCapita.35000to49999","perCapita.50000to74999","perCapita.75000to99999","perCapita.100000to149999","perCapita.150000.or.more","workforcePC","agriculturePC","constructionPC","manufacturingPC","wholesalePC","retailPC","transportationPC","informationPC","financePC","pro.scientificPC","educationPC","artsPC","otherPC","publicAdminPC","POPESTIMATE2016","NPOPCHG_2016","BIRTHS2016","DEATHS2016","NATURALINC2016","INTERNATIONALMIG2016","DOMESTICMIG2016","NETMIG2016","RESIDUAL2016","atf.Region","POP_ST","AREA_ST","POP_URBAN","POPPCT_URBAN","AREA_URBAN","AREAPCT_URBAN","POPDEN_URBAN","POP_UA","POPPCT_UA","AREA_UA","AREAPCT_UA","POPDEN_UA","POP_UC","POPPCT_UC","AREA_UC","AREAPCT_UC","POPDEN_UC","POP_RURAL","POPPCT_RURAL","AREA_RURAL","AREAPCT_RURAL","POPDEN_RURAL"
"1",140,35,11,23,"1",105,37,66,"Rep","Rep","Rep",25.2931822699265,9648.35311992995,3082.32082614406,721.71203419948,12865.4322577322,11180.5310190312,3319.61577090469,12612.4591177152,10890.2680847776,3411.58352862404,26447.7350570421,22716.3245860266,6283.68056449744,15695.6452319023,12597.337179058,3320.02781282996,1711.77770338132,1901.97522597924,2624.72581185136,2434.52828925343,2396.48878473385,4298.46401071309,5249.45162370271,6771.03180448611,4070.22698359558,3994.14797455641,2586.68630733177,42030.7074244804,708.361875820865,2645.08253714815,6005.03721253638,1061.52300996626,4969.94669207592,2229.70307228761,694.064021014138,2295.91820967783,4041.08057994901,9472.37001364889,3527.88236203034,2184.44026679715,2195.2975715279,4863300,9425,58556,52405,6151,4738,-864,3874,-600,1,4779736,131170787086,2821804,59.04,5716365701,4.36,1278.5,2325304,48.65,4415733067,3.37,1363.9,496500,10.39,1300632634,0.99,988.7,1957932,40.96,125454421385,95.64,40.4
"2",60,20,7,13,"0",40,14,26,"Rep","Rep","Rep",81.8176181503018,11185.7114390634,4258.58976913661,649.714182692633,16100.9286859724,14955.3550248133,4563.85919109025,12424.4112515911,11681.7064723353,3635.85099273562,25495.2833705431,23862.1190740522,7799.14573361583,9625.47562792375,8454.55321813886,2899.65284414315,610.448022187611,746.103138229302,1085.24092833353,1220.89604437522,1085.24092833353,2577.44720479213,4001.82592322989,6002.73888484484,5087.06685156342,6375.79045395949,5154.89440958427,48090.2361229157,2569.30578317467,3445.12538141733,1553.59362567083,982.772339770831,5286.50185913416,3661.60640577789,937.49703473863,1714.90384419873,4114.22390129441,11262.2999041628,4652.1053694614,2271.89853993919,5638.40213417486,741894,4185,11255,4511,6744,2030,-4587,-2557,-2,9,710231,1477953211577,468893,66.02,673703920,0.05,1802.6,315756,44.46,362866427,0.02,2253.7,153137,21.56,310837493,0.02,1276,241338,33.98,1477279507657,99.95,0.4
"3",90,30,12,17,"1v",60,24,36,"Rep","Rep","Rep",26.1611805736805,9821.43917953111,2982.17912113783,723.234761971466,13417.708522031,11667.9782297639,3535.67586080954,12398.4736485827,10404.5359303505,3560.91947784876,24303.6186673688,21028.431705455,6773.65012288112,16428.2115388705,14191.9585658516,4574.00846196553,1445.09542629957,1264.45849801212,1734.11451155948,1878.62405418944,2023.13359681939,3865.63026535134,5238.47092033593,6791.94850360796,4335.2862788987,4371.41366455619,3143.08255220156,43087.3779714605,631.823825662095,2842.73050568641,3044.8261219365,1012.35558443521,5399.27378763532,2164.07177636003,805.566210223152,3552.16268565096,5242.26758380742,9337.98210944817,4832.28249382294,2029.85963463495,2192.17565215733,6931071,113506,87204,56564,30640,14861,61544,76405,6461,9,6392017,294207314414,5740659,89.81,5663221936,1.92,2625.4,5117783,80.07,4696616836,1.6,2822.2,622876,9.74,966605100,0.33,1669,651358,10.19,288544092478,98.08,5.8
"4",135,35,13,22,"0",100,48,51,"Rep","Dem","Divided",42.5304950146931,9551.88184238779,3027.44964241015,687.542333352251,12941.9081465741,11471.8557296146,3124.16361721012,12341.0725781293,10843.5842870686,3095.65314338888,25414.7870966095,21854.3024118383,5339.88749612556,16055.6615789967,12842.7427411628,2993.76765743641,1576.00737847033,1921.96021764674,2729.18350905837,2498.54828294076,2652.3051003525,4843.33974846979,5765.88065294022,6803.73917046946,3997.67725270522,3574.84600482294,2114.15623941141,42683.8732469333,1386.93884486575,2739.79272986276,5944.88713848534,1024.39576433088,5870.13529546287,2364.75742758289,695.736156217248,1932.4661089718,3070.90376858764,10409.9497188075,3279.81267040381,2008.22538923177,1955.87223412304,2988248,10395,37936,30581,7355,3335,195,3530,-490,5,2915918,134771261408,1637589,56.16,2841198188,2.11,1492.8,1152837,39.54,1881196989,1.4,1587.2,484752,16.62,960001199,0.71,1307.8,1278329,43.84,131930063220,97.89,25.1
"5",120,40,28,11,"1v",80,55,25,"Dem","Dem","Dem",6.49235387592316,10112.1789693475,2991.4930371232,978.377665862952,14957.996037333,13023.0210130087,5090.94490066918,13310.7093050869,10824.3998939322,4619.11004633028,25318.3520311105,20567.0752942637,7863.87833596708,13308.6269302358,10572.901840645,4008.1125426156,959.108910256312,859.890747126348,1587.49061007941,1422.12700486281,1554.41788903609,2844.25400972561,3869.50836206857,5423.92625110466,4034.87196728517,5060.12631962813,5423.92625110466,46277.5754386451,1145.3420711013,2852.33038774743,4400.35297792426,1355.83118812821,4992.69117201288,2307.30980249752,1342.54707269899,2793.69050678131,6129.62937317952,9618.96899877263,4877.99129813504,2448.59585874113,2012.29473092486,39250017,256077,502848,273850,228998,142553,-109023,33530,-6451,9,37253956,403466310059,35373606,94.95,21287926350,5.28,4303.7,33427689,89.73,18915178185,4.69,4577.1,1945917,5.22,2372748165,0.59,2124.1,1880350,5.05,382178383709,94.72,12.7
"6",100,35,18,17,"0",65,37,28,"Dem","Dem","Dem",31.1371294099528,9689.23724572242,2894.75572596557,1078.28870806683,15180.1151772522,13981.9105754843,5963.25552381167,13544.0175201268,12178.730840573,5856.00292467047,25604.7227848824,23597.0400191308,9887.24345587548,13059.1968644949,11686.8260810278,4735.48488213685,1028.073147594,989.996364349779,1408.84098003622,1446.91776328045,1751.53202923422,3274.60335900312,5026.13538823734,6968.05133369268,5102.28895472579,6130.36210231979,4988.05860499312,50747.0517923242,1316.46876139582,4018.85252565739,3502.68562783972,1308.7973742567,5730.52619292364,2316.09822238544,1496.34260194732,3489.87551247344,6992.06562009125,10483.4093406296,5311.05914878068,2539.26584825079,2241.60501569239,5540545,91726,67453,37121,30332,10557,50216,60773,621,5,5029196,268431246426,4332761,86.15,3956737225,1.47,2836.1,3865471,76.86,3258048896,1.21,3072.9,467290,9.29,698688329,0.26,1732.2,696435,13.85,264474509201,98.53,6.8
"7",187,36,21,14,"1v",151,98,53,"Dem","Dem","Dem",15.08245229257,9842.94493588081,2721.68336248476,1450.65318726933,12351.7252345365,11390.0907460255,5403.58688102033,12065.1764568043,11088.4780722676,5043.64345431874,28848.8951748109,26502.8607454397,11062.3394230528,15769.1932167834,13295.2272556092,4937.16402630045,1087.03827066474,1012.07011406717,1461.87905365258,1499.36313195136,1499.36313195136,2698.85363751245,4235.70084776259,5959.96844950666,4685.509787348,6372.29331079328,6972.03856357383,50410.9932965663,199.429245717251,3019.11162067994,5244.38381691229,1296.16456469525,5496.73197144555,2044.67282054715,1173.36591598251,4681.69150814706,5808.41513865758,13256.6469441213,4072.6637710511,2189.9836249871,1927.73235362217,3576452,-8278,35848,30638,5210,17058,-29880,-12822,-666,6,3574097,12541641427,3144942,87.99,4730500209,37.72,1721.9,3031980,84.83,4500564038,35.88,1744.8,112962,3.16,229936171,1.83,1272.4,429155,12.01,7811141218,62.28,142.3
"8",62,21,13,8,"0",41,27,14,"Dem","Dem","Dem",12.542911110761,9437.58765184159,2895.95329189599,1036.46316610103,13171.3972180206,11589.8508170952,4329.73616530872,11728.6108321788,10436.3419894161,4140.76832797359,27194.5267118325,24725.9754511289,8454.0863235587,17035.0692105297,14713.328164258,4464.47108071808,1232.48922756219,784.311326630483,1232.48922756219,1568.62265326097,1904.75607895974,3436.03057380974,4929.95691024875,7021.45378126337,5564.87560323533,5378.13481118046,4295.03821726217,47402.5396260471,540.846287798864,3056.74543151187,3841.21617327419,779.810100034319,5807.68921146179,1897.62264902402,715.93812362564,4632.9956486554,4800.88467453891,11839.3010732187,4805.96901096946,2154.06386773946,2529.45737419445,952065,7989,10922,8945,1977,2556,3027,5583,429,8,897934,5046703785,747949,83.3,1053792304,20.88,1838.3,616982,68.71,740579379,14.67,2157.7,130967,14.59,313212925,6.21,1083,149985,16.7,3992911481,79.12,97.3
"9",160,40,14,26,"0",120,45,74,"Rep","Rep","Rep",15.5072219578996,8762.70454890547,2602.66356280891,769.343846064251,12809.404870774,11489.3548078298,3724.05138396735,12168.3500359646,10786.7635298426,3734.41942010719,26635.4453271572,23596.0794893967,7536.81146780866,19487.5265955686,16430.0129899292,5218.87126811208,1400.85056424542,1327.12158717987,1916.95340370426,2101.27584636813,2285.598289032,4165.68720420349,5455.94430285058,6819.93037856323,4202.55169273626,4091.95822713794,3170.34601381858,44407.3064474366,503.440024492077,3168.32662267669,2279.73801222371,1243.87784507259,5809.38995344707,2283.76865419137,857.217768373825,3505.30508551432,5750.48133076782,9252.39791090246,5576.25979542319,2314.7443352933,1862.35910905821,20612439,367525,222793,201485,21308,118831,207155,325986,20231,1,18801310,138887481596,17139844,91.16,19173902265,13.81,2315.2,16439936,87.44,17700464722,12.74,2405.5,699908,3.72,1473437543,1.06,1230.3,1661466,8.84,119713579331,86.19,35.9
"10",236,56,18,38,"0",180,60,119,"Rep","Rep","Rep",19.256500727924,10085.6834883784,3213.47397169911,810.567447216002,13562.2514191524,11858.1312348043,4172.19722183603,13610.5385827673,11824.0998145185,4533.21852917202,25585.3041522647,22489.474378782,7713.85722961296,12772.9009104263,10282.9108149324,3190.83538067639,1469.81897362962,1398.1204871111,1971.70837925925,1792.46216296295,2079.25610903702,3692.47205570368,5018.89405629626,6524.56227318514,4122.66297481479,4445.30616414812,3333.97962311109,45155.9297911504,508.745712246938,2954.88027822819,4929.4674058214,1309.69494474086,5396.34790210167,2723.01365237439,1152.90137712049,2698.04159029778,5332.06959861749,9453.2049832745,4148.49974478886,2308.99902131479,2240.06358022307,10310371,110973,130862,81525,49337,23831,36781,60612,1024,1,9687653,148959236603,7272151,75.07,12423724190,8.34,1516,6334271,65.38,10239668028,6.87,1602.2,937880,9.68,2184056162,1.47,1112.2,2415502,24.93,136535512413,91.66,45.8
