"","perCapitaFFL","pc.18to24","pc.18to24.HS","pc.18to24.BA","pc.25to34","pc.25to34.HS","pc.25to34.BA","pc.35to44","pc.35to44.HS","pc.35to44.BA","pc.45to64","pc.45to64.HS","pc.45to64.BA","pc.65plus","pc.65plus.HS","pc.65plus.BA"
"California",6.49235387592316,10112.1789693475,2991.4930371232,978.377665862952,14957.996037333,13023.0210130087,5090.94490066918,13310.7093050869,10824.3998939322,4619.11004633028,25318.3520311105,20567.0752942637,7863.87833596708,13308.6269302358,10572.901840645,4008.1125426156
"Texas",22.7174333169338,10162.2518619366,3267.97957494081,805.329592562264,14502.0647191164,12569.2284903932,4268.72916555701,13581.7864755712,11199.3526418631,4170.2189372598,23872.1880371812,19619.2848181487,6691.14894293724,11744.6204815164,9116.35767426615,2935.6675091495
"Florida",15.5072219578996,8762.70454890547,2602.66356280891,769.343846064251,12809.404870774,11489.3548078298,3724.05138396735,12168.3500359646,10786.7635298426,3734.41942010719,26635.4453271572,23596.0794893967,7536.81146780866,19487.5265955686,16430.0129899292,5218.87126811208
"New York",8.41339926703529,9830.01474184951,2573.64809957957,1548.42338778144,14561.9757511742,13077.7843097924,6420.01950354134,12653.8149770527,11085.3026479777,5020.30593426921,26862.9404001573,23338.1237212417,8711.12603757204,15001.8714061646,11877.4156293584,4046.74935154042
"Illinois",15.8620251309888,9641.46326436845,2782.51960601126,1208.6099536827,13811.0873805509,12625.9682669594,5523.3538750968,13027.4856069925,11589.9723710023,4869.22432794272,26387.4413731798,23626.5277321596,8369.60095246945,14239.5693387523,11899.7850852949,3463.30222173032
"Pennsylvania",19.9679652121321,9496.28765193985,3111.97613740691,1116.12782584985,12888.1595734302,11868.5381003485,4877.09257355277,11740.6681601113,10751.3236497084,4186.36662689151,27861.6693808834,25441.5370847061,7888.10641480737,17051.3552947239,14310.6843203326,3694.48519938861
"Ohio",21.2610128272386,9367.82911636187,3061.29465605178,913.047636855897,12807.8541398645,11781.2787320047,4104.93154296951,12070.6603740255,11039.242263524,3847.96671115864,27313.3771474413,24915.3690320368,7068.61385822945,15851.2687105399,13299.3626072697,3204.24916997628
"Georgia",19.256500727924,10085.6834883784,3213.47397169911,810.567447216002,13562.2514191524,11858.1312348043,4172.19722183603,13610.5385827673,11824.0998145185,4533.21852917202,25585.3041522647,22489.474378782,7713.85722961296,12772.9009104263,10282.9108149324,3190.83538067639
"North Carolina",23.6273455862749,9886.2940856303,3047.78605996939,936.375269975066,12935.7841498902,11391.8267185083,4149.41985131118,13082.8267657421,11458.1633065894,4336.97990251501,26268.4020007203,23222.8580516594,7676.92796127546,15102.3110084855,12254.1724687515,3677.43059271647
"Michigan",21.9498784333795,9945.88975383947,2872.7988251326,965.434074280215,12316.929857331,11233.2124889655,3890.52316990355,11851.5908150214,10814.1744343329,3814.1043577074,27836.4623302848,25505.5826871411,7445.47509179282,15836.7224708514,13604.7365749066,3709.81622278922
"New Jersey",3.68663584165812,8872.15051199043,2413.74189307924,1351.37449035697,12892.2856572735,11864.3766197474,5629.23671979194,13081.6108160992,11838.7370891646,5666.28030173396,28007.1414654105,25397.2924163282,10423.2693680578,15029.5212726966,12358.6454404331,4223.72935757588
"Virginia",20.3880069540341,9893.66468493247,3020.21359323781,1180.12516631139,14016.0478761679,12940.7318979773,5550.82367234425,13096.9896100274,11938.1250532561,5551.03878812374,26640.4998239038,23960.0735552555,9839.75428041561,14190.9967592808,11579.407540071,4179.65179208773
"Washington",16.4962952799122,9344.13270970869,2932.78624189802,972.348885310511,14669.2941207689,13384.499789813,5217.83335591156,12943.1768825006,11694.3168502952,4820.41928469378,26193.8413108966,23955.6498409981,8686.29622543221,14477.4303834063,12989.3202649613,4611.00039244221
