"","perCapitaFFL","workforcePC","agriculturePC","constructionPC","manufacturingPC","wholesalePC","retailPC","transportationPC","informationPC","financePC","pro.scientificPC","educationPC","artsPC","otherPC","publicAdminPC"
"Alabama",25.2931822699265,42030.7074244804,708.361875820865,2645.08253714815,6005.03721253638,1061.52300996626,4969.94669207592,2229.70307228761,694.064021014138,2295.91820967783,4041.08057994901,9472.37001364889,3527.88236203034,2184.44026679715,2195.2975715279
"Alaska",81.8176181503018,48090.2361229157,2569.30578317467,3445.12538141733,1553.59362567083,982.772339770831,5286.50185913416,3661.60640577789,937.49703473863,1714.90384419873,4114.22390129441,11262.2999041628,4652.1053694614,2271.89853993919,5638.40213417486
"Arizona",26.1611805736805,43087.3779714605,631.823825662095,2842.73050568641,3044.8261219365,1012.35558443521,5399.27378763532,2164.07177636003,805.566210223152,3552.16268565096,5242.26758380742,9337.98210944817,4832.28249382294,2029.85963463495,2192.17565215733
"Arkansas",42.5304950146931,42683.8732469333,1386.93884486575,2739.79272986276,5944.88713848534,1024.39576433088,5870.13529546287,2364.75742758289,695.736156217248,1932.4661089718,3070.90376858764,10409.9497188075,3279.81267040381,2008.22538923177,1955.87223412304
"California",6.49235387592316,46277.5754386451,1145.3420711013,2852.33038774743,4400.35297792426,1355.83118812821,4992.69117201288,2307.30980249752,1342.54707269899,2793.69050678131,6129.62937317952,9618.96899877263,4877.99129813504,2448.59585874113,2012.29473092486
"Colorado",31.1371294099528,50747.0517923242,1316.46876139582,4018.85252565739,3502.68562783972,1308.7973742567,5730.52619292364,2316.09822238544,1496.34260194732,3489.87551247344,6992.06562009125,10483.4093406296,5311.05914878068,2539.26584825079,2241.60501569239
"Connecticut",15.08245229257,50410.9932965663,199.429245717251,3019.11162067994,5244.38381691229,1296.16456469525,5496.73197144555,2044.67282054715,1173.36591598251,4681.69150814706,5808.41513865758,13256.6469441213,4072.6637710511,2189.9836249871,1927.73235362217
"Delaware",12.542911110761,47402.5396260471,540.846287798864,3056.74543151187,3841.21617327419,779.810100034319,5807.68921146179,1897.62264902402,715.93812362564,4632.9956486554,4800.88467453891,11839.3010732187,4805.96901096946,2154.06386773946,2529.45737419445
"Florida",15.5072219578996,44407.3064474366,503.440024492077,3168.32662267669,2279.73801222371,1243.87784507259,5809.38995344707,2283.76865419137,857.217768373825,3505.30508551432,5750.48133076782,9252.39791090246,5576.25979542319,2314.7443352933,1862.35910905821
"Georgia",19.256500727924,45155.9297911504,508.745712246938,2954.88027822819,4929.4674058214,1309.69494474086,5396.34790210167,2723.01365237439,1152.90137712049,2698.04159029778,5332.06959861749,9453.2049832745,4148.49974478886,2308.99902131479,2240.06358022307
"Hawaii",7.30340709774502,47378.2186804682,676.69737439454,3756.91941308922,1406.65203903851,1227.37354551113,5440.52339496631,2719.77052352828,790.930402755626,3237.04686571374,4708.6742022107,9294.62508341186,7556.00961858939,2277.22279019084,4285.77342706804
"Idaho",56.7490919749199,45027.5527762114,2350.45630882342,2975.92973981564,4271.52734585813,1247.92174382331,5360.81189331255,2204.88762291055,804.378919040578,2249.47786460539,4474.69428155864,10523.478547072,4279.5741601667,2139.36356354079,2145.05078568369
"Illinois",15.8620251309888,48263.1148557989,538.840616441392,2574.64592192863,5930.06630476546,1517.56590656612,5307.62914101023,2932.00889442963,919.086907307061,3530.11403416469,5650.10783121208,10941.5519703293,4429.83034488463,2231.11575181554,1760.55123094417
"Indiana",22.1127435586599,47180.9384511902,697.862075306438,2793.52005090758,8979.94606797033,1272.25089402804,5443.98351794589,2387.06393449763,773.957289897362,2516.28365005396,3903.31250090734,10490.0549966368,4226.65667387696,2139.72424255622,1556.32255660565
"Iowa",41.051335276958,51245.8211843253,1943.01916369554,3235.3970871849,8068.32934176426,1396.47795945992,5977.8084347935,2372.68005062144,880.974581333678,3760.41360705984,3647.69729118894,12428.0388482116,3926.97366461275,2075.01800930622,1532.99314509271
"Kansas",38.5009310506569,48751.4625586701,1663.97118952937,3199.7567017956,5939.44172832549,1388.36854311095,5446.3087444581,2238.0888981089,1029.1665419557,3017.86789994637,4573.67597371746,11912.7016318388,4007.57417034521,2240.97875234672,2093.56178319144
"Kentucky",31.8366376123307,43596.3071103878,1108.30082011729,2535.47713007991,6223.16854521222,1030.98328870041,5330.79631181137,2562.1461412088,686.930444280864,2335.21093718747,3430.99088258832,10326.6479245294,4013.91218346652,2080.13766633948,1931.60483486571
"Louisiana",26.0359595636824,43645.9511325863,1829.63657859566,3452.24632466331,3416.26400740208,1094.35505979918,5008.07460333779,2226.79140536651,700.412939926665,2263.11641136356,3997.37843117097,10313.6887015524,4662.51584935403,2314.39121346081,2367.07960659333
"Maine",38.866553659502,48772.9915988004,1311.44162298329,3526.18708596694,4560.82313553018,1026.36196992297,6386.08510417442,1864.67667529428,943.997268049341,3052.60885492003,4070.01977505034,13648.7713367829,4248.5894574686,2226.85570682078,1906.57360583639
"Maryland",9.81060748976929,50566.7155353068,232.794655130799,3413.65438400743,2322.5920740726,1020.97036805609,5005.00168223997,2306.24507192097,1094.33171036515,2993.21949703611,7848.76287388972,11720.3501661306,4483.21538192852,2703.22701498903,5422.35065553981
"Massachusetts",7.19342186527191,51917.429218306,200.214025447213,2810.60221926111,4675.79271959718,1181.22295201821,5521.1637559992,1913.87686756365,1251.79828543802,3832.23470867776,7016.09907668361,14604.3329835029,4718.53884886148,2296.98536608375,1894.56740917185
"Michigan",21.9498784333795,45500.8134434192,530.192690554225,2342.88845767397,8228.46794851435,1136.46137240282,5193.15184999771,1938.47070620602,670.1140333232,2464.40838439096,4267.75724045307,10687.6331897015,4439.05677870356,2048.76828987322,1553.44250162462
