"","Total.Seats","Total.Senate","Senate.Dem","Senate.Rep","Senate.other","Total.House","House.Dem","House.Rep","Legislative.Control","Governing.Party","State.Control","perCapitaFFL"
"Alabama",140,35,11,23,"1",105,37,66,"Rep","Rep","Rep",25.2931822699265
"Alaska",60,20,7,13,"0",40,14,26,"Rep","Rep","Rep",81.8176181503018
"Arizona",90,30,12,17,"1v",60,24,36,"Rep","Rep","Rep",26.1611805736805
"Arkansas",135,35,13,22,"0",100,48,51,"Rep","Dem","Divided",42.5304950146931
"California",120,40,28,11,"1v",80,55,25,"Dem","Dem","Dem",6.49235387592316
"Colorado",100,35,18,17,"0",65,37,28,"Dem","Dem","Dem",31.1371294099528
"Connecticut",187,36,21,14,"1v",151,98,53,"Dem","Dem","Dem",15.08245229257
"Delaware",62,21,13,8,"0",41,27,14,"Dem","Dem","Dem",12.542911110761
"Florida",160,40,14,26,"0",120,45,74,"Rep","Rep","Rep",15.5072219578996
"Georgia",236,56,18,38,"0",180,60,119,"Rep","Rep","Rep",19.256500727924
"Hawaii",76,25,24,1,"0",51,44,7,"Dem","Dem","Dem",7.30340709774502
"Idaho",105,35,7,28,"0",70,13,57,"Rep","Rep","Rep",56.7490919749199
"Illinois",177,59,40,19,"0",118,71,47,"Dem","Dem","Dem",15.8620251309888
"Indiana",150,50,13,37,"0",100,31,69,"Rep","Rep","Rep",22.1127435586599
"Iowa",150,50,26,24,"0",100,47,53,"Split","Rep","Divided",41.051335276958
"Kansas",165,40,8,32,"0",125,33,92,"Rep","Rep","Rep",38.5009310506569
"Kentucky",138,38,14,23,"1",100,54,46,"Split","Dem","Divided",31.8366376123307
"Louisiana",144,39,13,26,"0",105,44,59,"Rep","Rep","Rep",26.0359595636824
"Maine",186,35,19,15,"1",151,89,58,"Dem","Rep","Divided",38.866553659502
"Maryland",188,47,36,11,"0",141,98,43,"Dem","Dem","Dem",9.81060748976929
"Massachusetts",200,40,36,4,"0",160,131,29,"Dem","Dem","Dem",7.19342186527191
"Michigan",148,38,12,26,"0",110,51,59,"Rep","Rep","Rep",21.9498784333795
"Minnesota",201,67,39,28,"0",134,73,61,"Dem","Dem","Dem",26.2547572877445
"Mississippi",174,52,20,32,"0",122,57,65,"Rep","Rep","Rep",31.4069160795157
"Missouri",197,34,9,24,"1v",163,52,108,"Rep","Dem","Divided",36.5050057442967
"Montana",150,50,21,29,"0",100,38,61,"Rep","Dem","Divided",103.810958063155
"Nebraska",49,49,0,0,"49",0,0,0,"N/A","Rep","N/A",35.9530656062173
"Nevada",63,21,11,10,"0",42,27,15,"Dem","Rep","Divided",21.1220322864379
"New Hampshire",424,24,11,13,"0",400,220,179,"Split","Dem","Divided",37.215452560131
"New Jersey",120,40,24,16,"0",80,48,32,"Dem","Rep","Divided",3.68663584165812
"New Mexico",112,42,25,17,"0",70,37,33,"Dem","Rep","Divided",33.200946012723
"New York",213,63,32,29,"2v",150,100,40,"Dem","Dem","Dem",8.41339926703529
"North Carolina",170,50,17,33,"0",120,43,77,"Rep","Rep","Rep",23.6273455862749
"North Dakota",141,47,14,33,"0",94,23,71,"Rep","Rep","Rep",54.4449604548397
"Ohio",132,33,10,23,"0",99,39,60,"Rep","Rep","Rep",21.2610128272386
"Oklahoma",149,48,12,36,"0",101,29,72,"Rep","Rep","Rep",39.0036839833339
"Oregon",90,30,16,14,"0",60,34,26,"Dem","Dem","Dem",35.3205251134023
"Pennsylvania",253,50,23,27,"0",203,92,111,"Rep","Rep","Rep",19.9679652121321
"Rhode Island",113,38,32,5,"1",75,69,6,"Dem","Dem","Dem",8.57450813718456
"South Carolina",170,46,18,28,"0",124,46,78,"Rep","Rep","Rep",22.4310953503299
"South Dakota",105,35,7,28,"0",70,17,53,"Rep","Rep","Rep",59.6411440315334
"Tennessee",132,33,7,26,"0",99,27,71,"Rep","Rep","Rep",23.0873333920697
"Texas",181,31,12,19,"0",150,55,95,"Rep","Rep","Rep",22.7174333169338
"Utah",104,29,5,24,"0",75,14,61,"Rep","Rep","Rep",30.3294281156229
"Vermont",180,30,21,7,"2",150,93,47,"Dem","Dem","Dem",49.6856091050079
"Virginia",140,40,19,20,"1v",100,33,67,"Rep","Dem","Divided",20.3880069540341
"Washington",147,49,25,24,"0",98,55,43,"Dem","Dem","Dem",16.4962952799122
"West Virginia",134,34,24,10,"0",100,53,47,"Dem","Dem","Dem",48.8594664123936
"Wisconsin",132,33,15,18,"0",99,39,60,"Rep","Rep","Rep",27.2191754050675
"Wyoming",90,30,4,26,"0",60,8,52,"Rep","Rep","Rep",104.725127141827
