"","perCapitaFFL","POPESTIMATE2016","NPOPCHG_2016","BIRTHS2016","DEATHS2016","NATURALINC2016","INTERNATIONALMIG2016","DOMESTICMIG2016","NETMIG2016","RESIDUAL2016","atf.Region","POP_ST","AREA_ST","POP_URBAN","POPPCT_URBAN","AREA_URBAN","AREAPCT_URBAN","POPDEN_URBAN","POP_UA","POPPCT_UA","AREA_UA","AREAPCT_UA","POPDEN_UA","POP_UC","POPPCT_UC","AREA_UC","AREAPCT_UC","POPDEN_UC","POP_RURAL","POPPCT_RURAL","AREA_RURAL","AREAPCT_RURAL","POPDEN_RURAL"
"California",6.49235387592316,39250017,256077,502848,273850,228998,142553,-109023,33530,-6451,9,37253956,403466310059,35373606,94.95,21287926350,5.28,4303.7,33427689,89.73,18915178185,4.69,4577.1,1945917,5.22,2372748165,0.59,2124.1,1880350,5.05,382178383709,94.72,12.7
"Texas",22.7174333169338,27862596,432957,404533,192814,211719,91839,125703,217542,3696,5,25145561,676586997978,21298039,84.7,22651009601,3.35,2435.3,18947957,75.35,18698378243,2.76,2624.6,2350082,9.35,3952631358,0.58,1539.9,3847522,15.3,653935988377,96.65,15.2
"Florida",15.5072219578996,20612439,367525,222793,201485,21308,118831,207155,325986,20231,1,18801310,138887481596,17139844,91.16,19173902265,13.81,2315.2,16439936,87.44,17700464722,12.74,2405.5,699908,3.72,1473437543,1.06,1230.3,1661466,8.84,119713579331,86.19,35.9
"New York",8.41339926703529,19745289,-1894,236507,160713,75794,118478,-191367,-72889,-4799,6,19378102,122056806947,17028105,87.87,10597911232,8.68,4161.4,16018144,82.66,9059207000,7.42,4579.5,1009961,5.21,1538704232,1.26,1700,2349997,12.13,111458895715,91.32,54.6
"Illinois",15.8620251309888,12801539,-37508,155238,108040,47198,30934,-114144,-83210,-1496,3,12830632,143793362385,11353553,88.49,10218955838,7.11,2877.6,10260671,79.97,8610185823,5.99,3086.5,1092882,8.52,1608770015,1.12,1759.5,1477079,11.51,133574406547,92.89,28.6
"Pennsylvania",19.9679652121321,12784227,-7677,140897,133053,7844,34678,-45565,-10887,-4634,8,12702379,115883064314,9991287,78.66,12186542023,10.52,2123.4,8977537,70.68,10468869338,9.03,2221,1013750,7.98,1717672685,1.48,1528.6,2711092,21.34,103696522291,89.48,67.7
"Ohio",21.2610128272386,11614373,9283,138012,115938,22074,19591,-27558,-7967,-4824,4,11536504,105828706692,8989694,77.92,11448575862,10.82,2033.7,7534686,65.31,9282948899,8.77,2102.2,1455008,12.61,2165626963,2.05,1740.1,2546810,22.08,94380130830,89.18,69.9
"Georgia",19.256500727924,10310371,110973,130862,81525,49337,23831,36781,60612,1024,1,9687653,148959236603,7272151,75.07,12423724190,8.34,1516,6334271,65.38,10239668028,6.87,1602.2,937880,9.68,2184056162,1.47,1112.2,2415502,24.93,136535512413,91.66,45.8
"North Carolina",23.6273455862749,10146788,111602,120778,89721,31057,20494,59584,80078,467,1,9535483,125919791207,6301756,66.09,11937724456,9.48,1367.2,5232799,54.88,9285141220,7.37,1459.6,1068957,11.21,2652583236,2.11,1043.7,3233727,33.91,113982066751,90.52,73.5
"Michigan",21.9498784333795,9928300,10585,113437,94353,19084,22511,-27839,-5328,-3171,4,9883640,146435075220,7369957,74.57,9384151623,6.41,2034.1,6560163,66.37,7875668905,5.38,2157.4,809794,8.19,1508482718,1.03,1390.4,2513683,25.43,137050923597,93.59,47.5
"New Jersey",3.68663584165812,8944469,9048,102166,74762,27404,50087,-66791,-16704,-1652,8,8791894,19047341691,8324126,94.68,7561624746,39.7,2851.2,8109908,92.24,7178066812,37.69,2926.2,214218,2.44,383557934,2.01,1446.5,467768,5.32,11485716945,60.3,105.5
"Virginia",20.3880069540341,8411808,44221,102366,66558,35808,32545,-25343,7202,1211,1,8001024,102278849309,6037094,75.45,6902790588,6.75,2265.2,5584039,69.79,5907724619,5.78,2448.1,453055,5.66,995065969,0.97,1179.2,1963930,24.55,95376058721,93.25,53.3
"Washington",16.4962952799122,7288000,127710,89982,55979,34003,24410,67571,91981,1726,9,6724540,172119001610,5651869,84.05,6150546552,3.57,2380,5041475,74.97,5088055314,2.96,2566.3,610394,9.08,1062491238,0.62,1487.9,1072671,15.95,165968455058,96.43,16.7
"Arizona",26.1611805736805,6931071,113506,87204,56564,30640,14861,61544,76405,6461,9,6392017,294207314414,5740659,89.81,5663221936,1.92,2625.4,5117783,80.07,4696616836,1.6,2822.2,622876,9.74,966605100,0.33,1669,651358,10.19,288544092478,98.08,5.8
"Massachusetts",7.19342186527191,6811779,27539,72024,57563,14461,40898,-25606,15292,-2214,6,6547629,20202057805,6021989,91.97,7735338848,38.29,2016.3,5912700,90.3,7498364724,37.12,2042.3,109289,1.67,236974124,1.17,1194.5,525640,8.03,12466718957,61.71,109.2
"Tennessee",23.0873333920697,6651194,56138,81443,65454,15989,9440,30519,39959,190,1,6346105,106797885992,4213245,66.39,7524311791,7.05,1450.3,3450715,54.38,5689184718,5.33,1570.9,762530,12.02,1835127073,1.72,1076.2,2132860,33.61,99273574201,92.95,55.6
